QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
3,7:00.0,,I. Shumpert makes 3-pt jump shot from 26 ft (assist by B. Hield),67,65
3,6:43.0,N. Batum makes 3-pt jump shot from 25 ft,,70,65
3,6:16.0,,D. Fox makes 2-pt layup from 3 ft (assist by I. Shumpert),70,67
3,6:00.0,Turnover by K. Walker (lost ball; steal by D. Fox),,70,67
3,5:57.0,,D. Fox makes 2-pt layup from 1 ft,70,69
3,5:56.0,Charlotte full timeout,,70,69
3,5:56.0,M. Bridges enters the game for B. Biyombo,,70,69
3,5:56.0,W. Hernangómez enters the game for J. Lamb,,70,69
3,5:56.0,M. Kidd-Gilchrist enters the game for M. Williams,,70,69
3,5:47.0,M. Kidd-Gilchrist misses 2-pt layup from 4 ft (block by D. Fox),,70,69
3,5:47.0,Offensive rebound by Team,,70,69
3,5:31.0,M. Kidd-Gilchrist misses 2-pt jump shot from 9 ft (block by M. Bagley),,70,69
3,5:27.0,,Defensive rebound by W. Cauley-Stein,70,69
3,5:25.0,,Turnover by I. Shumpert (out of bounds lost ball),70,69
3,5:05.0,Shooting foul by W. Cauley-Stein (drawn by W. Hernangómez),,70,69
3,5:05.0,W. Hernangómez misses free throw 1 of 2,,70,69
3,5:05.0,Offensive rebound by Team,,70,69
3,5:05.0,,B. Bogdanović enters the game for W. Cauley-Stein,70,69
3,5:05.0,,H. Giles enters the game for I. Shumpert,70,69
3,5:05.0,W. Hernangómez misses free throw 2 of 2,,70,69
3,5:02.0,,Defensive rebound by H. Giles,70,69
3,4:50.0,,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox),70,71
3,4:38.0,K. Walker misses 3-pt jump shot from 25 ft,,70,71
3,4:36.0,,Defensive rebound by D. Fox,70,71
3,4:30.0,,D. Fox misses 2-pt jump shot from 5 ft,70,71
3,4:27.0,Defensive rebound by M. Bridges,,70,71
3,4:18.0,Shooting foul by H. Giles (drawn by W. Hernangómez),,70,71
3,4:18.0,W. Hernangómez misses free throw 1 of 2,,70,71
3,4:18.0,Offensive rebound by Team,,70,71
3,4:18.0,M. Monk enters the game for N. Batum,,70,71
3,4:18.0,W. Hernangómez misses free throw 2 of 2,,70,71
3,4:14.0,,Defensive rebound by M. Bagley,70,71
3,3:57.0,,B. Hield misses 2-pt jump shot from 9 ft,70,71
3,3:55.0,Defensive rebound by W. Hernangómez,,70,71
3,3:48.0,K. Walker makes 2-pt layup from 2 ft,,72,71
3,3:48.0,,Sacramento full timeout,72,71
3,3:37.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),72,74
3,3:21.0,M. Bridges makes 2-pt dunk from 1 ft (assist by W. Hernangómez),,74,74
3,2:59.0,,M. Bagley misses 2-pt hook shot from 9 ft,74,74
3,2:59.0,,Offensive rebound by M. Bagley,74,74
3,2:59.0,,M. Bagley makes 2-pt layup from 1 ft,74,76
3,2:59.0,,Shooting foul by M. Kidd-Gilchrist (drawn by M. Bagley),74,76
3,2:59.0,,Y. Ferrell enters the game for D. Fox,74,76
3,2:59.0,,J. Jackson enters the game for B. Hield,74,76
3,2:59.0,,M. Bagley misses free throw 1 of 1,74,76
3,2:57.0,Defensive rebound by W. Hernangómez,,74,76
3,2:45.0,M. Monk misses 2-pt jump shot from 10 ft,,74,76
3,2:40.0,,Defensive rebound by H. Giles,74,76
3,2:35.0,,B. Bogdanović misses 2-pt jump shot from 23 ft,74,76
3,2:33.0,Defensive rebound by M. Bridges,,74,76
3,2:26.0,K. Walker misses 3-pt jump shot from 25 ft,,74,76
3,2:22.0,,Defensive rebound by B. Bogdanović,74,76
3,2:22.0,,Turnover by B. Bogdanović (bad pass),74,76
3,2:22.0,D. Graham enters the game for K. Walker,,74,76
3,1:59.0,D. Graham misses 2-pt layup from 4 ft,,74,76
3,1:57.0,,Defensive rebound by M. Bagley,74,76
3,1:46.0,,M. Bagley makes 2-pt dunk from 2 ft (assist by H. Giles),74,78
3,1:32.0,W. Hernangómez misses 2-pt layup from 3 ft,,74,78
3,1:31.0,Offensive rebound by M. Bridges,,74,78
3,1:30.0,M. Bridges misses 2-pt layup from 3 ft (block by J. Jackson),,74,78
3,1:27.0,,Defensive rebound by M. Bagley,74,78
3,1:24.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,74,78
3,1:24.0,Defensive rebound by M. Kidd-Gilchrist,,74,78
3,1:12.0,Turnover by W. Hernangómez (traveling),,74,78
3,0:52.0,,M. Bagley makes 2-pt hook shot from 10 ft,74,80
3,0:36.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by M. Bridges),,76,80
3,0:26.0,Violation by Team (kicked ball),,76,80
3,0:26.0,M. Williams enters the game for W. Hernangómez,,76,80
3,0:14.0,,B. Bogdanović makes 2-pt jump shot from 10 ft,76,82
3,0:01.0,M. Monk misses 3-pt jump shot from 51 ft,,76,82
3,0:01.0,Offensive rebound by Team,,76,82
4,11:42.0,,M. Bagley misses 2-pt layup from 5 ft (block by M. Kidd-Gilchrist),76,82
4,11:41.0,,Offensive rebound by Team,76,82
4,11:41.0,,Turnover by B. Bogdanović (out of bounds lost ball),76,82
4,11:28.0,M. Monk misses 3-pt jump shot from 25 ft,,76,82
4,11:23.0,,Defensive rebound by H. Giles,76,82
4,11:17.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,76,82
4,11:14.0,Defensive rebound by J. Lamb,,76,82
4,11:06.0,Personal foul by J. Jackson (drawn by M. Williams),,76,82
4,10:54.0,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Graham),,79,82
4,10:37.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,79,82
