QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
3,1:11.0,,Defensive rebound by N. Noel,62,69
3,0:53.0,,R. Felton makes 2-pt jump shot from 17 ft,62,71
3,0:48.0,Turnover by A. Harrison (bad pass),,62,71
3,0:34.0,,Á. Abrines misses 3-pt jump shot from 26 ft,62,71
3,0:34.0,,Offensive rebound by N. Noel,62,71
3,0:20.0,,N. Noel makes 2-pt dunk at rim (assist by R. Felton),62,73
3,0:01.0,J. Clarkson misses 2-pt jump shot from 14 ft (block by D. Burton),,62,73
3,0:01.0,Offensive rebound by Team,,62,73
4,11:38.0,L. Nance makes 2-pt layup from 1 ft (assist by J. Clarkson),,64,73
4,11:18.0,,D. Burton misses 2-pt jump shot from 5 ft,64,73
4,11:14.0,Defensive rebound by L. Nance,,64,73
4,11:05.0,J. Clarkson misses 2-pt jump shot from 18 ft,,64,73
4,11:03.0,,Defensive rebound by N. Noel,64,73
4,10:52.0,,D. Burton makes 2-pt layup from 1 ft,64,75
4,10:52.0,,Shooting foul by J. Clarkson (drawn by D. Burton),64,75
4,10:52.0,,D. Burton makes free throw 1 of 1,64,76
4,10:28.0,A. Harrison misses 2-pt layup from 5 ft,,64,76
4,10:25.0,,Defensive rebound by A. Nader,64,76
4,10:21.0,,A. Nader makes 2-pt layup from 1 ft,64,78
4,10:21.0,Cleveland full timeout,,64,78
4,10:14.0,Turnover by A. Harrison (back court),,64,78
4,10:03.0,,R. Felton misses 2-pt layup from 1 ft,64,78
4,9:59.0,Defensive rebound by J. Clarkson,,64,78
4,9:55.0,A. Žižić misses 2-pt dunk at rim (block by D. Burton),,64,78
4,9:52.0,,Defensive rebound by A. Nader,64,78
4,9:44.0,,Turnover by N. Noel (off goaltending),64,78
4,9:25.0,L. Nance misses 3-pt jump shot from 26 ft,,64,78
4,9:20.0,,Defensive rebound by P. Patterson,64,78
4,9:12.0,,N. Noel makes 2-pt layup from 2 ft (assist by R. Felton),64,80
4,8:52.0,C. Osman misses 3-pt jump shot from 25 ft,,64,80
4,8:50.0,,Defensive rebound by D. Burton,64,80
4,8:42.0,,D. Burton misses 2-pt layup from 1 ft,64,80
4,8:38.0,Defensive rebound by L. Nance,,64,80
4,8:25.0,Shooting foul by P. Patterson (drawn by J. Clarkson),,64,80
4,8:25.0,J. Clarkson misses free throw 1 of 2,,64,80
4,8:25.0,Offensive rebound by Team,,64,80
4,8:25.0,C. Sexton enters the game for A. Harrison,,64,80
4,8:25.0,T. Thompson enters the game for A. Žižić,,64,80
4,8:25.0,,R. Westbrook enters the game for R. Felton,64,80
4,8:25.0,J. Clarkson misses free throw 2 of 2,,64,80
4,8:25.0,,Defensive rebound by A. Nader,64,80
4,8:12.0,,A. Nader makes 2-pt layup from 1 ft (assist by R. Westbrook),64,82
4,7:55.0,J. Clarkson misses 2-pt jump shot from 18 ft,,64,82
4,7:48.0,,Defensive rebound by P. Patterson,64,82
4,7:45.0,,P. Patterson misses 3-pt jump shot from 25 ft,64,82
4,7:41.0,Defensive rebound by C. Osman,,64,82
4,7:33.0,Offensive foul by T. Thompson (drawn by P. Patterson),,64,82
4,7:33.0,Turnover by T. Thompson (offensive foul),,64,82
4,7:33.0,R. Hood enters the game for J. Clarkson,,64,82
4,7:33.0,,J. Grant enters the game for D. Burton,64,82
4,7:33.0,,D. Schröder enters the game for P. Patterson,64,82
4,7:14.0,,N. Noel makes 2-pt jump shot from 7 ft (assist by D. Schröder),64,84
4,6:52.0,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),,66,84
4,6:41.0,,Turnover by R. Westbrook (bad pass; steal by T. Thompson),66,84
4,6:35.0,C. Osman misses 2-pt layup from 2 ft,,66,84
4,6:31.0,,Defensive rebound by J. Grant,66,84
4,6:23.0,,R. Westbrook misses 3-pt jump shot from 26 ft,66,84
4,6:19.0,Defensive rebound by R. Hood,,66,84
4,6:15.0,C. Sexton makes 3-pt jump shot from 25 ft (assist by R. Hood),,69,84
4,6:13.0,,Oklahoma City full timeout,69,84
4,6:13.0,,S. Adams enters the game for A. Nader,69,84
4,6:13.0,,P. George enters the game for N. Noel,69,84
4,5:59.0,,R. Westbrook makes 2-pt jump shot from 18 ft,69,86
4,5:44.0,R. Hood makes 2-pt jump shot from 20 ft (assist by C. Osman),,71,86
4,5:28.0,,P. George misses 2-pt jump shot from 19 ft,71,86
4,5:26.0,Defensive rebound by L. Nance,,71,86
4,5:15.0,C. Sexton makes 2-pt jump shot from 19 ft,,73,86
4,5:03.0,,R. Westbrook makes 2-pt jump shot from 16 ft,73,88
4,4:53.0,Personal foul by R. Westbrook (drawn by C. Osman),,73,88
4,4:53.0,J. Clarkson enters the game for C. Osman,,73,88
4,4:38.0,R. Hood misses 2-pt jump shot from 22 ft,,73,88
4,4:35.0,,Defensive rebound by R. Westbrook,73,88
4,4:33.0,,Personal foul by J. Clarkson (drawn by R. Westbrook),73,88
4,4:27.0,,D. Schröder misses 2-pt jump shot from 19 ft,73,88
4,4:24.0,Defensive rebound by L. Nance,,73,88
4,4:16.0,J. Clarkson makes 2-pt layup from 2 ft,,75,88
4,4:03.0,,R. Westbrook makes 2-pt jump shot from 14 ft,75,90
4,3:51.0,C. Sexton misses 2-pt layup at rim (block by S. Adams),,75,90
4,3:49.0,,Defensive rebound by P. George,75,90
4,3:46.0,,D. Schröder misses 3-pt jump shot from 23 ft,75,90
4,3:43.0,Defensive rebound by L. Nance,,75,90
4,3:35.0,L. Nance makes 3-pt jump shot from 25 ft (assist by J. Clarkson),,78,90
4,3:19.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),78,92
4,3:19.0,,Shooting foul by T. Thompson (drawn by P. George),78,92
4,3:19.0,,P. George makes free throw 1 of 1,78,93
4,2:59.0,J. Clarkson misses 3-pt jump shot from 22 ft,,78,93
4,2:55.0,,Defensive rebound by S. Adams,78,93
4,2:53.0,,Turnover by R. Westbrook (traveling),78,93
