QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
2,5:53.0,D. Jones misses 3-pt jump shot from 26 ft,,37,38
2,5:50.0,,Defensive rebound by J. Butler,37,38
2,5:33.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by J. Butler),37,41
2,5:17.0,J. Winslow misses 2-pt layup from 3 ft,,37,41
2,5:15.0,,Defensive rebound by T. Harris,37,41
2,5:06.0,,J. Butler misses 2-pt layup from 3 ft,37,41
2,5:05.0,,Offensive rebound by B. Marjanović,37,41
2,5:05.0,,Shooting foul by B. Adebayo (drawn by B. Marjanović),37,41
2,5:05.0,,B. Marjanović misses free throw 1 of 2,37,41
2,5:05.0,,Offensive rebound by Team,37,41
2,5:05.0,H. Whiteside enters the game for B. Adebayo,,37,41
2,5:05.0,,J. Redick enters the game for M. Scott,37,41
2,5:05.0,,B. Simmons enters the game for J. Simmons,37,41
2,5:05.0,,B. Marjanović misses free throw 2 of 2,37,41
2,5:03.0,Defensive rebound by D. Jones,,37,41
2,4:46.0,J. Winslow makes 2-pt layup from 2 ft,,39,41
2,4:32.0,,Shooting foul by J. Winslow (drawn by B. Simmons),39,41
2,4:32.0,,B. Simmons misses free throw 1 of 2,39,41
2,4:32.0,,Offensive rebound by Team,39,41
2,4:32.0,D. Wade enters the game for J. Winslow,,39,41
2,4:32.0,,B. Simmons makes free throw 2 of 2,39,42
2,4:21.0,Turnover by D. Waiters (bad pass),,39,42
2,4:09.0,,T. Harris misses 3-pt jump shot from 25 ft,39,42
2,4:08.0,Defensive rebound by Team,,39,42
2,3:56.0,D. Waiters misses 3-pt jump shot from 25 ft,,39,42
2,3:49.0,,Defensive rebound by T. Harris,39,42
2,3:45.0,,B. Marjanović makes 2-pt dunk from 1 ft (assist by B. Simmons),39,44
2,3:35.0,Miami full timeout,,39,44
2,3:35.0,J. Richardson enters the game for R. McGruder,,39,44
2,3:27.0,D. Wade misses 2-pt jump shot from 9 ft,,39,44
2,3:24.0,,Defensive rebound by T. Harris,39,44
2,3:15.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by J. Redick),39,46
2,2:51.0,D. Wade misses 2-pt jump shot from 7 ft,,39,46
2,2:47.0,Offensive rebound by J. Richardson,,39,46
2,2:45.0,J. Richardson misses 3-pt jump shot from 25 ft,,39,46
2,2:45.0,,Defensive rebound by B. Simmons,39,46
2,2:36.0,,B. Marjanović makes 2-pt layup from 2 ft (assist by B. Simmons),39,48
2,2:36.0,,Shooting foul by H. Whiteside (drawn by B. Marjanović),39,48
2,2:36.0,B. Adebayo enters the game for H. Whiteside,,39,48
2,2:36.0,,B. Marjanović makes free throw 1 of 1,39,49
2,2:23.0,D. Wade makes 2-pt jump shot from 12 ft,,41,49
2,2:13.0,,Personal foul by D. Jones (drawn by B. Simmons),41,49
2,2:13.0,,B. Simmons makes free throw 1 of 2,41,50
2,2:13.0,,J. Bolden enters the game for B. Marjanović,41,50
2,2:13.0,,B. Simmons makes free throw 2 of 2,41,51
2,1:56.0,D. Waiters makes 3-pt jump shot from 24 ft (assist by D. Wade),,44,51
2,1:34.0,,Shooting foul by D. Jones (drawn by T. Harris),44,51
2,1:34.0,,T. Harris makes free throw 1 of 2,44,52
2,1:34.0,,J. Simmons enters the game for J. Redick,44,52
2,1:34.0,,T. Harris makes free throw 2 of 2,44,53
2,1:25.0,J. Richardson makes 2-pt jump shot from 11 ft (assist by B. Adebayo),,46,53
2,1:17.0,,J. Butler misses 3-pt jump shot from 25 ft,46,53
2,1:15.0,,Offensive rebound by J. Butler,46,53
2,1:15.0,,Personal foul by B. Adebayo (drawn by J. Butler),46,53
2,1:15.0,,J. Butler makes free throw 1 of 2,46,54
2,1:15.0,K. Olynyk enters the game for B. Adebayo,,46,54
2,1:15.0,,J. Butler makes free throw 2 of 2,46,55
2,0:59.0,D. Wade makes 2-pt layup from 4 ft (assist by K. Olynyk),,48,55
2,0:47.0,,T. Harris misses 3-pt jump shot from 25 ft,48,55
2,0:43.0,Defensive rebound by J. Richardson,,48,55
2,0:37.0,D. Waiters makes 2-pt layup from 2 ft (assist by J. Richardson),,50,55
2,0:27.0,,J. Simmons makes 2-pt dunk from 1 ft (assist by B. Simmons),50,57
2,0:03.0,D. Waiters misses 3-pt jump shot from 25 ft,,50,57
2,0:01.0,,Defensive rebound by T. Harris,50,57
2,0:00.0,,J. Simmons misses 3-pt jump shot from 46 ft,50,57
2,0:00.0,,Offensive rebound by Team,50,57
3,11:47.0,,Turnover by T. Harris (out of bounds lost ball),50,57
3,11:34.0,J. Winslow misses 2-pt jump shot from 15 ft,,50,57
3,11:30.0,,Defensive rebound by B. Marjanović,50,57
3,11:17.0,,B. Simmons misses 2-pt layup from 2 ft (block by H. Whiteside),50,57
3,11:15.0,Defensive rebound by D. Waiters,,50,57
3,11:07.0,Shooting foul by B. Marjanović (drawn by H. Whiteside),,50,57
3,11:07.0,H. Whiteside misses free throw 1 of 2,,50,57
3,11:07.0,Offensive rebound by Team,,50,57
3,11:07.0,H. Whiteside misses free throw 2 of 2,,50,57
3,11:05.0,,Defensive rebound by B. Marjanović,50,57
3,10:51.0,,Turnover by J. Butler (bad pass; steal by D. Waiters),50,57
3,10:46.0,K. Olynyk makes 2-pt layup from 1 ft (assist by H. Whiteside),,52,57
3,10:28.0,,B. Simmons makes 2-pt hook shot from 8 ft (assist by J. Redick),52,59
3,10:12.0,D. Waiters makes 2-pt layup from 1 ft,,54,59
3,10:08.0,,Turnover by B. Marjanović (bad pass; steal by J. Winslow),54,59
3,9:59.0,H. Whiteside misses 2-pt jump shot from 14 ft,,54,59
3,9:56.0,,Defensive rebound by B. Marjanović,54,59
3,9:43.0,,J. Butler makes 2-pt dunk from 2 ft (assist by B. Marjanović),54,61
3,9:13.0,J. Richardson misses 3-pt jump shot from 30 ft (block by B. Simmons),,54,61
3,9:09.0,,Defensive rebound by J. Redick,54,61
3,9:09.0,,Personal foul by J. Richardson (drawn by J. Redick),54,61
3,8:55.0,,B. Marjanović misses 2-pt layup from 3 ft,54,61
3,8:53.0,Defensive rebound by J. Winslow,,54,61
3,8:45.0,Shooting foul by J. Redick (drawn by D. Waiters),,54,61
3,8:45.0,D. Waiters makes free throw 1 of 2,,55,61
3,8:45.0,D. Waiters makes free throw 2 of 2,,56,61
3,8:31.0,,T. Harris misses 2-pt jump shot from 13 ft,56,61
3,8:28.0,Defensive rebound by J. Winslow,,56,61
3,8:23.0,J. Richardson misses 3-pt jump shot from 27 ft,,56,61
3,8:20.0,,Defensive rebound by B. Simmons,56,61
3,8:13.0,,B. Simmons misses 2-pt layup from 1 ft,56,61
3,8:10.0,,Offensive rebound by B. Marjanović,56,61
3,8:09.0,,Turnover by B. Marjanović (lost ball; steal by D. Waiters),56,61
3,8:03.0,J. Richardson misses 2-pt hook shot from 16 ft,,56,61
3,7:59.0,Offensive rebound by H. Whiteside,,56,61
3,7:56.0,H. Whiteside makes 2-pt jump shot from 9 ft (assist by J. Richardson),,58,61
3,7:42.0,,T. Harris misses 3-pt jump shot from 27 ft,58,61
3,7:39.0,Defensive rebound by J. Winslow,,58,61
3,7:32.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by D. Waiters),,61,61
3,7:30.0,,Philadelphia full timeout,61,61
3,7:19.0,,J. Redick misses 3-pt jump shot from 26 ft,61,61
3,7:15.0,Defensive rebound by K. Olynyk,,61,61
3,7:15.0,Turnover by K. Olynyk (bad pass),,61,61
3,7:01.0,,T. Harris makes 2-pt jump shot from 6 ft,61,63
3,6:41.0,D. Waiters misses 3-pt jump shot from 26 ft,,61,63
3,6:38.0,,Defensive rebound by J. Redick,61,63
3,6:32.0,,J. Butler makes 2-pt layup from 3 ft,61,65
3,6:12.0,K. Olynyk makes 2-pt layup from 2 ft,,63,65
3,6:11.0,Violation by Team (delay of game),,63,65
3,6:01.0,,B. Simmons misses 2-pt jump shot from 6 ft,63,65
3,5:58.0,Defensive rebound by H. Whiteside,,63,65
3,5:45.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),,65,65
3,5:31.0,,J. Redick misses 3-pt jump shot from 27 ft,65,65
3,5:26.0,Defensive rebound by J. Winslow,,65,65
3,5:23.0,D. Waiters makes 2-pt layup from 2 ft,,67,65
3,5:05.0,,Personal foul by D. Waiters (drawn by J. Butler),67,65
3,5:05.0,D. Wade enters the game for J. Richardson,,67,65
3,5:05.0,,J. Bolden enters the game for J. Butler,67,65
3,5:05.0,,J. Ennis enters the game for B. Marjanović,67,65
