QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
2,3:47.0,,Defensive rebound by C. Parsons,51,53
2,3:33.0,,Personal foul by D. Cousins (drawn by J. Valančiūnas),51,53
2,3:33.0,K. Thompson enters the game for D. Cousins,,51,53
2,3:24.0,,J. Holiday misses 2-pt jump shot from 12 ft,51,53
2,3:21.0,Defensive rebound by S. Curry,,51,53
2,3:18.0,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),,53,53
2,2:50.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by D. Wright),53,56
2,2:32.0,A. Iguodala makes 2-pt dunk from 2 ft,,55,56
2,2:13.0,,Turnover by J. Valančiūnas (lost ball; steal by D. Green),55,56
2,2:00.0,K. Thompson misses 2-pt jump shot from 13 ft,,55,56
2,1:56.0,Offensive rebound by A. Iguodala,,55,56
2,1:51.0,Turnover by A. Iguodala (bad pass),,55,56
2,1:51.0,Technical foul by K. Durant,,55,56
2,1:51.0,,J. Holiday misses technical free throw,55,56
2,1:51.0,,Offensive rebound by Team,55,56
2,1:31.0,,Turnover by D. Wright (bad pass; steal by A. Iguodala),55,56
2,1:27.0,A. Iguodala misses 2-pt layup at rim,,55,56
2,1:23.0,Offensive rebound by K. Thompson,,55,56
2,1:23.0,K. Thompson makes 2-pt layup from 1 ft,,57,56
2,1:03.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by C. Parsons),57,58
2,0:54.0,K. Durant makes 2-pt jump shot from 20 ft,,59,58
2,0:43.0,,C. Parsons misses 3-pt jump shot from 26 ft,59,58
2,0:40.0,Defensive rebound by S. Curry,,59,58
2,0:38.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,61,58
2,0:24.0,,Turnover by M. Conley (bad pass; steal by D. Green),61,58
2,0:19.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Green),,64,58
2,0:06.0,,Personal take foul by K. Thompson (drawn by M. Conley),64,58
2,0:06.0,A. Bogut enters the game for S. Curry,,64,58
2,0:02.0,,Shooting foul by K. Thompson (drawn by M. Conley),64,58
2,0:02.0,,M. Conley makes free throw 1 of 2,64,59
2,0:02.0,S. Curry enters the game for A. Bogut,,64,59
2,0:02.0,,B. Caboclo enters the game for C. Parsons,64,59
2,0:02.0,,J. Washburn enters the game for J. Valančiūnas,64,59
2,0:02.0,,M. Conley makes free throw 2 of 2,64,60
2,0:00.0,K. Durant makes 2-pt layup at rim (assist by D. Green),,66,60
3,11:42.0,D. Green misses 3-pt jump shot from 24 ft,,66,60
3,11:38.0,,Defensive rebound by J. Valančiūnas,66,60
3,11:23.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,66,60
3,11:21.0,Defensive rebound by S. Curry,,66,60
3,11:15.0,D. Cousins misses 3-pt jump shot from 26 ft,,66,60
3,11:11.0,,Defensive rebound by T. Dorsey,66,60
3,11:08.0,,J. Holiday misses 2-pt layup from 2 ft (block by D. Cousins),66,60
3,11:08.0,Defensive rebound by K. Durant,,66,60
3,11:01.0,K. Thompson misses 2-pt jump shot from 10 ft,,66,60
3,10:58.0,,Defensive rebound by B. Caboclo,66,60
3,10:45.0,,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by T. Dorsey),66,62
3,10:27.0,S. Curry misses 2-pt layup from 1 ft,,66,62
3,10:25.0,,Defensive rebound by J. Valančiūnas,66,62
3,10:23.0,,Personal foul by S. Curry (drawn by M. Conley),66,62
3,10:17.0,,M. Conley makes 2-pt layup from 1 ft (assist by J. Valančiūnas),66,64
3,10:03.0,D. Green misses 2-pt layup from 1 ft,,66,64
3,10:01.0,,Defensive rebound by J. Valančiūnas,66,64
3,9:59.0,Technical foul by D. Green,,66,64
3,9:59.0,,M. Conley makes technical free throw,66,65
3,9:49.0,,B. Caboclo misses 2-pt layup from 2 ft (block by D. Green),66,65
3,9:47.0,,Offensive rebound by T. Dorsey,66,65
3,9:43.0,,J. Valančiūnas misses 2-pt layup from 1 ft,66,65
3,9:40.0,Defensive rebound by D. Cousins,,66,65
3,9:36.0,D. Cousins makes 2-pt dunk at rim,,68,65
