QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
2,6:47.0,,Personal foul by D. Jones (drawn by K. Allen),37,44
2,6:34.0,,E. Mudiay misses 3-pt jump shot from 25 ft,37,44
2,6:32.0,Defensive rebound by D. Waiters,,37,44
2,6:14.0,R. Anderson misses 3-pt jump shot from 25 ft,,37,44
2,6:12.0,,Defensive rebound by M. Robinson,37,44
2,6:02.0,,D. Dotson misses 3-pt jump shot from 23 ft,37,44
2,6:00.0,Defensive rebound by B. Adebayo,,37,44
2,5:49.0,D. Waiters makes 2-pt layup from 3 ft,,39,44
2,5:43.0,,Turnover by K. Allen (lost ball; steal by D. Jones),39,44
2,5:43.0,,Loose ball foul by K. Allen (drawn by D. Jones),39,44
2,5:43.0,,K. Knox enters the game for K. Allen,39,44
2,5:43.0,,L. Kornet enters the game for L. Thomas,39,44
2,5:24.0,D. Wade makes 2-pt layup from 4 ft,,41,44
2,5:19.0,,New York full timeout,41,44
2,5:19.0,G. Dragić enters the game for D. Wade,,41,44
2,5:07.0,,E. Mudiay makes 3-pt jump shot from 23 ft (assist by D. Dotson),41,47
2,4:49.0,Shooting foul by L. Kornet (drawn by D. Jones),,41,47
2,4:49.0,D. Jones makes free throw 1 of 2,,42,47
2,4:49.0,D. Jones makes free throw 2 of 2,,43,47
2,4:31.0,,D. Dotson misses 3-pt jump shot from 26 ft,43,47
2,4:29.0,Defensive rebound by R. Anderson,,43,47
2,4:11.0,D. Waiters makes 3-pt jump shot from 25 ft (assist by G. Dragić),,46,47
2,3:53.0,,K. Knox misses 3-pt jump shot from 25 ft,46,47
2,3:51.0,,Offensive rebound by M. Robinson,46,47
2,3:45.0,,Shooting foul by D. Jones (drawn by E. Mudiay),46,47
2,3:45.0,,E. Mudiay makes free throw 1 of 2,46,48
2,3:45.0,J. Johnson enters the game for D. Jones,,46,48
2,3:45.0,,K. Allen enters the game for D. Dotson,46,48
2,3:45.0,,E. Mudiay makes free throw 2 of 2,46,49
2,3:27.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Waiters),,48,49
2,3:14.0,,Shooting foul by B. Adebayo (drawn by L. Kornet),48,49
2,3:14.0,,L. Kornet makes free throw 1 of 2,48,50
2,3:14.0,,L. Kornet makes free throw 2 of 2,48,51
2,3:00.0,G. Dragić misses 3-pt jump shot from 26 ft,,48,51
2,2:58.0,Offensive rebound by R. Anderson,,48,51
2,2:52.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by D. Waiters),,51,51
2,2:32.0,,L. Kornet makes 3-pt jump shot from 23 ft (assist by E. Mudiay),51,54
2,2:18.0,Offensive foul by D. Waiters (drawn by K. Allen),,51,54
2,2:18.0,Turnover by D. Waiters (offensive foul),,51,54
2,2:18.0,D. Wade enters the game for B. Adebayo,,51,54
2,2:10.0,,L. Kornet makes 3-pt jump shot from 28 ft (assist by E. Mudiay),51,57
2,1:51.0,J. Johnson misses 3-pt jump shot from 25 ft,,51,57
2,1:49.0,,Defensive rebound by M. Robinson,51,57
2,1:42.0,,L. Kornet misses 3-pt jump shot from 24 ft,51,57
2,1:40.0,Defensive rebound by D. Waiters,,51,57
2,1:31.0,J. Johnson misses 3-pt jump shot from 22 ft,,51,57
2,1:29.0,,Defensive rebound by E. Mudiay,51,57
2,1:23.0,,Personal foul by J. Johnson (drawn by E. Mudiay),51,57
2,1:23.0,H. Whiteside enters the game for R. Anderson,,51,57
2,1:23.0,,E. Mudiay makes free throw 1 of 2,51,58
2,1:23.0,,E. Mudiay makes free throw 2 of 2,51,59
2,1:19.0,G. Dragić misses 2-pt layup from 2 ft (block by L. Kornet),,51,59
2,1:18.0,Offensive rebound by Team,,51,59
