QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
3,1:39.0,,Offensive foul by B. Adebayo (drawn by L. Galloway),77,70
3,1:39.0,,Turnover by B. Adebayo (offensive foul),77,70
3,1:26.0,Personal foul by G. Dragić (drawn by I. Smith),,77,70
3,1:26.0,I. Smith makes free throw 1 of 2,,78,70
3,1:26.0,I. Smith makes free throw 2 of 2,,79,70
3,1:14.0,,Personal foul by L. Galloway (drawn by J. Richardson),79,70
3,1:14.0,,J. Richardson makes free throw 1 of 2,79,71
3,1:14.0,,J. Richardson makes free throw 2 of 2,79,72
3,0:59.0,I. Smith makes 3-pt jump shot from 25 ft,,82,72
3,0:40.0,,D. Wade makes 2-pt layup from 1 ft (assist by D. Jones),82,74
3,0:31.0,Turnover by I. Smith (bad pass; steal by D. Wade),,82,74
3,0:27.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),82,76
3,0:06.0,I. Smith makes 2-pt jump shot from 21 ft,,84,76
3,0:00.0,,D. Wade misses 3-pt jump shot from 30 ft,84,76
3,0:00.0,,Offensive rebound by Team,84,76
4,11:50.0,Personal foul by B. Adebayo (drawn by Z. Pachulia),,84,76
4,11:41.0,L. Galloway makes 2-pt jump shot from 11 ft (assist by Z. Pachulia),,86,76
4,11:27.0,,Turnover by G. Dragić (bad pass; steal by L. Kennard),86,76
4,11:21.0,L. Kennard makes 2-pt jump shot from 4 ft (assist by I. Smith),,88,76
4,11:01.0,,G. Dragić misses 3-pt jump shot from 26 ft,88,76
4,10:58.0,Defensive rebound by Z. Pachulia,,88,76
4,10:47.0,L. Galloway misses 3-pt jump shot from 23 ft,,88,76
4,10:45.0,,Defensive rebound by B. Adebayo,88,76
4,10:35.0,,Turnover by G. Dragić (bad pass; steal by I. Smith),88,76
4,10:22.0,L. Galloway makes 3-pt jump shot from 24 ft (assist by I. Smith),,91,76
4,10:22.0,,Miami full timeout,91,76
4,10:08.0,,D. Wade makes 2-pt jump shot from 8 ft,91,78
4,9:50.0,L. Galloway makes 3-pt jump shot from 26 ft (assist by L. Kennard),,94,78
4,9:24.0,,Turnover by B. Adebayo (bad pass; steal by L. Kennard),94,78
4,9:21.0,L. Kennard makes 2-pt layup from 2 ft,,96,78
4,9:06.0,,G. Dragić misses 2-pt jump shot from 5 ft,96,78
4,9:06.0,Defensive rebound by Team,,96,78
4,9:06.0,Personal foul by B. Adebayo (drawn by Z. Pachulia),,96,78
4,9:06.0,,D. Waiters enters the game for B. Adebayo,96,78
4,9:06.0,,H. Whiteside enters the game for G. Dragić,96,78
4,8:47.0,Z. Pachulia makes 2-pt jump shot from 12 ft (assist by L. Galloway),,98,78
4,8:27.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wade),98,81
4,8:09.0,Z. Pachulia misses 2-pt layup from 3 ft,,98,81
4,8:06.0,,Defensive rebound by H. Whiteside,98,81
4,7:46.0,,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),98,84
4,7:46.0,Detroit full timeout,,98,84
4,7:46.0,A. Drummond enters the game for T. Maker,,98,84
4,7:46.0,B. Griffin enters the game for Z. Pachulia,,98,84
