QUARTER,TIME_REMAINING,INDIANA_ACTION,BOSTON_ACTION,INDIANA_SCORE,BOSTON_SCORE
4,11:13.0,,Defensive rebound by T. Rozier,53,64
4,10:57.0,,J. Tatum makes 2-pt jump shot from 18 ft (assist by T. Rozier),53,66
4,10:34.0,D. McDermott misses 3-pt jump shot from 24 ft,,53,66
4,10:32.0,,Defensive rebound by T. Rozier,53,66
4,10:27.0,,Offensive foul by T. Rozier (drawn by C. Joseph),53,66
4,10:27.0,,Turnover by T. Rozier (offensive foul),53,66
4,10:27.0,B. Bogdanović enters the game for D. McDermott,,53,66
4,10:14.0,Shooting foul by A. Baynes (drawn by T. Evans),,53,66
4,10:14.0,T. Evans misses free throw 1 of 2,,53,66
4,10:14.0,Offensive rebound by Team,,53,66
4,10:14.0,,A. Horford enters the game for A. Baynes,53,66
4,10:14.0,T. Evans misses free throw 2 of 2,,53,66
4,10:14.0,,Defensive rebound by M. Morris,53,66
4,9:57.0,,G. Hayward misses 2-pt layup from 3 ft (block by T. Evans),53,66
4,9:54.0,Defensive rebound by T. Young,,53,66
4,9:46.0,T. Young misses 2-pt layup from 1 ft,,53,66
4,9:43.0,,Defensive rebound by A. Horford,53,66
4,9:39.0,,G. Hayward makes 2-pt layup from 1 ft (assist by A. Horford),53,68
4,9:39.0,Indiana full timeout,,53,68
4,9:21.0,,Violation by Team (kicked ball),53,68
4,9:06.0,C. Joseph makes 2-pt jump shot from 17 ft (assist by D. Sabonis),,55,68
4,8:43.0,,Turnover by J. Tatum (bad pass; steal by T. Young),55,68
4,8:39.0,T. Young misses 2-pt layup from 2 ft,,55,68
4,8:37.0,,Defensive rebound by A. Horford,55,68
4,8:34.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by A. Horford),55,71
4,8:19.0,Personal foul by T. Rozier (drawn by D. Sabonis),,55,71
4,8:19.0,,K. Irving enters the game for G. Hayward,55,71
4,8:08.0,D. Sabonis misses 2-pt jump shot from 19 ft,,55,71
4,8:06.0,,Defensive rebound by M. Morris,55,71
4,7:51.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),55,74
4,7:35.0,T. Evans misses 2-pt jump shot from 22 ft,,55,74
4,7:33.0,,Defensive rebound by M. Morris,55,74
4,7:23.0,,Personal foul by T. Evans (drawn by K. Irving),55,74
4,7:23.0,D. Collison enters the game for T. Evans,,55,74
4,7:23.0,W. Matthews enters the game for C. Joseph,,55,74
4,7:23.0,M. Turner enters the game for D. Sabonis,,55,74
4,7:16.0,,A. Horford misses 2-pt jump shot from 18 ft,55,74
4,7:14.0,Defensive rebound by M. Turner,,55,74
4,7:01.0,,Violation by Team (kicked ball),55,74
4,6:53.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,57,74
4,6:41.0,,Shooting foul by W. Matthews (drawn by K. Irving),57,74
4,6:41.0,,K. Irving makes free throw 1 of 2,57,75
4,6:41.0,,J. Brown enters the game for J. Tatum,57,75
4,6:41.0,,K. Irving makes free throw 2 of 2,57,76
4,6:27.0,D. Collison makes 2-pt jump shot from 17 ft (assist by T. Young),,59,76
4,6:08.0,,Personal foul by M. Turner (drawn by A. Horford),59,76
4,5:54.0,,Turnover by Team (shot clock),59,76
4,5:34.0,D. Collison misses 3-pt jump shot from 26 ft,,59,76
4,5:32.0,,Defensive rebound by K. Irving,59,76
4,5:21.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),59,79
4,5:01.0,T. Young makes 2-pt layup from 1 ft (assist by W. Matthews),,61,79
4,5:01.0,Shooting foul by M. Morris (drawn by T. Young),,61,79
4,5:01.0,,A. Baynes enters the game for A. Horford,61,79
4,5:01.0,,G. Hayward enters the game for T. Rozier,61,79
4,5:01.0,T. Young makes free throw 1 of 1,,62,79
4,4:51.0,,K. Irving misses 2-pt layup from 1 ft,62,79
4,4:49.0,Defensive rebound by M. Turner,,62,79
4,4:40.0,Turnover by T. Young (out of bounds lost ball),,62,79
4,4:40.0,,Boston full timeout,62,79
4,4:40.0,,J. Tatum enters the game for M. Morris,62,79
