QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
3,9:44.0,Defensive rebound by A. Davis,,55,67
3,9:37.0,E. Payton makes 2-pt layup from 3 ft,,57,67
3,9:23.0,,D. Mitchell makes 2-pt jump shot from 10 ft,57,69
3,9:09.0,Shooting foul by R. Rubio (drawn by J. Randle),,57,69
3,9:09.0,J. Randle makes free throw 1 of 2,,58,69
3,9:09.0,J. Randle makes free throw 2 of 2,,59,69
3,8:57.0,,J. Ingles misses 2-pt layup from 4 ft (block by A. Davis),59,69
3,8:54.0,,Offensive rebound by R. Gobert,59,69
3,8:49.0,,R. Rubio misses 2-pt jump shot from 14 ft,59,69
3,8:46.0,Defensive rebound by A. Davis,,59,69
3,8:33.0,J. Randle makes 2-pt layup from 2 ft,,61,69
3,8:25.0,,Personal foul by J. Randle (drawn by R. Gobert),61,69
3,8:19.0,,J. Ingles misses 3-pt jump shot from 25 ft,61,69
3,8:15.0,Defensive rebound by A. Davis,,61,69
3,7:55.0,Turnover by J. Holiday (bad pass),,61,69
3,7:36.0,,D. Mitchell misses 2-pt jump shot from 20 ft,61,69
3,7:32.0,Defensive rebound by E. Payton,,61,69
3,7:15.0,Turnover by A. Davis (bad pass; steal by R. Rubio),,61,69
3,7:13.0,,Turnover by R. Rubio (bad pass; steal by A. Davis),61,69
3,7:13.0,,J. Crowder enters the game for D. Favors,61,69
3,7:13.0,,K. Korver enters the game for J. Ingles,61,69
3,7:05.0,A. Davis makes 2-pt dunk from 2 ft (assist by J. Holiday),,63,69
3,7:05.0,,Utah full timeout,63,69
3,7:05.0,E. Moore enters the game for E. Payton,,63,69
3,6:52.0,,D. Mitchell misses 2-pt layup from 4 ft,63,69
3,6:51.0,Defensive rebound by A. Davis,,63,69
3,6:38.0,J. Randle misses 2-pt layup from 4 ft (block by J. Crowder),,63,69
3,6:38.0,Offensive rebound by Team,,63,69
3,6:29.0,J. Holiday makes 2-pt layup from 5 ft,,65,69
3,6:11.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by D. Mitchell),65,72
3,5:53.0,A. Davis makes 2-pt jump shot from 11 ft (assist by J. Randle),,67,72
3,5:38.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by K. Korver),67,74
3,5:26.0,J. Holiday makes 2-pt jump shot from 17 ft,,69,74
3,5:09.0,,D. Mitchell misses 3-pt jump shot from 26 ft,69,74
3,5:07.0,,Offensive rebound by J. Crowder,69,74
3,5:05.0,,D. Mitchell misses 3-pt jump shot from 25 ft,69,74
3,5:00.0,Defensive rebound by Team,,69,74
3,5:00.0,,R. O'Neale enters the game for R. Rubio,69,74
3,4:52.0,J. Holiday makes 2-pt jump shot from 5 ft,,71,74
3,4:52.0,Shooting foul by R. O'Neale (drawn by J. Holiday),,71,74
3,4:52.0,J. Holiday makes free throw 1 of 1,,72,74
3,4:35.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),72,76
3,4:25.0,A. Davis makes 3-pt jump shot from 25 ft (assist by E. Moore),,75,76
3,4:10.0,,D. Mitchell makes 2-pt jump shot from 9 ft,75,78
3,3:54.0,J. Randle makes 2-pt dunk from 22 ft (assist by J. Holiday),,77,78
3,3:37.0,,R. O'Neale misses 3-pt jump shot from 24 ft,77,78
3,3:33.0,Defensive rebound by J. Randle,,77,78
3,3:22.0,A. Davis misses 2-pt layup from 4 ft,,77,78
3,3:20.0,,Defensive rebound by R. Gobert,77,78
3,3:11.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by R. O'Neale),77,81
3,3:08.0,New Orleans full timeout,,77,81
3,3:08.0,C. Diallo enters the game for A. Davis,,77,81
3,3:08.0,D. Miller enters the game for J. Holiday,,77,81
3,3:08.0,E. Payton enters the game for K. Williams,,77,81
3,3:08.0,,D. Favors enters the game for R. Gobert,77,81
3,3:08.0,,J. Ingles enters the game for D. Mitchell,77,81
3,2:54.0,E. Moore makes 2-pt jump shot from 4 ft,,79,81
3,2:38.0,,K. Korver misses 3-pt jump shot from 25 ft,79,81
3,2:35.0,Defensive rebound by C. Diallo,,79,81
3,2:29.0,Personal foul by K. Korver (drawn by J. Randle),,79,81
3,2:21.0,E. Moore misses 2-pt jump shot from 14 ft,,79,81
3,2:18.0,,Defensive rebound by D. Favors,79,81
3,2:03.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Favors),79,84
3,1:47.0,E. Payton misses 2-pt layup from 8 ft,,79,84
3,1:43.0,,Defensive rebound by R. O'Neale,79,84
3,1:33.0,,Personal foul by E. Moore (drawn by D. Favors),79,84
3,1:22.0,,D. Favors misses 2-pt jump shot from 18 ft,79,84
