QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
2,5:13.0,,Turnover by L. Dončić (offensive foul),28,41
2,4:56.0,J. Grant misses 2-pt jump shot from 13 ft,,28,41
2,4:54.0,,Defensive rebound by D. Jordan,28,41
2,4:44.0,,D. Smith makes 2-pt jump shot from 5 ft,28,43
2,4:44.0,Oklahoma City full timeout,,28,43
2,4:44.0,,W. Matthews enters the game for M. Kleber,28,43
2,4:29.0,D. Schröder misses 3-pt jump shot from 24 ft,,28,43
2,4:25.0,,Defensive rebound by L. Dončić,28,43
2,4:10.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Smith),28,46
2,3:52.0,Shooting foul by D. Finney-Smith (drawn by S. Adams),,28,46
2,3:52.0,S. Adams makes free throw 1 of 2,,29,46
2,3:52.0,S. Adams makes free throw 2 of 2,,30,46
2,3:34.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Jordan),30,49
2,3:13.0,P. George misses 2-pt jump shot from 7 ft,,30,49
2,3:11.0,Offensive rebound by P. George,,30,49
2,3:10.0,P. George misses 2-pt layup from 7 ft,,30,49
2,3:08.0,Offensive rebound by P. George,,30,49
2,3:04.0,Personal foul by D. Finney-Smith (drawn by P. George),,30,49
2,2:54.0,Turnover by P. George (lost ball; steal by D. Finney-Smith),,30,49
2,2:47.0,,D. Smith makes 3-pt jump shot from 23 ft (assist by W. Matthews),30,52
2,2:36.0,D. Schröder makes 2-pt jump shot from 13 ft,,32,52
2,2:36.0,Shooting foul by L. Dončić (drawn by D. Schröder),,32,52
2,2:36.0,D. Schröder makes free throw 1 of 1,,33,52
2,2:22.0,,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),33,54
2,2:12.0,D. Schröder misses 2-pt jump shot from 17 ft,,33,54
2,2:10.0,,Defensive rebound by D. Finney-Smith,33,54
2,2:02.0,,L. Dončić makes 2-pt jump shot from 6 ft (assist by D. Finney-Smith),33,56
2,2:02.0,,Shooting foul by T. Ferguson (drawn by L. Dončić),33,56
2,2:02.0,,L. Dončić makes free throw 1 of 1,33,57
2,1:39.0,T. Ferguson misses 3-pt jump shot from 25 ft,,33,57
2,1:37.0,Offensive rebound by S. Adams,,33,57
2,1:37.0,S. Adams makes 2-pt layup from 1 ft,,35,57
2,1:37.0,Shooting foul by D. Jordan (drawn by S. Adams),,35,57
