QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
3,10:41.0,Shooting foul by N. Bjelica (drawn by J. Jackson),,46,66
3,10:41.0,J. Jackson makes free throw 1 of 2,,47,66
3,10:41.0,J. Jackson misses free throw 2 of 2,,47,66
3,10:40.0,Offensive rebound by Team,,47,66
3,10:32.0,Turnover by J. Jackson (lost ball; steal by W. Cauley-Stein),,47,66
3,10:24.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),47,69
3,10:02.0,D. Booker misses 2-pt jump shot from 12 ft (block by N. Bjelica),,47,69
3,9:59.0,,Defensive rebound by W. Cauley-Stein,47,69
3,9:55.0,,B. Hield misses 3-pt jump shot from 25 ft,47,69
3,9:51.0,,Offensive rebound by N. Bjelica,47,69
3,9:51.0,,N. Bjelica misses 2-pt layup from 1 ft,47,69
3,9:50.0,Defensive rebound by J. Jackson,,47,69
3,9:44.0,D. Ayton makes 2-pt dunk from 1 ft (assist by J. Jackson),,49,69
3,9:35.0,,N. Bjelica misses 3-pt jump shot from 27 ft,49,69
3,9:33.0,Defensive rebound by Team,,49,69
3,9:20.0,T. Johnson misses 2-pt layup from 1 ft,,49,69
3,9:18.0,,Defensive rebound by D. Fox,49,69
3,9:15.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by D. Fox),49,71
3,9:03.0,Personal foul by B. Hield (drawn by D. Booker),,49,71
3,8:56.0,D. Booker misses 2-pt jump shot from 11 ft,,49,71
3,8:55.0,,Defensive rebound by N. Bjelica,49,71
3,8:55.0,,Personal take foul by D. Booker (drawn by N. Bjelica),49,71
3,8:45.0,,Turnover by H. Barnes (traveling),49,71
3,8:28.0,Turnover by J. Jackson (bad pass),,49,71
3,8:19.0,,B. Hield misses 3-pt jump shot from 26 ft,49,71
3,8:17.0,Defensive rebound by D. Booker,,49,71
3,8:17.0,Personal foul by N. Bjelica (drawn by D. Booker),,49,71
3,8:09.0,J. Jackson misses 2-pt layup from 6 ft (block by N. Bjelica),,49,71
3,8:05.0,,Defensive rebound by H. Barnes,49,71
3,7:58.0,,Shooting foul by D. Booker (drawn by W. Cauley-Stein),49,71
3,7:58.0,,W. Cauley-Stein makes free throw 1 of 2,49,72
3,7:58.0,,W. Cauley-Stein misses free throw 2 of 2,49,72
3,7:56.0,Defensive rebound by D. Ayton,,49,72
3,7:37.0,J. Jackson misses 2-pt layup from 3 ft (block by W. Cauley-Stein),,49,72
3,7:33.0,,Defensive rebound by N. Bjelica,49,72
3,7:31.0,,H. Barnes misses 3-pt jump shot from 25 ft,49,72
3,7:26.0,,Offensive rebound by W. Cauley-Stein,49,72
3,7:24.0,,Turnover by B. Hield (bad pass),49,72
3,7:24.0,Phoenix full timeout,,49,72
3,7:24.0,E. Okobo enters the game for D. Booker,,49,72
3,7:24.0,K. Oubre enters the game for T. Johnson,,49,72
3,7:06.0,Turnover by E. Okobo (bad pass; steal by H. Barnes),,49,72
3,7:03.0,,Shooting foul by K. Oubre (drawn by B. Hield),49,72
3,7:03.0,,B. Hield makes free throw 1 of 2,49,73
3,7:03.0,,B. Hield makes free throw 2 of 2,49,74
3,6:42.0,Turnover by K. Oubre (lost ball; steal by N. Bjelica),,49,74
3,6:30.0,,Turnover by H. Barnes (bad pass; steal by M. Bridges),49,74
3,6:21.0,Shooting foul by N. Bjelica (drawn by J. Jackson),,49,74
3,6:21.0,J. Jackson misses free throw 1 of 2,,49,74
3,6:21.0,Offensive rebound by Team,,49,74
