QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
3,10:52.0,D. Šarić misses 2-pt layup at rim (block by E. Gordon),,49,55
3,10:52.0,Offensive rebound by Team,,49,55
3,10:50.0,K. Towns makes 2-pt jump shot from 15 ft (assist by A. Wiggins),,51,55
3,10:41.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by J. Harden),51,58
3,10:41.0,Minnesota full timeout,,51,58
3,10:22.0,T. Jones misses 3-pt jump shot from 27 ft,,51,58
3,10:21.0,Offensive rebound by D. Šarić,,51,58
3,10:21.0,Shooting foul by C. Paul (drawn by D. Šarić),,51,58
3,10:21.0,D. Šarić makes free throw 1 of 2,,52,58
3,10:21.0,D. Šarić makes free throw 2 of 2,,53,58
3,10:08.0,,E. Gordon misses 3-pt jump shot from 28 ft,53,58
3,10:06.0,Defensive rebound by K. Towns,,53,58
3,9:50.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),,56,58
3,9:23.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Paul),56,61
3,9:10.0,Personal foul by J. Harden (drawn by A. Wiggins),,56,61
3,9:07.0,K. Towns misses 2-pt layup from 2 ft (block by C. Capela),,56,61
3,9:05.0,,Defensive rebound by C. Paul,56,61
3,8:59.0,,C. Paul makes 3-pt jump shot from 27 ft,56,64
3,8:50.0,Personal foul by P. Tucker (drawn by K. Towns),,56,64
3,8:40.0,J. Okogie misses 3-pt jump shot from 23 ft,,56,64
3,8:37.0,,Defensive rebound by C. Capela,56,64
3,8:20.0,,J. Harden misses 3-pt jump shot from 27 ft,56,64
3,8:18.0,Defensive rebound by J. Okogie,,56,64
3,8:02.0,K. Towns makes 2-pt jump shot from 1 ft,,58,64
3,7:46.0,,C. Paul makes 3-pt jump shot from 28 ft,58,67
3,7:28.0,Turnover by D. Šarić (bad pass; steal by C. Paul),,58,67
3,7:14.0,,C. Paul makes 3-pt jump shot from 23 ft,58,70
3,7:13.0,Minnesota full timeout,,58,70
3,7:13.0,T. Gibson enters the game for D. Šarić,,58,70
3,7:13.0,,D. House enters the game for P. Tucker,58,70
3,7:00.0,T. Jones misses 2-pt jump shot from 12 ft,,58,70
3,6:58.0,,Defensive rebound by D. House,58,70
3,6:56.0,Clear path foul by C. Capela,,58,70
3,6:56.0,,C. Capela makes clear path free throw 1 of 2,58,71
3,6:56.0,,C. Capela makes clear path free throw 2 of 2,58,72
3,6:48.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by J. Harden),58,75
3,6:36.0,Personal foul by C. Paul (drawn by T. Jones),,58,75
3,6:36.0,,I. Shumpert enters the game for C. Paul,58,75
3,6:25.0,K. Towns makes 2-pt hook shot from 6 ft,,60,75
3,6:15.0,,J. Harden misses 2-pt jump shot from 9 ft,60,75
3,6:13.0,Defensive rebound by A. Wiggins,,60,75
