QUARTER,TIME_REMAINING,HOUSTON_ACTION,TORONTO_ACTION,HOUSTON_SCORE,TORONTO_SCORE
3,4:03.0,,P. Siakam makes 2-pt layup from 2 ft,62,62
3,3:46.0,C. Capela misses 2-pt layup from 3 ft (block by S. Ibaka),,62,62
3,3:43.0,Offensive rebound by C. Capela,,62,62
3,3:42.0,P. Tucker misses 3-pt jump shot from 23 ft,,62,62
3,3:40.0,Offensive rebound by Team,,62,62
3,3:40.0,,Toronto full timeout,62,62
3,3:40.0,N. Hilário enters the game for C. Capela,,62,62
3,3:30.0,A. Rivers misses 3-pt jump shot from 26 ft,,62,62
3,3:26.0,,Defensive rebound by S. Ibaka,62,62
3,3:21.0,,K. Lowry misses 3-pt jump shot from 25 ft,62,62
3,3:18.0,Defensive rebound by A. Rivers,,62,62
3,3:11.0,N. Hilário makes 2-pt layup from 2 ft,,64,62
3,2:47.0,,P. Siakam makes 2-pt hook shot from 5 ft,64,64
3,2:23.0,J. Harden misses 3-pt jump shot from 26 ft,,64,64
3,2:21.0,Offensive rebound by P. Tucker,,64,64
3,2:17.0,J. Harden misses 2-pt layup from 3 ft,,64,64
3,2:15.0,,Defensive rebound by K. Lowry,64,64
3,2:10.0,,D. Green misses 3-pt jump shot from 22 ft,64,64
3,2:10.0,,Offensive rebound by P. Siakam,64,64
3,1:59.0,,Personal foul by A. Rivers (drawn by P. Siakam),64,64
3,1:59.0,,P. Siakam makes free throw 1 of 2,64,65
3,1:59.0,G. Clark enters the game for J. Harden,,64,65
3,1:59.0,C. Paul enters the game for P. Tucker,,64,65
3,1:59.0,,M. Gasol enters the game for S. Ibaka,64,65
3,1:59.0,,N. Powell enters the game for K. Leonard,64,65
3,1:59.0,,P. Siakam misses free throw 2 of 2,64,65
3,1:58.0,Defensive rebound by G. Green,,64,65
3,1:43.0,N. Hilário makes 2-pt jump shot from 18 ft (assist by A. Rivers),,66,65
3,1:31.0,,K. Lowry makes 2-pt layup from 2 ft,66,67
3,1:15.0,G. Green misses 3-pt jump shot from 25 ft,,66,67
3,1:12.0,,Defensive rebound by P. Siakam,66,67
3,0:58.0,,K. Lowry misses 2-pt jump shot from 20 ft,66,67
3,0:55.0,Defensive rebound by N. Hilário,,66,67
3,0:49.0,Personal foul by N. Powell (drawn by G. Green),,66,67
3,0:49.0,,J. Lin enters the game for D. Green,66,67
3,0:49.0,,P. McCaw enters the game for K. Lowry,66,67
3,0:43.0,Shooting foul by N. Powell (drawn by C. Paul),,66,67
3,0:43.0,C. Paul makes free throw 1 of 3,,67,67
3,0:43.0,C. Paul makes free throw 2 of 3,,68,67
3,0:43.0,C. Paul makes free throw 3 of 3,,69,67
3,0:33.0,,P. Siakam makes 2-pt layup from 2 ft,69,69
3,0:29.0,C. Paul misses 3-pt jump shot from 26 ft,,69,69
3,0:27.0,,Defensive rebound by P. Siakam,69,69
3,0:14.0,,J. Lin misses 3-pt jump shot from 25 ft,69,69
3,0:11.0,,Offensive rebound by N. Powell,69,69
3,0:05.0,,N. Powell makes 2-pt layup from 2 ft,69,71
3,0:00.0,C. Paul misses 3-pt jump shot from 26 ft,,69,71
3,0:00.0,Offensive rebound by Team,,69,71
4,11:47.0,G. Green makes 3-pt jump shot from 23 ft (assist by C. Paul),,72,71
4,11:34.0,,Personal foul by G. Green (drawn by M. Gasol),72,71
4,11:34.0,,O. Anunoby enters the game for N. Powell,72,71
4,11:22.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by P. Siakam),72,73
4,11:08.0,G. Green makes 3-pt jump shot from 25 ft (assist by G. Clark),,75,73
4,10:50.0,,J. Lin misses 2-pt jump shot from 9 ft,75,73
4,10:48.0,Defensive rebound by N. Hilário,,75,73
4,10:33.0,Turnover by C. Paul (bad pass),,75,73
4,10:33.0,E. Gordon enters the game for G. Clark,,75,73
4,10:08.0,,J. Lin misses 2-pt layup from 3 ft (block by N. Hilário),75,73
4,10:04.0,Defensive rebound by N. Hilário,,75,73
4,9:57.0,G. Green misses 3-pt jump shot from 25 ft,,75,73
4,9:54.0,,Defensive rebound by J. Lin,75,73
4,9:49.0,,Turnover by J. Lin (lost ball; steal by N. Hilário),75,73
4,9:44.0,N. Hilário makes 2-pt dunk from 2 ft (assist by C. Paul),,77,73
4,9:27.0,,M. Gasol misses 2-pt jump shot from 7 ft,77,73
4,9:26.0,Defensive rebound by C. Paul,,77,73
4,9:21.0,G. Green makes 3-pt jump shot from 23 ft (assist by C. Paul),,80,73
4,9:20.0,,Toronto full timeout,80,73
4,9:20.0,C. Capela enters the game for N. Hilário,,80,73
4,9:20.0,P. Tucker enters the game for A. Rivers,,80,73
4,9:20.0,,K. Leonard enters the game for J. Lin,80,73
4,9:20.0,,K. Lowry enters the game for P. Siakam,80,73
4,9:07.0,,Turnover by K. Leonard (bad pass; steal by C. Paul),80,73
4,9:03.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Paul),,83,73
4,8:45.0,,K. Leonard misses 3-pt jump shot from 25 ft,83,73
4,8:42.0,Defensive rebound by C. Paul,,83,73
4,8:35.0,C. Paul misses 2-pt jump shot from 12 ft,,83,73
4,8:33.0,,Defensive rebound by Team,83,73
4,8:23.0,,K. Lowry makes 2-pt layup from 3 ft,83,75
4,8:06.0,Shooting foul by M. Gasol (drawn by G. Green),,83,75
4,8:06.0,G. Green makes free throw 1 of 2,,84,75
4,8:06.0,J. Harden enters the game for C. Paul,,84,75
4,8:06.0,G. Green makes free throw 2 of 2,,85,75
4,7:53.0,,Personal foul by E. Gordon (drawn by K. Leonard),85,75
4,7:40.0,,K. Lowry misses 2-pt jump shot from 13 ft,85,75
4,7:37.0,,Offensive rebound by K. Leonard,85,75
4,7:30.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by P. McCaw),85,78
4,7:08.0,J. Harden makes 3-pt jump shot from 27 ft,,88,78
4,6:58.0,,Personal foul by P. Tucker (drawn by K. Lowry),88,78
4,6:48.0,,K. Leonard makes 2-pt jump shot from 11 ft,88,80
4,6:28.0,E. Gordon misses 2-pt jump shot from 5 ft,,88,80
4,6:23.0,Offensive rebound by C. Capela,,88,80
4,6:20.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),,91,80
4,6:04.0,,K. Lowry misses 3-pt jump shot from 25 ft,91,80
4,6:02.0,Defensive rebound by C. Capela,,91,80
4,5:48.0,J. Harden makes 3-pt jump shot from 26 ft,,94,80
4,5:44.0,,Toronto full timeout,94,80
4,5:44.0,,D. Green enters the game for O. Anunoby,94,80
4,5:44.0,,S. Ibaka enters the game for M. Gasol,94,80
4,5:44.0,,P. Siakam enters the game for P. McCaw,94,80
4,5:36.0,,Personal foul by P. Tucker (drawn by K. Lowry),94,80
4,5:26.0,,K. Leonard makes 2-pt jump shot from 12 ft,94,82
4,5:12.0,Shooting foul by S. Ibaka (drawn by J. Harden),,94,82
4,5:12.0,J. Harden makes free throw 1 of 2,,95,82
4,5:12.0,C. Paul enters the game for G. Green,,95,82
4,5:12.0,J. Harden makes free throw 2 of 2,,96,82
4,4:49.0,,K. Leonard makes 3-pt jump shot from 25 ft,96,85
4,4:25.0,J. Harden misses 2-pt jump shot from 17 ft,,96,85
4,4:25.0,,Defensive rebound by Team,96,85
4,4:25.0,Loose ball foul by C. Capela (drawn by S. Ibaka),,96,85
4,4:25.0,,S. Ibaka makes free throw 1 of 2,96,86
4,4:25.0,,S. Ibaka makes free throw 2 of 2,96,87
4,4:02.0,C. Paul misses 2-pt jump shot from 8 ft,,96,87
4,4:00.0,,Defensive rebound by S. Ibaka,96,87
4,3:40.0,,P. Siakam misses 2-pt jump shot from 8 ft,96,87
4,3:37.0,Defensive rebound by C. Capela,,96,87
4,3:31.0,Shooting foul by P. Siakam (drawn by J. Harden),,96,87
4,3:31.0,Houston full timeout,,96,87
4,3:31.0,J. Harden makes free throw 1 of 2,,97,87
4,3:31.0,J. Harden makes free throw 2 of 2,,98,87
4,3:17.0,,K. Lowry misses 3-pt jump shot from 25 ft,98,87
4,3:14.0,Defensive rebound by C. Capela,,98,87
4,2:54.0,J. Harden makes 2-pt jump shot from 6 ft,,100,87
4,2:38.0,,K. Leonard makes 2-pt layup from 2 ft,100,89
4,2:38.0,,Shooting foul by P. Tucker (drawn by K. Leonard),100,89
4,2:38.0,,K. Leonard makes free throw 1 of 1,100,90
4,2:18.0,J. Harden makes 2-pt jump shot from 8 ft,,102,90
4,2:03.0,,K. Leonard misses 2-pt jump shot from 13 ft,102,90
4,2:00.0,,Offensive rebound by S. Ibaka,102,90
