QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
4,10:58.0,G. Dragić makes 2-pt layup from 1 ft (assist by K. Olynyk),,100,91
4,10:47.0,,G. Green misses 3-pt jump shot from 24 ft,100,91
4,10:45.0,Defensive rebound by D. Wade,,100,91
4,10:26.0,K. Olynyk misses 2-pt layup from 2 ft,,100,91
4,10:26.0,Offensive rebound by Team,,100,91
4,10:26.0,Turnover by K. Olynyk (traveling),,100,91
4,10:10.0,,A. Rivers makes 2-pt jump shot from 21 ft,100,93
4,10:02.0,Shooting foul by C. Paul (drawn by G. Dragić),,100,93
4,10:02.0,B. Adebayo enters the game for K. Olynyk,,100,93
4,10:02.0,G. Dragić makes free throw 1 of 2,,101,93
4,10:02.0,G. Dragić makes free throw 2 of 2,,102,93
4,9:38.0,,C. Paul misses 3-pt jump shot from 24 ft,102,93
4,9:38.0,Defensive rebound by D. Jones,,102,93
4,9:20.0,G. Dragić misses 2-pt jump shot from 11 ft,,102,93
4,9:19.0,,Defensive rebound by J. Harden,102,93
4,9:13.0,,J. Harden makes 3-pt jump shot from 26 ft,102,96
4,8:54.0,Turnover by D. Wade (lost ball; steal by J. Harden),,102,96
4,8:50.0,,Shooting foul by B. Adebayo (drawn by J. Harden),102,96
4,8:50.0,,J. Harden makes free throw 1 of 2,102,97
4,8:50.0,,J. Harden makes free throw 2 of 2,102,98
4,8:50.0,Miami full timeout,,102,98
4,8:50.0,K. Olynyk enters the game for B. Adebayo,,102,98
4,8:33.0,D. Wade misses 3-pt jump shot from 26 ft,,102,98
4,8:32.0,,Defensive rebound by A. Rivers,102,98
4,8:23.0,,Personal foul by J. Richardson (drawn by J. Harden),102,98
4,8:12.0,,G. Green misses 3-pt jump shot from 26 ft,102,98
4,8:11.0,Defensive rebound by D. Jones,,102,98
4,7:57.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by J. Richardson),,105,98
4,7:44.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by J. Harden),105,101
4,7:39.0,Miami full timeout,,105,101
4,7:39.0,D. Waiters enters the game for D. Jones,,105,101
4,7:39.0,J. Winslow enters the game for D. Wade,,105,101
4,7:39.0,,C. Capela enters the game for C. Paul,105,101
