QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MIAMI_ACTION,SAN ANTONIO_SCORE,MIAMI_SCORE
3,4:17.0,D. DeRozan makes 2-pt layup from 4 ft,,56,62
3,4:05.0,,J. Winslow makes 2-pt jump shot from 6 ft,56,64
3,3:58.0,M. Belinelli makes 2-pt layup from 1 ft (assist by D. DeRozan),,58,64
3,3:49.0,,Miami full timeout,58,64
3,3:49.0,,B. Adebayo enters the game for W. Ellington,58,64
3,3:49.0,,K. Olynyk enters the game for H. Whiteside,58,64
3,3:38.0,,J. Winslow makes 2-pt jump shot from 8 ft,58,66
3,3:21.0,Personal foul by K. Olynyk (drawn by D. DeRozan),,58,66
3,3:07.0,D. White misses 2-pt jump shot from 14 ft,,58,66
3,3:04.0,Offensive rebound by J. Poeltl,,58,66
3,2:59.0,M. Belinelli misses 2-pt layup from 1 ft,,58,66
3,2:56.0,,Defensive rebound by R. McGruder,58,66
3,2:51.0,,J. Winslow misses 3-pt jump shot from 24 ft,58,66
3,2:51.0,Defensive rebound by D. DeRozan,,58,66
3,2:51.0,Personal foul by B. Adebayo (drawn by D. DeRozan),,58,66
3,2:34.0,D. White misses 2-pt jump shot from 5 ft,,58,66
3,2:32.0,,Defensive rebound by B. Adebayo,58,66
3,2:25.0,,Shooting foul by J. Poeltl (drawn by B. Adebayo),58,66
3,2:25.0,,B. Adebayo makes free throw 1 of 2,58,67
3,2:25.0,B. Forbes enters the game for D. DeRozan,,58,67
3,2:25.0,P. Mills enters the game for D. White,,58,67
3,2:25.0,,J. Richardson enters the game for J. Winslow,58,67
3,2:25.0,,B. Adebayo makes free throw 2 of 2,58,68
3,2:20.0,Personal foul by B. Adebayo (drawn by J. Poeltl),,58,68
3,2:20.0,J. Poeltl makes free throw 1 of 2,,59,68
3,2:20.0,,W. Ellington enters the game for R. McGruder,59,68
3,2:20.0,J. Poeltl misses free throw 2 of 2,,59,68
3,2:16.0,Offensive rebound by D. Bertāns,,59,68
3,2:06.0,P. Mills misses 3-pt jump shot from 23 ft,,59,68
3,2:03.0,,Defensive rebound by K. Olynyk,59,68
3,1:55.0,,Turnover by K. Olynyk (bad pass; steal by M. Belinelli),59,68
3,1:48.0,Turnover by M. Belinelli (bad pass; steal by T. Johnson),,59,68
3,1:41.0,,W. Ellington makes 3-pt jump shot from 31 ft (assist by J. Richardson),59,71
3,1:21.0,M. Belinelli misses 2-pt jump shot from 22 ft,,59,71
3,1:17.0,,Defensive rebound by K. Olynyk,59,71
3,0:57.0,,J. Richardson misses 2-pt jump shot from 15 ft,59,71
3,0:57.0,,Offensive rebound by Team,59,71
3,0:57.0,Loose ball foul by D. Bertāns (drawn by K. Olynyk),,59,71
3,0:57.0,,K. Olynyk makes free throw 1 of 2,59,72
3,0:57.0,,K. Olynyk misses free throw 2 of 2,59,72
3,0:55.0,Defensive rebound by J. Poeltl,,59,72
3,0:38.0,D. Bertāns makes 2-pt layup from 1 ft (assist by B. Forbes),,61,72
3,0:23.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by K. Olynyk),61,75
3,0:05.0,B. Forbes makes 3-pt jump shot from 25 ft,,64,75
3,0:00.0,,J. Richardson misses 2-pt jump shot from 20 ft,64,75
3,0:00.0,,Offensive rebound by Team,64,75
4,11:41.0,L. Aldridge misses 2-pt jump shot from 15 ft,,64,75
4,11:39.0,,Defensive rebound by T. Johnson,64,75
4,11:32.0,,Personal foul by B. Forbes (drawn by K. Olynyk),64,75
4,11:17.0,,J. Richardson makes 2-pt jump shot from 9 ft,64,77
4,11:10.0,Shooting foul by K. Olynyk (drawn by D. Bertāns),,64,77
4,11:10.0,D. Bertāns makes free throw 1 of 2,,65,77
4,11:10.0,D. Bertāns makes free throw 2 of 2,,66,77
