QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA LAKERS_ACTION,PORTLAND_SCORE,LA LAKERS_SCORE
3,1:45.0,,Turnover by L. James (bad pass; steal by Z. Collins),83,87
3,1:40.0,D. Lillard misses 3-pt jump shot from 26 ft,,83,87
3,1:37.0,,Defensive rebound by J. Hart,83,87
3,1:30.0,,L. Ball misses 2-pt layup from 3 ft (block by Z. Collins),83,87
3,1:30.0,,Offensive rebound by T. Chandler,83,87
3,1:30.0,,Shooting foul by E. Turner (drawn by T. Chandler),83,87
3,1:30.0,,T. Chandler makes free throw 1 of 2,83,88
3,1:30.0,,T. Chandler makes free throw 2 of 2,83,89
3,1:18.0,E. Turner makes 2-pt jump shot from 3 ft,,85,89
3,1:03.0,,L. James makes 2-pt layup at rim,85,91
3,1:03.0,,Shooting foul by Z. Collins (drawn by L. James),85,91
3,1:03.0,,L. James makes free throw 1 of 1,85,92
3,0:53.0,Z. Collins misses 3-pt jump shot from 26 ft,,85,92
3,0:47.0,Offensive rebound by D. Lillard,,85,92
3,0:47.0,D. Lillard misses 2-pt dunk at rim,,85,92
3,0:47.0,,Defensive rebound by J. Hart,85,92
3,0:45.0,,Shooting foul by A. Aminu (drawn by L. James),85,92
3,0:45.0,,L. James makes free throw 1 of 2,85,93
3,0:45.0,,L. Stephenson enters the game for T. Chandler,85,93
3,0:45.0,,L. James makes free throw 2 of 2,85,94
3,0:38.0,Personal foul by L. Ball (drawn by D. Lillard),,85,94
3,0:38.0,D. Lillard makes free throw 1 of 2,,86,94
3,0:38.0,D. Lillard makes free throw 2 of 2,,87,94
3,0:22.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. Ball),87,97
3,0:03.0,Shooting foul by K. Caldwell-Pope (drawn by D. Lillard),,87,97
3,0:03.0,D. Lillard makes free throw 1 of 2,,88,97
3,0:03.0,D. Lillard makes free throw 2 of 2,,89,97
3,0:01.0,,L. Stephenson misses 3-pt jump shot from 43 ft,89,97
3,0:01.0,,Offensive rebound by Team,89,97
4,11:44.0,Personal take foul by K. Caldwell-Pope (drawn by Z. Collins),,89,97
4,11:36.0,Turnover by N. Stauskas (bad pass; steal by K. Caldwell-Pope),,89,97
4,11:34.0,,Shooting foul by N. Stauskas (drawn by K. Caldwell-Pope),89,97
4,11:34.0,,K. Caldwell-Pope makes free throw 1 of 2,89,98
