QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
4,6:43.0,,Defensive rebound by T. Ross,69,74
4,6:32.0,,E. Fournier misses 3-pt jump shot from 25 ft,69,74
4,6:30.0,Defensive rebound by Team,,69,74
4,6:30.0,J. Crowder enters the game for D. Mitchell,,69,74
4,6:30.0,R. O'Neale enters the game for T. Sefolosha,,69,74
4,6:17.0,D. Favors makes 2-pt dunk at rim (assist by J. Ingles),,71,74
4,6:01.0,,Shooting foul by D. Favors (drawn by N. Vučević),71,74
4,6:01.0,,N. Vučević makes free throw 1 of 2,71,75
4,6:01.0,,A. Gordon enters the game for T. Ross,71,75
4,6:01.0,,N. Vučević makes free throw 2 of 2,71,76
4,5:45.0,D. Favors makes 2-pt jump shot from 8 ft (assist by J. Ingles),,73,76
4,5:23.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by D. Augustin),73,78
4,5:12.0,D. Favors misses 2-pt jump shot from 3 ft,,73,78
4,5:09.0,,Defensive rebound by A. Gordon,73,78
4,4:51.0,,N. Vučević makes 2-pt layup from 3 ft (assist by D. Augustin),73,80
4,4:43.0,Personal foul by D. Augustin (drawn by D. Exum),,73,80
4,4:43.0,R. Gobert enters the game for D. Exum,,73,80
4,4:43.0,D. Mitchell enters the game for D. Favors,,73,80
4,4:43.0,R. Rubio enters the game for R. O'Neale,,73,80
4,4:35.0,J. Ingles misses 3-pt jump shot from 26 ft,,73,80
4,4:32.0,Offensive rebound by J. Crowder,,73,80
4,4:28.0,D. Mitchell makes 2-pt layup from 3 ft (assist by J. Ingles),,75,80
4,4:05.0,,Shooting foul by D. Mitchell (drawn by E. Fournier),75,80
4,4:05.0,,E. Fournier makes free throw 1 of 2,75,81
4,4:05.0,R. O'Neale enters the game for J. Ingles,,75,81
4,4:05.0,,E. Fournier makes free throw 2 of 2,75,82
4,3:50.0,D. Mitchell makes 2-pt jump shot from 20 ft,,77,82
4,3:36.0,,E. Fournier makes 2-pt jump shot from 8 ft (assist by N. Vučević),77,84
4,3:15.0,R. Rubio misses 3-pt jump shot from 24 ft,,77,84
4,3:12.0,,Defensive rebound by J. Isaac,77,84
4,3:02.0,,Turnover by E. Fournier (lost ball; steal by R. Rubio),77,84
4,3:01.0,Personal take foul by E. Fournier (drawn by R. Rubio),,77,84
4,3:01.0,J. Ingles enters the game for R. O'Neale,,77,84
4,2:53.0,D. Mitchell misses 2-pt layup from 8 ft,,77,84
4,2:48.0,,Defensive rebound by E. Fournier,77,84
4,2:33.0,,D. Augustin misses 2-pt layup from 5 ft,77,84
