QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
4,3:48.0,,Personal foul by V. Oladipo (drawn by C. Sexton),110,99
4,3:39.0,,C. Osman misses 3-pt jump shot from 25 ft,110,99
4,3:36.0,,Offensive rebound by T. Thompson,110,99
4,3:30.0,,Turnover by T. Thompson (lost ball; steal by V. Oladipo),110,99
4,3:24.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,110,99
4,3:21.0,,Defensive rebound by T. Thompson,110,99
4,3:20.0,,Shooting foul by V. Oladipo (drawn by C. Osman),110,99
4,3:20.0,,C. Osman makes free throw 1 of 2,110,100
4,3:20.0,,C. Osman makes free throw 2 of 2,110,101
4,3:20.0,Indiana full timeout,,110,101
4,3:20.0,D. Collison enters the game for V. Oladipo,,110,101
4,3:04.0,D. Sabonis misses 2-pt layup from 2 ft,,110,101
4,2:58.0,,Defensive rebound by J. Clarkson,110,101
4,2:54.0,,J. Clarkson makes 2-pt layup from 1 ft,110,103
4,2:30.0,D. Collison misses 2-pt jump shot from 18 ft,,110,103
4,2:26.0,,Defensive rebound by A. Burks,110,103
4,2:17.0,,T. Thompson makes 2-pt layup from 2 ft (assist by C. Sexton),110,105
4,2:02.0,T. Young makes 2-pt layup from 2 ft (assist by C. Joseph),,112,105
4,2:02.0,Shooting foul by C. Osman (drawn by T. Young),,112,105
4,2:02.0,V. Oladipo enters the game for C. Joseph,,112,105
4,2:02.0,T. Young makes free throw 1 of 1,,113,105
4,1:44.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by T. Thompson),113,108
4,1:34.0,Shooting foul by C. Osman (drawn by V. Oladipo),,113,108
4,1:34.0,V. Oladipo makes free throw 1 of 2,,114,108
4,1:34.0,V. Oladipo makes free throw 2 of 2,,115,108
4,1:24.0,,Personal foul by T. Young (drawn by A. Burks),115,108
4,1:24.0,,A. Burks makes free throw 1 of 2,115,109
4,1:24.0,,A. Burks makes free throw 2 of 2,115,110
4,1:11.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,115,110
4,1:07.0,Offensive rebound by D. Sabonis,,115,110
4,1:06.0,V. Oladipo makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,118,110
