QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
3,5:27.0,,K. Faried enters the game for C. Capela,62,83
3,5:27.0,,Violation by Team (delay of game),62,83
3,5:27.0,M. Bridges makes free throw 1 of 1,,63,83
3,5:11.0,,J. Harden makes 3-pt jump shot from 28 ft,63,86
3,4:58.0,F. Kaminsky misses 2-pt jump shot from 9 ft,,63,86
3,4:55.0,,Defensive rebound by K. Faried,63,86
3,4:51.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by P. Tucker),63,89
3,4:36.0,M. Monk misses 3-pt jump shot from 25 ft,,63,89
3,4:32.0,Offensive rebound by M. Bridges,,63,89
3,4:29.0,Turnover by M. Monk (bad pass; steal by P. Tucker),,63,89
3,4:13.0,,Shooting foul by M. Monk (drawn by J. Harden),63,89
3,4:13.0,,J. Harden makes free throw 1 of 2,63,90
3,4:13.0,,G. Green enters the game for E. Gordon,63,90
3,4:13.0,,I. Shumpert enters the game for P. Tucker,63,90
3,4:13.0,,J. Harden makes free throw 2 of 2,63,91
3,4:03.0,K. Walker makes 3-pt jump shot from 26 ft,,66,91
3,3:40.0,,A. Rivers misses 3-pt jump shot from 26 ft,66,91
3,3:37.0,Defensive rebound by M. Bridges,,66,91
3,3:28.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by K. Walker),,69,91
3,3:10.0,,K. Faried misses 2-pt jump shot from 5 ft,69,91
3,3:06.0,,Offensive rebound by K. Faried,69,91
3,3:06.0,,K. Faried misses 2-pt layup at rim,69,91
3,3:05.0,Defensive rebound by F. Kaminsky,,69,91
3,2:56.0,K. Walker makes 2-pt jump shot from 11 ft,,71,91
3,2:56.0,Shooting foul by A. Rivers (drawn by K. Walker),,71,91
3,2:56.0,,Houston full timeout,71,91
3,2:56.0,J. Lamb enters the game for D. Bacon,,71,91
3,2:56.0,K. Walker makes free throw 1 of 1,,72,91
3,2:37.0,,J. Harden misses 3-pt jump shot from 27 ft,72,91
3,2:33.0,Defensive rebound by K. Walker,,72,91
3,2:21.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,75,91
3,2:01.0,,Turnover by G. Green (bad pass),75,91
3,1:49.0,M. Monk misses 3-pt jump shot from 24 ft,,75,91
3,1:46.0,,Defensive rebound by K. Faried,75,91
3,1:42.0,,J. Harden misses 2-pt layup from 3 ft,75,91
3,1:38.0,,Offensive rebound by K. Faried,75,91
3,1:38.0,,K. Faried misses 2-pt layup at rim,75,91
3,1:37.0,,Offensive rebound by A. Rivers,75,91
3,1:36.0,,G. Green misses 3-pt jump shot from 25 ft,75,91
3,1:35.0,,Offensive rebound by Team,75,91
3,1:35.0,,C. Paul enters the game for A. Rivers,75,91
3,1:30.0,,K. Faried misses 3-pt jump shot from 26 ft,75,91
3,1:27.0,Defensive rebound by J. Lamb,,75,91
3,1:11.0,K. Walker makes 3-pt jump shot from 27 ft,,78,91
3,0:53.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Harden),78,93
3,0:40.0,M. Bridges misses 2-pt dunk from 2 ft,,78,93
3,0:39.0,,Defensive rebound by Team,78,93
3,0:39.0,D. Bacon enters the game for M. Bridges,,78,93
3,0:39.0,,C. Capela enters the game for K. Faried,78,93
3,0:39.0,,P. Tucker enters the game for G. Green,78,93
3,0:30.0,,J. Harden misses 3-pt jump shot from 26 ft,78,93
3,0:28.0,Defensive rebound by M. Monk,,78,93
3,0:09.0,Shooting foul by C. Capela (drawn by M. Monk),,78,93
3,0:09.0,M. Monk makes free throw 1 of 2,,79,93
3,0:09.0,M. Bridges enters the game for F. Kaminsky,,79,93
3,0:09.0,D. Graham enters the game for K. Walker,,79,93
