QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
4,11:47.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by D. Miller),92,64
4,11:25.0,K. Birch makes 2-pt dunk from 1 ft (assist by T. Ross),,94,64
4,11:08.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by T. Frazier),94,67
4,10:54.0,Shooting foul by E. Moore (drawn by E. Fournier),,94,67
4,10:54.0,E. Fournier makes free throw 1 of 2,,95,67
4,10:54.0,E. Fournier makes free throw 2 of 2,,96,67
4,10:35.0,,T. Frazier misses 2-pt jump shot from 14 ft,96,67
4,10:31.0,Defensive rebound by K. Birch,,96,67
4,10:18.0,E. Fournier misses 2-pt jump shot from 17 ft,,96,67
4,10:16.0,,Defensive rebound by D. Miller,96,67
4,10:02.0,,J. Randle misses 3-pt jump shot from 25 ft,96,67
4,9:58.0,Defensive rebound by J. Isaac,,96,67
4,9:48.0,J. Isaac misses 3-pt jump shot from 25 ft,,96,67
4,9:45.0,,Defensive rebound by E. Moore,96,67
4,9:40.0,,Turnover by E. Moore (bad pass),96,67
4,9:20.0,J. Isaac misses 2-pt jump shot from 11 ft,,96,67
4,9:18.0,,Defensive rebound by E. Moore,96,67
4,9:12.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Randle),96,70
4,8:48.0,T. Ross makes 3-pt jump shot from 23 ft (assist by I. Briscoe),,99,70
4,8:31.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Randle),99,73
4,8:10.0,I. Briscoe misses 3-pt jump shot from 23 ft,,99,73
4,8:06.0,Offensive rebound by E. Fournier,,99,73
4,8:04.0,E. Fournier makes 2-pt layup from 2 ft,,101,73
4,7:53.0,,J. Randle misses 3-pt jump shot from 24 ft,101,73
4,7:50.0,Defensive rebound by K. Birch,,101,73
4,7:48.0,Shooting foul by D. Miller (drawn by E. Fournier),,101,73
4,7:48.0,E. Fournier makes free throw 1 of 2,,102,73
4,7:48.0,A. Gordon enters the game for J. Isaac,,102,73
4,7:48.0,W. Iwundu enters the game for T. Ross,,102,73
4,7:48.0,,J. Okafor enters the game for C. Diallo,102,73
4,7:48.0,,K. Williams enters the game for J. Randle,102,73
4,7:48.0,E. Fournier makes free throw 2 of 2,,103,73
4,7:23.0,,E. Moore misses 3-pt jump shot from 24 ft,103,73
4,7:19.0,,Offensive rebound by J. Okafor,103,73
4,7:19.0,,J. Okafor makes 2-pt layup at rim,103,75
4,6:57.0,Turnover by W. Iwundu (bad pass; steal by J. Okafor),,103,75
4,6:46.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by T. Frazier),103,78
4,6:44.0,Orlando full timeout,,103,78
4,6:29.0,E. Fournier makes 2-pt layup from 1 ft (assist by K. Birch),,105,78
4,6:17.0,,E. Moore makes 2-pt jump shot from 5 ft (assist by T. Frazier),105,80
4,5:59.0,E. Fournier misses 2-pt jump shot from 9 ft,,105,80
4,5:57.0,,Defensive rebound by J. Okafor,105,80
4,5:46.0,,Turnover by J. Okafor (lost ball; steal by W. Iwundu),105,80
4,5:26.0,W. Iwundu misses 2-pt jump shot from 20 ft,,105,80
4,5:23.0,,Defensive rebound by T. Frazier,105,80
4,5:15.0,,D. Miller misses 3-pt jump shot from 27 ft,105,80
4,5:11.0,Defensive rebound by K. Birch,,105,80
4,4:56.0,E. Fournier misses 2-pt layup from 8 ft (block by E. Moore),,105,80
4,4:56.0,Offensive rebound by E. Fournier,,105,80
4,4:56.0,Turnover by E. Fournier (traveling),,105,80
4,4:56.0,,S. Johnson enters the game for E. Moore,105,80
4,4:39.0,,S. Johnson misses 2-pt jump shot from 17 ft,105,80
4,4:37.0,Defensive rebound by I. Briscoe,,105,80
4,4:29.0,K. Birch makes 2-pt dunk from 1 ft (assist by I. Briscoe),,107,80
4,4:14.0,,K. Williams misses 2-pt jump shot from 8 ft,107,80
4,4:11.0,,Offensive rebound by S. Johnson,107,80
4,4:08.0,,T. Frazier misses 2-pt layup from 1 ft,107,80
4,4:04.0,Defensive rebound by A. Gordon,,107,80
4,4:01.0,Shooting foul by K. Williams (drawn by A. Gordon),,107,80
4,4:01.0,A. Gordon makes free throw 1 of 2,,108,80
4,4:01.0,M. Frazier enters the game for K. Birch,,108,80
4,4:01.0,J. Grant enters the game for E. Fournier,,108,80
4,4:01.0,A. Jefferson enters the game for W. Iwundu,,108,80
