QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
3,4:03.0,,Defensive rebound by A. Davis,69,82
3,4:01.0,,New Orleans full timeout,69,82
3,4:01.0,M. Bridges enters the game for T. Ariza,,69,82
3,4:01.0,J. Jackson enters the game for I. Canaan,,69,82
3,3:44.0,,J. Holiday misses 2-pt jump shot from 23 ft,69,82
3,3:40.0,Defensive rebound by J. Jackson,,69,82
3,3:39.0,Personal foul by D. Miller (drawn by D. Ayton),,69,82
3,3:21.0,D. Ayton makes 2-pt layup from 3 ft (assist by D. Booker),,71,82
3,3:12.0,,Personal foul by T. Warren (drawn by A. Davis),71,82
3,3:12.0,,A. Davis makes free throw 1 of 2,71,83
3,3:12.0,,A. Davis makes free throw 2 of 2,71,84
3,2:55.0,D. Ayton makes 2-pt jump shot from 14 ft,,73,84
3,2:42.0,,A. Davis makes 2-pt layup from 2 ft,73,86
3,2:35.0,Offensive foul by J. Jackson (drawn by C. Diallo),,73,86
3,2:35.0,Turnover by J. Jackson (offensive foul),,73,86
3,2:35.0,R. Holmes enters the game for D. Ayton,,73,86
3,2:35.0,,J. Randle enters the game for A. Davis,73,86
3,2:15.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by J. Holiday),73,89
3,1:45.0,T. Warren misses 3-pt jump shot from 23 ft,,73,89
3,1:44.0,Offensive rebound by Team,,73,89
3,1:44.0,Turnover by Team (shot clock),,73,89
3,1:37.0,,Offensive foul by J. Randle (drawn by M. Bridges),73,89
3,1:37.0,,Turnover by J. Randle (offensive foul),73,89
3,1:27.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Booker),,76,89
3,1:14.0,,J. Randle misses 2-pt layup from 3 ft,76,89
3,1:11.0,Defensive rebound by T. Warren,,76,89
3,0:56.0,Turnover by M. Bridges (bad pass; steal by W. Johnson),,76,89
3,0:34.0,,Shooting foul by M. Bridges (drawn by C. Diallo),76,89
3,0:34.0,,C. Diallo makes free throw 1 of 2,76,90
3,0:34.0,,C. Diallo makes free throw 2 of 2,76,91
3,0:19.0,J. Jackson makes 3-pt jump shot from 24 ft (assist by D. Booker),,79,91
3,0:01.0,,Turnover by J. Holiday (lost ball; steal by D. Booker),79,91
3,0:00.0,D. Booker makes 3-pt jump shot from 48 ft,,82,91
4,11:53.0,,D. Miller misses 3-pt jump shot from 26 ft,82,91
4,11:45.0,Defensive rebound by J. Jackson,,82,91
4,11:33.0,Turnover by I. Canaan (lost ball; steal by D. Miller),,82,91
4,11:33.0,Loose ball foul by I. Canaan (drawn by D. Miller),,82,91
4,11:13.0,,J. Randle misses 2-pt jump shot from 5 ft (block by R. Holmes),82,91
4,11:13.0,,Offensive rebound by Team,82,91
4,11:12.0,,A. Davis misses 2-pt jump shot from 9 ft (block by T. Ariza),82,91
4,11:11.0,,Offensive rebound by A. Davis,82,91
4,11:11.0,,A. Davis misses 2-pt jump shot from 9 ft,82,91
4,11:10.0,Defensive rebound by R. Holmes,,82,91
4,11:01.0,Turnover by J. Jackson (bad pass; steal by A. Davis),,82,91
4,10:57.0,,I. Clark misses 3-pt jump shot from 26 ft,82,91
4,10:52.0,,Offensive rebound by J. Randle,82,91
4,10:51.0,,J. Randle makes 2-pt dunk at rim,82,93
4,10:27.0,J. Jackson makes 2-pt jump shot from 11 ft,,84,93
4,10:14.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by A. Davis),84,96
4,10:03.0,M. Bridges misses 2-pt jump shot from 6 ft,,84,96
4,10:00.0,,Defensive rebound by J. Randle,84,96
4,9:55.0,,D. Miller misses 3-pt jump shot from 26 ft,84,96
4,9:52.0,Defensive rebound by R. Holmes,,84,96
4,9:45.0,Turnover by I. Canaan (bad pass; steal by D. Miller),,84,96
4,9:39.0,,Turnover by I. Clark (lost ball; steal by I. Canaan),84,96
4,9:34.0,M. Bridges misses 3-pt jump shot from 26 ft,,84,96
4,9:31.0,,Defensive rebound by I. Clark,84,96
4,9:23.0,,A. Davis makes 2-pt layup from 1 ft (assist by T. Frazier),84,98
4,9:06.0,J. Jackson misses 2-pt jump shot from 22 ft,,84,98
4,9:03.0,,Defensive rebound by I. Clark,84,98
4,9:00.0,,Turnover by T. Frazier (bad pass),84,98
4,8:49.0,T. Ariza misses 3-pt jump shot from 27 ft,,84,98
4,8:46.0,,Defensive rebound by J. Randle,84,98
4,8:44.0,,Personal foul by T. Ariza (drawn by A. Davis),84,98
4,8:37.0,,I. Clark makes 2-pt jump shot from 5 ft (assist by T. Frazier),84,100
4,8:37.0,Phoenix full timeout,,84,100
4,8:37.0,D. Booker enters the game for M. Bridges,,84,100
4,8:37.0,J. Crawford enters the game for I. Canaan,,84,100
4,8:37.0,T. Warren enters the game for J. Jackson,,84,100
4,8:37.0,,J. Holiday enters the game for T. Frazier,84,100
4,8:21.0,D. Booker misses 3-pt jump shot from 26 ft,,84,100
4,8:17.0,Offensive rebound by R. Holmes,,84,100
4,8:14.0,T. Ariza misses 3-pt jump shot from 23 ft,,84,100
4,8:10.0,,Defensive rebound by I. Clark,84,100
4,8:05.0,,I. Clark misses 3-pt jump shot from 27 ft,84,100
4,8:01.0,Defensive rebound by T. Ariza,,84,100
4,7:49.0,T. Warren makes 3-pt jump shot from 27 ft (assist by D. Booker),,87,100
4,7:25.0,,Turnover by J. Randle (bad pass; steal by T. Ariza),87,100
4,7:19.0,D. Booker makes 2-pt layup from 3 ft,,89,100
4,7:18.0,,New Orleans full timeout,89,100
4,7:18.0,,E. Moore enters the game for I. Clark,89,100
4,7:07.0,,J. Randle misses 3-pt jump shot from 23 ft,89,100
4,7:02.0,Defensive rebound by T. Warren,,89,100
4,6:46.0,Turnover by D. Booker (lost ball; steal by J. Holiday),,89,100
4,6:42.0,,Personal foul by D. Booker (drawn by J. Holiday),89,100
4,6:36.0,,J. Holiday makes 3-pt jump shot from 26 ft,89,103
4,6:15.0,R. Holmes makes 2-pt layup from 2 ft (assist by D. Booker),,91,103
4,5:50.0,,J. Randle misses 2-pt layup from 3 ft,91,103
4,5:48.0,Defensive rebound by T. Ariza,,91,103
4,5:44.0,T. Warren misses 3-pt jump shot from 23 ft,,91,103
4,5:40.0,,Defensive rebound by J. Randle,91,103
4,5:22.0,,J. Holiday misses 2-pt jump shot from 15 ft (block by T. Warren),91,103
4,5:19.0,,Offensive rebound by J. Randle,91,103
4,5:19.0,,Turnover by J. Randle (traveling),91,103
4,5:13.0,Personal foul by J. Holiday (drawn by D. Booker),,91,103
4,4:58.0,J. Crawford makes 2-pt jump shot from 3 ft (assist by D. Booker),,93,103
4,4:45.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),93,106
4,4:45.0,D. Ayton enters the game for R. Holmes,,93,106
