QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
3,7:20.0,N. Batum makes 2-pt layup from 1 ft (assist by K. Walker),,49,50
3,7:05.0,,D. Jones misses 2-pt layup at rim (block by M. Williams),49,50
3,7:04.0,,Offensive rebound by K. Olynyk,49,50
3,7:02.0,,K. Olynyk misses 2-pt jump shot from 6 ft,49,50
3,7:01.0,Defensive rebound by M. Bridges,,49,50
3,7:01.0,Personal foul by D. Jones (drawn by M. Bridges),,49,50
3,7:01.0,M. Kidd-Gilchrist enters the game for M. Bridges,,49,50
3,7:01.0,J. Lamb enters the game for F. Kaminsky,,49,50
3,6:50.0,K. Walker makes 2-pt jump shot from 15 ft,,51,50
3,6:50.0,,Miami full timeout,51,50
3,6:50.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,51,50
3,6:33.0,,Turnover by D. Waiters (lost ball; steal by K. Walker),51,50
3,6:26.0,K. Walker misses 2-pt layup from 3 ft (block by D. Jones),,51,50
3,6:25.0,Offensive rebound by Team,,51,50
3,6:10.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,54,50
3,5:56.0,,J. Richardson misses 2-pt jump shot from 17 ft,54,50
3,5:55.0,Defensive rebound by Team,,54,50
3,5:54.0,,Loose ball foul by B. Adebayo (drawn by J. Lamb),54,50
3,5:54.0,,D. Wade enters the game for J. Richardson,54,50
3,5:47.0,,Violation by Team (kicked ball),54,50
3,5:39.0,N. Batum misses 3-pt jump shot from 23 ft,,54,50
3,5:36.0,Offensive rebound by F. Kaminsky,,54,50
3,5:30.0,K. Walker misses 3-pt jump shot from 25 ft,,54,50
3,5:27.0,,Defensive rebound by D. Waiters,54,50
3,5:11.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by B. Adebayo),54,53
3,4:55.0,J. Lamb misses 3-pt jump shot from 25 ft,,54,53
3,4:52.0,,Defensive rebound by B. Adebayo,54,53
3,4:41.0,,D. Waiters makes 3-pt jump shot from 24 ft (assist by D. Jones),54,56
3,4:23.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,54,56
3,4:20.0,,Defensive rebound by D. Waiters,54,56
3,4:10.0,,D. Waiters misses 3-pt jump shot from 24 ft,54,56
3,4:07.0,Defensive rebound by N. Batum,,54,56
3,3:56.0,J. Lamb makes 2-pt jump shot from 11 ft,,56,56
3,3:36.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Wade),56,58
3,3:33.0,Charlotte full timeout,,56,58
3,3:33.0,D. Bacon enters the game for N. Batum,,56,58
3,3:33.0,M. Kidd-Gilchrist enters the game for K. Walker,,56,58
3,3:33.0,T. Parker enters the game for M. Williams,,56,58
3,3:33.0,,G. Dragić enters the game for B. Adebayo,56,58
3,3:33.0,,H. Whiteside enters the game for D. Waiters,56,58
3,3:08.0,M. Kidd-Gilchrist misses 2-pt jump shot from 15 ft,,56,58
3,3:05.0,,Defensive rebound by D. Wade,56,58
3,2:56.0,,D. Wade misses 2-pt jump shot from 7 ft,56,58
3,2:54.0,Defensive rebound by D. Bacon,,56,58
3,2:46.0,J. Lamb misses 2-pt jump shot from 4 ft,,56,58
3,2:45.0,Offensive rebound by J. Lamb,,56,58
3,2:39.0,J. Lamb makes 2-pt layup from 1 ft,,58,58
3,2:25.0,,G. Dragić makes 3-pt jump shot from 27 ft (assist by K. Olynyk),58,61
3,2:04.0,D. Bacon misses 2-pt jump shot from 12 ft,,58,61
3,2:01.0,,Defensive rebound by K. Olynyk,58,61
3,1:52.0,,H. Whiteside misses 2-pt layup from 2 ft,58,61
3,1:49.0,Defensive rebound by J. Lamb,,58,61
3,1:43.0,F. Kaminsky misses 2-pt jump shot from 7 ft,,58,61
3,1:41.0,,Defensive rebound by K. Olynyk,58,61
3,1:28.0,,D. Wade misses 2-pt jump shot from 16 ft,58,61
3,1:25.0,Defensive rebound by T. Parker,,58,61
3,1:17.0,Turnover by T. Parker (lost ball; steal by H. Whiteside),,58,61
3,1:15.0,,Personal take foul by M. Kidd-Gilchrist (drawn by H. Whiteside),58,61
3,1:15.0,,J. Richardson enters the game for D. Jones,58,61
3,1:04.0,,G. Dragić misses 2-pt jump shot from 5 ft,58,61
3,1:02.0,Defensive rebound by D. Bacon,,58,61
3,0:53.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,58,61
3,0:50.0,,Defensive rebound by D. Wade,58,61
3,0:33.0,,Turnover by K. Olynyk (bad pass; steal by J. Lamb),58,61
3,0:31.0,J. Lamb makes 2-pt dunk from 1 ft,,60,61
3,0:15.0,,J. Richardson misses 3-pt jump shot from 25 ft,60,61
3,0:12.0,Defensive rebound by F. Kaminsky,,60,61
3,0:01.0,J. Lamb misses 2-pt layup from 2 ft,,60,61
3,0:00.0,Offensive rebound by Team,,60,61
3,0:00.0,F. Kaminsky misses 2-pt jump shot from 18 ft,,60,61
3,0:00.0,Offensive rebound by Team,,60,61
4,11:48.0,,J. Richardson misses 2-pt jump shot from 4 ft,60,61
4,11:47.0,,Offensive rebound by D. Wade,60,61
4,11:46.0,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Wade),60,61
4,11:46.0,,D. Wade makes free throw 1 of 2,60,62
4,11:46.0,,D. Wade makes free throw 2 of 2,60,63
4,11:26.0,J. Lamb misses 3-pt jump shot from 25 ft,,60,63
4,11:24.0,,Defensive rebound by D. Wade,60,63
4,11:14.0,,J. Richardson misses 2-pt layup from 1 ft,60,63
4,11:13.0,,Offensive rebound by H. Whiteside,60,63
4,11:12.0,,H. Whiteside makes 2-pt dunk from 1 ft,60,65
4,11:12.0,Charlotte full timeout,,60,65
4,11:12.0,N. Batum enters the game for M. Kidd-Gilchrist,,60,65
4,10:52.0,Personal foul by H. Whiteside (drawn by T. Parker),,60,65
4,10:37.0,D. Bacon misses 2-pt jump shot from 17 ft,,60,65
4,10:35.0,,Defensive rebound by J. Richardson,60,65
4,10:17.0,,D. Wade makes 2-pt jump shot from 8 ft,60,67
4,9:59.0,J. Lamb misses 2-pt jump shot from 18 ft,,60,67
4,9:57.0,,Defensive rebound by H. Whiteside,60,67
4,9:50.0,,D. Wade misses 2-pt jump shot from 9 ft,60,67
4,9:49.0,Defensive rebound by Team,,60,67
4,9:49.0,K. Walker enters the game for D. Bacon,,60,67
4,9:41.0,Personal foul by G. Dragić (drawn by T. Parker),,60,67
4,9:41.0,F. Kaminsky enters the game for B. Biyombo,,60,67
4,9:33.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by K. Walker),,62,67
4,9:33.0,Personal foul by G. Dragić (drawn by F. Kaminsky),,62,67
4,9:33.0,M. Williams enters the game for J. Lamb,,62,67
4,9:33.0,F. Kaminsky misses free throw 1 of 1,,62,67
4,9:33.0,,Defensive rebound by H. Whiteside,62,67
4,9:09.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),62,70
4,8:53.0,Shooting foul by H. Whiteside (drawn by F. Kaminsky),,62,70
4,8:53.0,F. Kaminsky makes free throw 1 of 2,,63,70
4,8:53.0,F. Kaminsky makes free throw 2 of 2,,64,70
4,8:43.0,Violation by Team (kicked ball),,64,70
4,8:35.0,,G. Dragić misses 3-pt jump shot from 23 ft,64,70
4,8:34.0,,Offensive rebound by H. Whiteside,64,70
4,8:34.0,,Personal foul by N. Batum (drawn by H. Whiteside),64,70
4,8:34.0,,Miami full timeout,64,70
4,8:21.0,,D. Wade makes 3-pt jump shot from 27 ft,64,73
4,7:54.0,Personal foul by H. Whiteside (drawn by F. Kaminsky),,64,73
4,7:54.0,F. Kaminsky makes free throw 1 of 2,,65,73
4,7:54.0,F. Kaminsky makes free throw 2 of 2,,66,73
4,7:39.0,,Personal foul by N. Batum (drawn by J. Johnson),66,73
4,7:28.0,,J. Richardson misses 3-pt jump shot from 23 ft,66,73
4,7:24.0,Defensive rebound by F. Kaminsky,,66,73
4,7:14.0,M. Williams misses 3-pt jump shot from 23 ft,,66,73
4,7:12.0,,Defensive rebound by D. Wade,66,73
4,7:04.0,,D. Wade misses 2-pt jump shot from 1 ft,66,73
4,7:01.0,,Offensive rebound by H. Whiteside,66,73
4,6:59.0,,H. Whiteside misses 2-pt dunk from 1 ft,66,73
4,6:58.0,Defensive rebound by N. Batum,,66,73
4,6:58.0,J. Lamb enters the game for T. Parker,,66,73
4,6:48.0,Turnover by K. Walker (lost ball; steal by J. Richardson),,66,73
4,6:47.0,,Offensive foul by J. Richardson (drawn by K. Walker),66,73
4,6:47.0,,Turnover by J. Richardson (offensive foul),66,73
4,6:38.0,K. Walker misses 3-pt jump shot from 25 ft,,66,73
4,6:36.0,,Defensive rebound by J. Richardson,66,73
4,6:33.0,,J. Richardson misses 2-pt layup from 1 ft (block by M. Williams),66,73
4,6:30.0,,Offensive rebound by D. Wade,66,73
4,6:29.0,,D. Wade misses 2-pt layup from 2 ft,66,73
4,6:28.0,Defensive rebound by N. Batum,,66,73
4,6:23.0,Shooting foul by J. Richardson (drawn by J. Lamb),,66,73
4,6:23.0,J. Lamb makes free throw 1 of 2,,67,73
