QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
3,10:55.0,,Defensive rebound by J. Tatum,65,49
3,10:50.0,,Personal foul by T. Hardaway (drawn by J. Tatum),65,49
3,10:50.0,,J. Brown enters the game for J. Tatum,65,49
3,10:43.0,,G. Hayward misses 2-pt jump shot from 20 ft,65,49
3,10:40.0,,Offensive rebound by A. Horford,65,49
3,10:32.0,,J. Brown misses 3-pt jump shot from 27 ft,65,49
3,10:30.0,Defensive rebound by E. Mudiay,,65,49
3,10:12.0,E. Mudiay misses 2-pt layup from 2 ft,,65,49
3,10:10.0,,Defensive rebound by G. Hayward,65,49
3,9:57.0,,G. Hayward misses 3-pt jump shot from 23 ft,65,49
3,9:54.0,,Offensive rebound by Team,65,49
3,9:46.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by A. Horford),65,52
3,9:31.0,M. Hezonja misses 3-pt jump shot from 25 ft,,65,52
3,9:30.0,,Defensive rebound by J. Brown,65,52
3,9:19.0,,J. Brown makes 2-pt layup from 2 ft (assist by K. Irving),65,54
3,9:18.0,New York full timeout,,65,54
3,9:05.0,T. Hardaway misses 2-pt jump shot from 14 ft,,65,54
3,9:04.0,Offensive rebound by E. Freedom,,65,54
3,9:04.0,E. Freedom misses 2-pt layup from 1 ft,,65,54
3,9:02.0,,Defensive rebound by A. Horford,65,54
3,8:46.0,,Offensive foul by M. Morris (drawn by E. Mudiay),65,54
3,8:46.0,,Turnover by M. Morris (offensive foul),65,54
3,8:46.0,,Violation by Team (delay of game),65,54
3,8:31.0,Turnover by T. Hardaway (bad pass),,65,54
3,8:11.0,,K. Irving misses 2-pt jump shot from 10 ft,65,54
3,8:09.0,Defensive rebound by E. Freedom,,65,54
3,7:59.0,N. Vonleh misses 2-pt hook shot from 2 ft,,65,54
3,7:58.0,Offensive rebound by N. Vonleh,,65,54
3,7:58.0,N. Vonleh makes 2-pt layup from 1 ft,,67,54
3,7:45.0,,G. Hayward misses 3-pt jump shot from 27 ft,67,54
3,7:45.0,Defensive rebound by N. Vonleh,,67,54
3,7:22.0,T. Hardaway makes 2-pt layup from 5 ft,,69,54
3,7:22.0,Shooting foul by G. Hayward (drawn by T. Hardaway),,69,54
3,7:22.0,T. Hardaway makes free throw 1 of 1,,70,54
3,7:07.0,,K. Irving misses 3-pt jump shot from 26 ft,70,54
3,7:05.0,Defensive rebound by M. Hezonja,,70,54
3,6:49.0,T. Hardaway misses 2-pt jump shot from 8 ft,,70,54
3,6:47.0,,Defensive rebound by M. Morris,70,54
3,6:36.0,,J. Brown makes 2-pt layup from 1 ft (assist by K. Irving),70,56
3,6:13.0,N. Vonleh makes 2-pt hook shot from 4 ft,,72,56
3,5:56.0,,K. Irving makes 2-pt jump shot from 22 ft (assist by M. Morris),72,58
3,5:37.0,T. Hardaway misses 2-pt layup from 4 ft (block by J. Brown),,72,58
3,5:34.0,,Defensive rebound by M. Morris,72,58
3,5:22.0,,J. Brown misses 2-pt layup from 4 ft,72,58
3,5:20.0,Defensive rebound by E. Freedom,,72,58
3,5:06.0,E. Freedom misses 2-pt layup from 1 ft,,72,58
3,5:04.0,,Defensive rebound by M. Morris,72,58
3,4:58.0,,M. Morris makes 2-pt layup from 3 ft,72,60
3,4:50.0,New York full timeout,,72,60
3,4:50.0,T. Burke enters the game for M. Hezonja,,72,60
3,4:50.0,F. Ntilikina enters the game for E. Mudiay,,72,60
3,4:50.0,,A. Baynes enters the game for G. Hayward,72,60
3,4:50.0,,M. Smart enters the game for A. Horford,72,60
3,4:49.0,Turnover by F. Ntilikina (bad pass; steal by K. Irving),,72,60
3,4:46.0,,K. Irving makes 2-pt layup from 4 ft,72,62
3,4:32.0,T. Hardaway makes 3-pt jump shot from 24 ft (assist by E. Freedom),,75,62
3,4:26.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),75,65
3,4:01.0,N. Vonleh makes 2-pt jump shot from 17 ft (assist by T. Burke),,77,65
3,3:45.0,Loose ball foul by E. Freedom (drawn by A. Baynes),,77,65
3,3:45.0,K. Knox enters the game for N. Vonleh,,77,65
3,3:34.0,,M. Morris misses 2-pt jump shot from 7 ft,77,65
3,3:32.0,Defensive rebound by E. Freedom,,77,65
3,3:23.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,77,65
