QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
3,6:59.0,Personal foul by D. Waiters (drawn by J. Allen),,54,67
3,6:59.0,,Miami full timeout,54,67
3,6:59.0,A. Crabbe enters the game for J. Allen,,54,67
3,6:59.0,E. Davis enters the game for C. LeVert,,54,67
3,6:52.0,D. Russell misses 3-pt jump shot from 25 ft,,54,67
3,6:48.0,,Defensive rebound by D. Waiters,54,67
3,6:32.0,,K. Olynyk misses 3-pt jump shot from 25 ft,54,67
3,6:29.0,Defensive rebound by E. Davis,,54,67
3,6:12.0,Personal foul by B. Adebayo (drawn by D. Russell),,54,67
3,6:12.0,S. Dinwiddie enters the game for D. Russell,,54,67
3,6:04.0,A. Crabbe misses 3-pt jump shot from 23 ft,,54,67
3,6:01.0,,Defensive rebound by K. Olynyk,54,67
3,5:38.0,,K. Olynyk makes 2-pt jump shot from 8 ft (assist by J. Winslow),54,69
3,5:10.0,S. Dinwiddie misses 2-pt layup from 2 ft,,54,69
3,5:07.0,,Defensive rebound by B. Adebayo,54,69
3,5:06.0,,J. Winslow misses 2-pt layup from 3 ft (block by S. Dinwiddie),54,69
3,5:04.0,,Offensive rebound by J. Winslow,54,69
3,5:00.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by J. Winslow),54,72
3,5:00.0,Brooklyn full timeout,,54,72
3,5:00.0,R. Kurucs enters the game for J. Harris,,54,72
3,5:00.0,,D. Jones enters the game for K. Olynyk,54,72
3,5:00.0,,D. Wade enters the game for J. Richardson,54,72
3,4:39.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,54,72
3,4:36.0,,Defensive rebound by D. Jones,54,72
3,4:22.0,,D. Jones makes 2-pt jump shot from 4 ft (assist by B. Adebayo),54,74
3,4:12.0,D. Carroll makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,56,74
3,3:48.0,,D. Jones makes 2-pt layup from 2 ft (assist by B. Adebayo),56,76
3,3:48.0,,Shooting foul by E. Davis (drawn by D. Jones),56,76
3,3:48.0,J. Dudley enters the game for E. Davis,,56,76
3,3:48.0,,D. Jones makes free throw 1 of 1,56,77
3,3:37.0,A. Crabbe misses 3-pt jump shot from 25 ft,,56,77
3,3:34.0,,Defensive rebound by B. Adebayo,56,77
3,3:26.0,,D. Jones makes 2-pt layup from 2 ft (assist by D. Waiters),56,79
3,3:02.0,R. Kurucs misses 3-pt jump shot from 25 ft,,56,79
3,2:59.0,,Defensive rebound by B. Adebayo,56,79
3,2:47.0,,Shooting foul by A. Crabbe (drawn by J. Winslow),56,79
3,2:47.0,,J. Winslow misses free throw 1 of 2,56,79
3,2:47.0,,Offensive rebound by Team,56,79
3,2:47.0,,J. Winslow misses free throw 2 of 2,56,79
3,2:47.0,Defensive rebound by A. Crabbe,,56,79
3,2:30.0,S. Dinwiddie makes 2-pt layup from 2 ft,,58,79
3,2:30.0,,Violation by Team (def goaltending),58,79
