QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
4,4:27.0,,T. Brown misses 2-pt jump shot from 17 ft,125,102
4,4:23.0,Defensive rebound by R. Gay,,125,102
4,4:21.0,San Antonio full timeout,,125,102
4,4:21.0,D. Motiejūnas enters the game for R. Gay,,125,102
4,4:21.0,Q. Pondexter enters the game for D. White,,125,102
4,4:21.0,,S. Dekker enters the game for J. Green,125,102
4,4:05.0,L. Walker misses 3-pt jump shot from 26 ft,,125,102
4,4:01.0,,Defensive rebound by D. Robinson,125,102
4,3:48.0,,B. Portis misses 2-pt layup from 2 ft (block by D. Motiejūnas),125,102
4,3:48.0,,Offensive rebound by Team,125,102
4,3:48.0,D. Eubanks enters the game for J. Poeltl,,125,102
4,3:39.0,,Turnover by Team (shot clock),125,102
4,3:18.0,D. Motiejūnas misses 2-pt hook shot from 6 ft,,125,102
4,3:15.0,Offensive rebound by D. Eubanks,,125,102
4,3:14.0,L. Walker misses 3-pt jump shot from 36 ft,,125,102
4,3:12.0,Offensive rebound by D. Motiejūnas,,125,102
4,3:12.0,Turnover by D. Motiejūnas (offensive foul),,125,102
4,3:12.0,Offensive foul by D. Motiejūnas (drawn by D. Robinson),,125,102
4,3:03.0,,B. Portis misses 3-pt jump shot from 26 ft,125,102
4,2:58.0,Defensive rebound by Q. Pondexter,,125,102
4,2:46.0,Turnover by D. Eubanks (lost ball; steal by C. Randle),,125,102
4,2:41.0,,T. Brown makes 2-pt layup from 2 ft (assist by D. Robinson),125,104
4,2:41.0,San Antonio full timeout,,125,104
4,2:27.0,D. Motiejūnas misses 2-pt hook shot from 15 ft,,125,104
4,2:23.0,,Defensive rebound by D. Robinson,125,104
4,2:12.0,,S. Dekker misses 2-pt layup from 4 ft (block by D. Eubanks),125,104
