QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
3,5:16.0,,I. Clark makes 2-pt jump shot from 10 ft,81,69
3,4:54.0,Turnover by L. Aldridge (lost ball; steal by F. Jackson),,81,69
3,4:51.0,,Shooting foul by D. White (drawn by F. Jackson),81,69
3,4:51.0,,F. Jackson misses free throw 1 of 2,81,69
3,4:51.0,,Offensive rebound by Team,81,69
3,4:51.0,M. Belinelli enters the game for B. Forbes,,81,69
3,4:51.0,P. Mills enters the game for D. White,,81,69
3,4:51.0,,F. Jackson misses free throw 2 of 2,81,69
3,4:48.0,Defensive rebound by L. Aldridge,,81,69
3,4:29.0,L. Aldridge makes 2-pt layup from 2 ft,,83,69
3,4:14.0,,J. Holiday misses 2-pt layup from 2 ft,83,69
3,4:14.0,Defensive rebound by Team,,83,69
3,4:00.0,L. Aldridge makes 2-pt jump shot from 14 ft (assist by P. Mills),,85,69
3,3:46.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by F. Jackson),85,72
3,3:39.0,San Antonio full timeout,,85,72
3,3:39.0,B. Forbes enters the game for R. Gay,,85,72
3,3:39.0,,C. Diallo enters the game for I. Clark,85,72
3,3:39.0,,S. Hill enters the game for F. Jackson,85,72
3,3:39.0,,E. Payton enters the game for J. Okafor,85,72
3,3:27.0,L. Aldridge makes 2-pt jump shot from 17 ft (assist by D. Cunningham),,87,72
3,3:01.0,,Shooting foul by B. Forbes (drawn by J. Holiday),87,72
3,3:01.0,,J. Holiday makes free throw 1 of 2,87,73
3,3:01.0,,J. Holiday misses free throw 2 of 2,87,73
3,2:58.0,Defensive rebound by L. Aldridge,,87,73
3,2:45.0,L. Aldridge makes 2-pt jump shot from 15 ft,,89,73
3,2:29.0,,D. Miller misses 2-pt jump shot from 10 ft,89,73
3,2:28.0,,Offensive rebound by Team,89,73
3,2:18.0,,C. Diallo makes 2-pt layup from 1 ft (assist by D. Miller),89,75
3,2:07.0,Shooting foul by C. Diallo (drawn by L. Aldridge),,89,75
3,2:07.0,L. Aldridge makes free throw 1 of 2,,90,75
3,2:07.0,L. Aldridge makes free throw 2 of 2,,91,75
3,1:54.0,,J. Holiday misses 2-pt jump shot from 23 ft,91,75
3,1:50.0,Defensive rebound by L. Aldridge,,91,75
3,1:45.0,B. Forbes makes 2-pt jump shot from 18 ft,,93,75
3,1:32.0,,J. Holiday makes 2-pt layup from 1 ft (assist by S. Hill),93,77
3,1:15.0,L. Aldridge misses 2-pt jump shot from 20 ft,,93,77
3,1:10.0,,Defensive rebound by J. Holiday,93,77
3,1:03.0,,Shooting foul by D. Cunningham (drawn by D. Miller),93,77
3,1:03.0,,D. Miller makes free throw 1 of 3,93,78
3,1:03.0,,D. Miller makes free throw 2 of 3,93,79
3,1:03.0,P. Gasol enters the game for L. Aldridge,,93,79
3,1:03.0,,D. Miller makes free throw 3 of 3,93,80
3,0:50.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by P. Gasol),,95,80
3,0:44.0,,D. Miller makes 3-pt jump shot from 29 ft (assist by E. Payton),95,83
3,0:33.0,P. Mills misses 3-pt jump shot from 25 ft,,95,83
3,0:30.0,Offensive rebound by D. Cunningham,,95,83
3,0:30.0,Shooting foul by S. Hill (drawn by D. Cunningham),,95,83
3,0:30.0,D. Cunningham misses free throw 1 of 2,,95,83
3,0:30.0,Offensive rebound by Team,,95,83
