QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
3,8:34.0,Turnover by E. Moore (lost ball; steal by T. Ferguson),,71,70
3,8:30.0,,Turnover by R. Westbrook (bad pass; steal by W. Johnson),71,70
3,8:22.0,A. Davis makes 2-pt jump shot from 8 ft (assist by E. Moore),,73,70
3,8:03.0,,Shooting foul by E. Moore (drawn by R. Westbrook),73,70
3,8:03.0,,R. Westbrook misses free throw 1 of 2,73,70
3,8:03.0,,Offensive rebound by Team,73,70
3,8:03.0,,R. Westbrook makes free throw 2 of 2,73,71
3,7:52.0,N. Mirotić misses 3-pt jump shot from 25 ft,,73,71
3,7:49.0,,Defensive rebound by R. Westbrook,73,71
3,7:45.0,,T. Ferguson misses 3-pt jump shot from 25 ft,73,71
3,7:42.0,Defensive rebound by Team,,73,71
3,7:42.0,,Loose ball foul by S. Adams (drawn by A. Davis),73,71
3,7:18.0,A. Davis misses 3-pt jump shot from 23 ft,,73,71
3,7:15.0,,Defensive rebound by R. Westbrook,73,71
3,7:10.0,,R. Westbrook misses 2-pt layup from 3 ft,73,71
3,7:09.0,,Offensive rebound by P. George,73,71
3,7:06.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by P. George),73,74
3,6:55.0,Personal foul by R. Westbrook (drawn by A. Davis),,73,74
3,6:47.0,Turnover by E. Moore (bad pass; steal by P. George),,73,74
3,6:43.0,,T. Ferguson makes 2-pt dunk from 1 ft (assist by R. Westbrook),73,76
3,6:31.0,J. Holiday makes 2-pt jump shot from 17 ft,,75,76
3,6:16.0,,R. Westbrook misses 3-pt jump shot from 26 ft,75,76
3,6:16.0,Defensive rebound by A. Davis,,75,76
3,6:08.0,Turnover by J. Holiday (traveling),,75,76
3,6:08.0,I. Clark enters the game for E. Moore,,75,76
3,5:56.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),75,79
3,5:54.0,New Orleans full timeout,,75,79
3,5:38.0,W. Johnson misses 3-pt jump shot from 23 ft,,75,79
3,5:35.0,,Defensive rebound by J. Grant,75,79
3,5:22.0,,S. Adams makes 2-pt jump shot from 7 ft,75,81
3,5:08.0,Turnover by J. Holiday (bad pass; steal by J. Grant),,75,81
3,5:01.0,,Personal foul by W. Johnson (drawn by S. Adams),75,81
3,5:01.0,D. Miller enters the game for W. Johnson,,75,81
3,5:01.0,J. Randle enters the game for N. Mirotić,,75,81
3,4:55.0,,P. George misses 2-pt jump shot from 16 ft,75,81
3,4:52.0,Defensive rebound by J. Randle,,75,81
3,4:44.0,Turnover by D. Miller (bad pass; steal by T. Ferguson),,75,81
3,4:38.0,,P. George makes 2-pt jump shot from 2 ft,75,83
3,4:38.0,,Shooting foul by D. Miller (drawn by P. George),75,83
3,4:38.0,,P. George makes free throw 1 of 1,75,84
3,4:31.0,A. Davis makes 2-pt jump shot from 7 ft (assist by I. Clark),,77,84
3,4:25.0,,Oklahoma City full timeout,77,84
3,4:25.0,,D. Schröder enters the game for R. Westbrook,77,84
3,4:12.0,,S. Adams misses 2-pt layup from 5 ft (block by J. Randle),77,84
3,4:10.0,,Offensive rebound by Team,77,84
3,4:05.0,,P. George misses 3-pt jump shot from 26 ft,77,84
3,4:03.0,Defensive rebound by J. Randle,,77,84
