QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
2,2:53.0,,Defensive rebound by Team,46,49
2,2:53.0,Loose ball foul by B. Brown (drawn by G. Temple),,46,49
2,2:38.0,,M. Gasol misses 2-pt jump shot from 21 ft,46,49
2,2:35.0,Defensive rebound by R. Jackson,,46,49
2,2:30.0,Turnover by R. Jackson (out of bounds lost ball),,46,49
2,2:30.0,,M. Conley enters the game for S. Mack,46,49
2,2:13.0,,K. Anderson makes 2-pt jump shot from 20 ft (assist by J. Jackson),46,51
2,1:47.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Brown),,49,51
2,1:27.0,,Turnover by K. Anderson (bad pass; steal by R. Jackson),49,51
2,1:23.0,Turnover by R. Jackson (bad pass; steal by G. Temple),,49,51
2,1:16.0,,K. Anderson makes 2-pt layup from 2 ft (assist by M. Gasol),49,53
2,1:04.0,B. Griffin makes 2-pt layup from 2 ft,,51,53
2,0:48.0,,M. Gasol misses 3-pt jump shot from 26 ft,51,53
2,0:45.0,Defensive rebound by R. Jackson,,51,53
2,0:26.0,B. Griffin misses 3-pt jump shot from 23 ft,,51,53
2,0:23.0,,Defensive rebound by M. Gasol,51,53
2,0:03.0,,M. Gasol misses 2-pt layup from 3 ft (block by R. Jackson),51,53
2,0:03.0,,Offensive rebound by M. Gasol,51,53
2,0:03.0,,Shooting foul by B. Brown (drawn by M. Gasol),51,53
2,0:03.0,,M. Gasol makes free throw 1 of 2,51,54
2,0:03.0,L. Kennard enters the game for B. Brown,,51,54
2,0:03.0,,J. Green enters the game for J. Jackson,51,54
2,0:03.0,,M. Gasol makes free throw 2 of 2,51,55
2,0:03.0,Personal foul by M. Gasol (drawn by A. Drummond),,51,55
2,0:03.0,A. Drummond misses free throw 1 of 2,,51,55
2,0:03.0,Offensive rebound by Team,,51,55
2,0:03.0,A. Drummond misses free throw 2 of 2,,51,55
2,0:02.0,Offensive rebound by B. Griffin,,51,55
2,0:00.0,B. Griffin misses 3-pt jump shot from 25 ft,,51,55
2,0:00.0,Offensive rebound by Team,,51,55
3,11:46.0,B. Brown misses 3-pt jump shot from 23 ft,,51,55
3,11:42.0,Offensive rebound by B. Brown,,51,55
3,11:35.0,R. Bullock misses 3-pt jump shot from 26 ft,,51,55
3,11:31.0,,Defensive rebound by M. Conley,51,55
3,11:14.0,,K. Anderson misses 2-pt jump shot from 7 ft,51,55
3,11:12.0,Defensive rebound by B. Brown,,51,55
3,10:51.0,R. Bullock misses 3-pt jump shot from 26 ft,,51,55
3,10:49.0,,Defensive rebound by K. Anderson,51,55
3,10:32.0,,Turnover by J. Jackson (lost ball; steal by B. Griffin),51,55
3,10:24.0,B. Brown misses 3-pt jump shot from 23 ft,,51,55
3,10:20.0,,Defensive rebound by J. Jackson,51,55
3,10:14.0,,G. Temple misses 3-pt jump shot from 22 ft,51,55
3,10:12.0,Defensive rebound by R. Jackson,,51,55
3,9:55.0,Shooting foul by M. Gasol (drawn by B. Griffin),,51,55
3,9:55.0,B. Griffin makes free throw 1 of 2,,52,55
3,9:55.0,B. Griffin misses free throw 2 of 2,,52,55
3,9:53.0,,Defensive rebound by G. Temple,52,55
3,9:39.0,,M. Conley misses 2-pt jump shot from 10 ft,52,55
3,9:37.0,Defensive rebound by B. Griffin,,52,55
3,9:26.0,B. Griffin misses 2-pt jump shot from 19 ft,,52,55
3,9:21.0,,Defensive rebound by J. Jackson,52,55
3,9:12.0,,M. Gasol misses 2-pt jump shot from 10 ft,52,55
3,9:12.0,,Offensive rebound by K. Anderson,52,55
3,9:12.0,,K. Anderson misses 2-pt layup from 2 ft,52,55
3,9:12.0,Defensive rebound by A. Drummond,,52,55
3,8:55.0,Personal foul by K. Anderson (drawn by B. Brown),,52,55
3,8:48.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by R. Jackson),,55,55
3,8:25.0,,Turnover by M. Conley (bad pass),55,55
3,8:12.0,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),,58,55
3,7:52.0,,Personal foul by B. Brown (drawn by J. Jackson),58,55
3,7:52.0,L. Kennard enters the game for B. Brown,,58,55
3,7:41.0,,G. Temple misses 2-pt layup from 6 ft,58,55
3,7:35.0,Defensive rebound by L. Kennard,,58,55
3,7:18.0,R. Jackson misses 2-pt jump shot from 7 ft,,58,55
3,7:17.0,Offensive rebound by Team,,58,55
3,7:03.0,R. Jackson misses 3-pt jump shot from 25 ft,,58,55
3,7:03.0,Offensive rebound by Team,,58,55
3,7:03.0,Turnover by Team (shot clock),,58,55
3,6:45.0,,Shooting foul by A. Drummond (drawn by G. Temple),58,55
3,6:45.0,,Memphis full timeout,58,55
3,6:45.0,,G. Temple misses free throw 1 of 2,58,55
3,6:45.0,,Offensive rebound by Team,58,55
3,6:45.0,,G. Temple makes free throw 2 of 2,58,56
3,6:21.0,R. Jackson makes 2-pt jump shot from 7 ft (assist by R. Bullock),,60,56
3,6:01.0,,M. Conley misses 2-pt jump shot from 13 ft,60,56
3,6:00.0,Defensive rebound by L. Kennard,,60,56
3,5:50.0,L. Kennard misses 2-pt jump shot from 1 ft,,60,56
3,5:46.0,,Defensive rebound by M. Gasol,60,56
3,5:42.0,,J. Jackson makes 2-pt jump shot from 2 ft (assist by G. Temple),60,58
3,5:42.0,,Shooting foul by B. Griffin (drawn by J. Jackson),60,58
3,5:42.0,,S. Mack enters the game for M. Conley,60,58
3,5:42.0,,J. Jackson makes free throw 1 of 1,60,59
