QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
3,7:27.0,Personal foul by A. Bradley (drawn by Z. LaVine),,54,54
3,7:15.0,Turnover by L. Markkanen (3 sec),,54,54
3,7:06.0,,A. Bradley makes 2-pt jump shot from 15 ft (assist by M. Conley),54,56
3,6:46.0,O. Porter makes 3-pt jump shot from 25 ft,,57,56
3,6:31.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by M. Conley),57,59
3,6:13.0,Def 3 sec tech foul by Team,,57,59
3,6:13.0,L. Markkanen makes technical free throw,,58,59
3,6:09.0,Personal foul by J. Holiday (drawn by O. Porter),,58,59
3,5:59.0,O. Porter makes 3-pt jump shot from 25 ft (assist by K. Dunn),,61,59
3,5:54.0,,Technical foul by J. Valančiūnas,61,59
3,5:54.0,L. Markkanen makes technical free throw,,62,59
3,5:54.0,R. Arcidiacono enters the game for K. Dunn,,62,59
3,5:44.0,,Shooting foul by R. Lopez (drawn by A. Bradley),62,59
3,5:44.0,,A. Bradley makes free throw 1 of 2,62,60
3,5:44.0,,A. Bradley makes free throw 2 of 2,62,61
3,5:32.0,Turnover by O. Porter (lost ball; steal by A. Bradley),,62,61
3,5:28.0,,B. Caboclo makes 2-pt dunk from 1 ft (assist by A. Bradley),62,63
3,5:06.0,O. Porter misses 2-pt jump shot from 19 ft,,62,63
3,5:03.0,,Defensive rebound by M. Conley,62,63
3,4:59.0,,J. Holiday misses 2-pt layup from 1 ft,62,63
3,4:57.0,,Offensive rebound by J. Valančiūnas,62,63
3,4:57.0,,J. Valančiūnas misses 2-pt layup from 1 ft (block by R. Lopez),62,63
3,4:57.0,Defensive rebound by Team,,62,63
3,4:57.0,,D. Wright enters the game for J. Holiday,62,63
3,4:43.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by O. Porter),,65,63
3,4:24.0,,Def 3 sec tech foul by Team,65,63
3,4:24.0,,M. Conley makes technical free throw,65,64
3,4:24.0,,J. Noah enters the game for J. Valančiūnas,65,64
3,4:17.0,,A. Bradley misses 3-pt jump shot from 26 ft,65,64
3,4:11.0,,Offensive rebound by D. Wright,65,64
3,4:03.0,,Personal foul by R. Arcidiacono (drawn by M. Conley),65,64
3,3:59.0,,B. Caboclo misses 3-pt jump shot from 26 ft,65,64
3,3:55.0,,Offensive rebound by D. Wright,65,64
3,3:50.0,,M. Conley misses 3-pt jump shot from 25 ft,65,64
3,3:47.0,Defensive rebound by O. Porter,,65,64
3,3:42.0,Chicago full timeout,,65,64
3,3:42.0,T. Luwawu-Cabarrot enters the game for R. Lopez,,65,64
3,3:42.0,W. Selden enters the game for O. Porter,,65,64
3,3:42.0,,C. Parsons enters the game for M. Conley,65,64
3,3:35.0,L. Markkanen misses 3-pt jump shot from 25 ft,,65,64
3,3:31.0,,Defensive rebound by A. Bradley,65,64
3,3:23.0,,C. Parsons makes 2-pt layup from 1 ft (assist by J. Noah),65,66
3,3:09.0,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Arcidiacono),,67,66
3,3:09.0,Shooting foul by D. Wright (drawn by L. Markkanen),,67,66
3,3:09.0,L. Markkanen makes free throw 1 of 1,,68,66
3,2:58.0,,Personal foul by R. Arcidiacono (drawn by A. Bradley),68,66
3,2:50.0,,A. Bradley misses 2-pt layup from 2 ft,68,66
3,2:45.0,,Offensive rebound by B. Caboclo,68,66
3,2:45.0,,B. Caboclo makes 2-pt layup at rim,68,68
3,2:25.0,L. Markkanen misses 3-pt jump shot from 25 ft,,68,68
3,2:21.0,,Defensive rebound by B. Caboclo,68,68
3,2:17.0,Violation by Team (kicked ball),,68,68
3,2:17.0,S. Harrison enters the game for Z. LaVine,,68,68
3,2:17.0,,J. Holiday enters the game for B. Caboclo,68,68
3,2:14.0,,Turnover by D. Wright (traveling),68,68
3,1:58.0,L. Markkanen misses 2-pt layup at rim (block by J. Noah),,68,68
3,1:55.0,Offensive rebound by L. Markkanen,,68,68
3,1:50.0,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by S. Harrison),,71,68
3,1:35.0,,J. Noah makes 2-pt layup from 2 ft,71,70
3,1:18.0,L. Markkanen makes 2-pt jump shot from 7 ft,,73,70
3,1:09.0,,D. Wright misses 2-pt jump shot from 6 ft,73,70
3,1:04.0,,Offensive rebound by A. Bradley,73,70
3,1:04.0,,A. Bradley makes 2-pt layup at rim,73,72
3,0:50.0,Personal foul by J. Noah (drawn by S. Harrison),,73,72
3,0:50.0,S. Harrison makes free throw 1 of 2,,74,72
3,0:50.0,R. Lopez enters the game for L. Markkanen,,74,72
3,0:50.0,,M. Conley enters the game for A. Bradley,74,72
3,0:50.0,S. Harrison makes free throw 2 of 2,,75,72
3,0:35.0,,M. Conley makes 2-pt jump shot from 14 ft,75,74
3,0:25.0,W. Selden misses 3-pt jump shot from 25 ft,,75,74
3,0:21.0,,Defensive rebound by C. Parsons,75,74
3,0:04.0,,M. Conley misses 2-pt jump shot from 8 ft,75,74
3,0:02.0,Defensive rebound by S. Harrison,,75,74
3,0:01.0,S. Harrison misses 3-pt jump shot from 28 ft,,75,74
3,0:00.0,Offensive rebound by Team,,75,74
4,11:36.0,,J. Holiday makes 2-pt layup at rim (assist by J. Noah),75,76
4,11:24.0,S. Harrison misses 3-pt jump shot from 23 ft,,75,76
4,11:21.0,,Defensive rebound by J. Holiday,75,76
4,11:14.0,,M. Conley misses 2-pt jump shot from 2 ft,75,76
4,11:11.0,Defensive rebound by W. Selden,,75,76
4,11:00.0,Shooting foul by M. Conley (drawn by S. Harrison),,75,76
4,11:00.0,S. Harrison makes free throw 1 of 2,,76,76
4,11:00.0,S. Harrison makes free throw 2 of 2,,77,76
4,10:39.0,,J. Holiday misses 3-pt jump shot from 23 ft,77,76
4,10:36.0,Defensive rebound by K. Dunn,,77,76
4,10:28.0,K. Dunn makes 2-pt layup at rim,,79,76
4,10:18.0,,Personal foul by K. Dunn (drawn by M. Conley),79,76
4,10:13.0,,J. Holiday misses 2-pt layup from 2 ft,79,76
4,10:12.0,Defensive rebound by T. Luwawu-Cabarrot,,79,76
4,10:09.0,S. Harrison makes 2-pt layup at rim (assist by T. Luwawu-Cabarrot),,81,76
4,10:08.0,,Memphis full timeout,81,76
4,10:08.0,,A. Bradley enters the game for J. Holiday,81,76
4,10:08.0,,C. Miles enters the game for D. Wright,81,76
4,9:57.0,,Personal foul by W. Selden (drawn by C. Miles),81,76
4,9:43.0,,C. Parsons misses 2-pt layup from 3 ft (block by R. Lopez),81,76
4,9:39.0,Defensive rebound by W. Selden,,81,76
4,9:38.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,81,76
4,9:21.0,,J. Noah misses 2-pt jump shot from 14 ft,81,76
4,9:17.0,Defensive rebound by K. Dunn,,81,76
4,9:09.0,W. Selden misses 2-pt layup from 7 ft (block by M. Conley),,81,76
4,9:06.0,Offensive rebound by S. Harrison,,81,76
4,8:58.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,81,76
4,8:54.0,Offensive rebound by R. Lopez,,81,76
4,8:54.0,R. Lopez misses 2-pt layup from 1 ft,,81,76
4,8:52.0,,Defensive rebound by J. Noah,81,76
4,8:47.0,,A. Bradley misses 2-pt layup from 1 ft (block by R. Lopez),81,76
4,8:44.0,Defensive rebound by R. Lopez,,81,76
4,8:34.0,K. Dunn misses 2-pt jump shot from 22 ft,,81,76
