QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
3,4:58.0,Defensive rebound by Team,,56,82
3,4:42.0,M. Morris makes 2-pt jump shot from 10 ft,,58,82
3,4:42.0,,L. Nance enters the game for J. Blossomgame,58,82
3,4:18.0,,C. Sexton misses 3-pt jump shot from 32 ft,58,82
3,4:17.0,,Offensive rebound by Team,58,82
3,4:17.0,,Turnover by Team (shot clock),58,82
3,4:02.0,B. Beal makes 2-pt jump shot from 19 ft,,60,82
3,3:35.0,,Turnover by C. Osman (lost ball; steal by O. Porter),60,82
3,3:32.0,B. Beal misses 2-pt layup from 3 ft (block by C. Osman),,60,82
3,3:29.0,,Defensive rebound by T. Thompson,60,82
3,3:26.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by T. Thompson),60,85
3,3:25.0,Washington full timeout,,60,85
3,3:25.0,A. Rivers enters the game for J. Wall,,60,85
3,3:10.0,Turnover by B. Beal (bad pass; steal by C. Sexton),,60,85
3,3:05.0,,L. Nance makes 2-pt hook shot from 2 ft (assist by C. Osman),60,87
3,2:50.0,A. Rivers misses 3-pt jump shot from 25 ft,,60,87
3,2:47.0,Offensive rebound by I. Mahinmi,,60,87
3,2:46.0,M. Morris misses 3-pt jump shot from 29 ft,,60,87
3,2:43.0,Offensive rebound by I. Mahinmi,,60,87
3,2:41.0,B. Beal makes 3-pt jump shot from 28 ft (assist by I. Mahinmi),,63,87
3,2:16.0,,C. Osman misses 3-pt jump shot from 25 ft,63,87
3,2:14.0,Defensive rebound by M. Morris,,63,87
3,2:10.0,B. Beal misses 3-pt jump shot from 25 ft,,63,87
3,2:07.0,,Defensive rebound by T. Thompson,63,87
3,1:52.0,,C. Sexton misses 3-pt jump shot from 26 ft,63,87
3,1:49.0,Defensive rebound by A. Rivers,,63,87
3,1:35.0,Shooting foul by L. Nance (drawn by B. Beal),,63,87
3,1:35.0,B. Beal misses free throw 1 of 2,,63,87
3,1:35.0,Offensive rebound by Team,,63,87
3,1:35.0,K. Oubre enters the game for O. Porter,,63,87
3,1:35.0,,J. Jones enters the game for T. Thompson,63,87
3,1:35.0,B. Beal makes free throw 2 of 2,,64,87
3,1:25.0,,Offensive foul by L. Nance (drawn by B. Beal),64,87
3,1:25.0,,Turnover by L. Nance (offensive foul),64,87
3,1:09.0,K. Oubre makes 2-pt layup from 1 ft (assist by B. Beal),,66,87
3,0:52.0,,Personal foul by I. Mahinmi (drawn by J. Jones),66,87
3,0:42.0,,J. Clarkson misses 3-pt jump shot from 27 ft,66,87
3,0:42.0,,Offensive rebound by Team,66,87
3,0:29.0,,J. Clarkson misses 2-pt jump shot from 15 ft,66,87
3,0:27.0,Defensive rebound by M. Morris,,66,87
3,0:07.0,M. Morris misses 3-pt jump shot from 25 ft,,66,87
3,0:06.0,Offensive rebound by K. Oubre,,66,87
3,0:04.0,K. Oubre misses 2-pt jump shot from 17 ft,,66,87
3,0:03.0,,Defensive rebound by C. Sexton,66,87
3,0:01.0,,C. Sexton misses 3-pt jump shot from 56 ft,66,87
3,0:01.0,,Offensive rebound by Team,66,87
4,11:40.0,M. Morris misses 2-pt jump shot from 12 ft,,66,87
4,11:37.0,,Defensive rebound by L. Nance,66,87
4,11:15.0,,T. Thompson makes 2-pt hook shot from 10 ft (assist by L. Nance),66,89
4,11:04.0,K. Oubre makes 2-pt jump shot from 6 ft,,68,89
4,11:04.0,Shooting foul by A. Burks (drawn by K. Oubre),,68,89
4,11:04.0,K. Oubre makes free throw 1 of 1,,69,89
4,10:50.0,,L. Nance makes 3-pt jump shot from 26 ft (assist by J. Clarkson),69,92
4,10:25.0,K. Oubre makes 2-pt layup from 1 ft,,71,92
4,10:13.0,,L. Nance makes 3-pt jump shot from 27 ft (assist by A. Burks),71,95
4,10:00.0,B. Beal misses 2-pt jump shot from 19 ft,,71,95
4,9:57.0,,Defensive rebound by J. Jones,71,95
4,9:38.0,,J. Jones makes 3-pt jump shot from 29 ft (assist by L. Nance),71,98
4,9:38.0,Washington full timeout,,71,98
4,9:38.0,I. Mahinmi enters the game for B. Beal,,71,98
4,9:38.0,,C. Osman enters the game for J. Clarkson,71,98
4,9:24.0,Shooting foul by T. Thompson (drawn by A. Rivers),,71,98
4,9:24.0,A. Rivers makes free throw 1 of 2,,72,98
4,9:24.0,A. Rivers misses free throw 2 of 2,,72,98
4,9:21.0,,Defensive rebound by T. Thompson,72,98
4,9:03.0,,J. Jones makes 3-pt jump shot from 30 ft (assist by L. Nance),72,101
4,8:50.0,M. Morris misses 3-pt jump shot from 27 ft,,72,101
4,8:49.0,Offensive rebound by Team,,72,101
4,8:49.0,,Loose ball foul by T. Thompson (drawn by I. Mahinmi),72,101
4,8:42.0,J. Green makes 3-pt jump shot from 24 ft (assist by A. Rivers),,75,101
4,8:21.0,,C. Osman misses 3-pt jump shot from 26 ft,75,101
4,8:19.0,Defensive rebound by K. Oubre,,75,101
4,8:11.0,Personal foul by J. Jones (drawn by K. Oubre),,75,101
4,8:04.0,Shooting foul by C. Osman (drawn by J. Green),,75,101
4,8:04.0,J. Green makes free throw 1 of 2,,76,101
4,8:04.0,J. Green makes free throw 2 of 2,,77,101
4,7:52.0,,Personal foul by J. Green (drawn by C. Osman),77,101
4,7:37.0,,C. Osman makes 2-pt layup from 2 ft,77,103
4,7:25.0,J. Green makes 2-pt layup from 1 ft (assist by K. Oubre),,79,103
4,7:03.0,,C. Osman misses 2-pt layup from 7 ft,79,103
4,7:01.0,Defensive rebound by I. Mahinmi,,79,103
4,6:58.0,Shooting foul by L. Nance (drawn by K. Oubre),,79,103
4,6:58.0,K. Oubre makes free throw 1 of 2,,80,103
4,6:58.0,,C. Sexton enters the game for J. Jones,80,103
4,6:58.0,K. Oubre makes free throw 2 of 2,,81,103
4,6:39.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by L. Nance),81,106
4,6:23.0,K. Oubre misses 2-pt layup at rim,,81,106
4,6:19.0,,Defensive rebound by L. Nance,81,106
4,6:11.0,,C. Sexton makes 2-pt layup from 2 ft (assist by L. Nance),81,108
4,5:45.0,J. Green makes 3-pt jump shot from 25 ft (assist by A. Rivers),,84,108
4,5:44.0,,Cleveland full timeout,84,108
4,5:44.0,T. Satoranský enters the game for M. Morris,,84,108
4,5:22.0,,T. Thompson misses 2-pt hook shot from 13 ft,84,108
4,5:20.0,Defensive rebound by A. Rivers,,84,108
4,5:17.0,A. Rivers makes 2-pt layup at rim,,86,108
4,5:17.0,Shooting foul by L. Nance (drawn by A. Rivers),,86,108
4,5:17.0,A. Rivers misses free throw 1 of 1,,86,108
4,5:17.0,,Defensive rebound by T. Thompson,86,108
4,4:56.0,,Turnover by C. Sexton (traveling),86,108
4,4:39.0,J. Green makes 3-pt jump shot from 24 ft (assist by A. Rivers),,89,108
4,4:19.0,,Turnover by C. Sexton (lost ball; steal by I. Mahinmi),89,108
4,4:10.0,I. Mahinmi makes 2-pt hook shot from 8 ft (assist by T. Satoranský),,91,108
4,4:10.0,,Cleveland full timeout,91,108
4,3:44.0,,C. Sexton makes 2-pt jump shot from 20 ft,91,110
4,3:29.0,J. Green makes 3-pt jump shot from 25 ft (assist by K. Oubre),,94,110
