QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
3,2:56.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by K. Durant),87,82
3,2:49.0,B. Hield misses 3-pt jump shot from 27 ft,,87,82
3,2:47.0,,Defensive rebound by K. Durant,87,82
3,2:42.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),87,84
3,2:42.0,Sacramento full timeout,,87,84
3,2:25.0,M. Bagley makes 2-pt jump shot from 5 ft (assist by H. Barnes),,89,84
3,2:04.0,,J. Jerebko misses 3-pt jump shot from 25 ft,89,84
3,2:00.0,Defensive rebound by H. Barnes,,89,84
3,1:55.0,Shooting foul by K. Looney (drawn by M. Bagley),,89,84
3,1:55.0,M. Bagley makes free throw 1 of 2,,90,84
3,1:55.0,B. Bogdanović enters the game for D. Fox,,90,84
3,1:55.0,Y. Ferrell enters the game for B. Hield,,90,84
3,1:55.0,,Q. Cook enters the game for S. Curry,90,84
3,1:55.0,M. Bagley makes free throw 2 of 2,,91,84
3,1:44.0,,K. Durant misses 2-pt jump shot from 21 ft,91,84
3,1:42.0,,Offensive rebound by Q. Cook,91,84
3,1:29.0,,Q. Cook misses 3-pt jump shot from 27 ft,91,84
3,1:24.0,,Offensive rebound by Team,91,84
3,1:21.0,,K. Durant misses 3-pt jump shot from 27 ft,91,84
3,1:19.0,Defensive rebound by M. Bagley,,91,84
3,1:16.0,Turnover by H. Giles (bad pass; steal by K. Durant),,91,84
3,0:56.0,,K. Durant misses 2-pt jump shot from 15 ft,91,84
3,0:54.0,Defensive rebound by Team,,91,84
3,0:38.0,M. Bagley misses 2-pt jump shot from 10 ft (block by A. Iguodala),,91,84
3,0:36.0,,Defensive rebound by Q. Cook,91,84
3,0:29.0,,K. Durant makes 2-pt dunk from 2 ft (assist by Q. Cook),91,86
3,0:07.0,H. Giles misses 2-pt layup from 5 ft (block by J. Jerebko),,91,86
3,0:05.0,,Defensive rebound by K. Looney,91,86
3,0:01.0,,K. Durant makes 3-pt jump shot from 29 ft (assist by K. Looney),91,89
4,11:47.0,,K. Thompson misses 2-pt jump shot from 21 ft,91,89
4,11:45.0,,Offensive rebound by Team,91,89
4,11:45.0,Loose ball foul by H. Giles (drawn by D. Cousins),,91,89
4,11:36.0,,Shooting foul by C. Brewer (drawn by D. Cousins),91,89
4,11:36.0,,D. Cousins makes free throw 1 of 2,91,90
4,11:36.0,,D. Cousins makes free throw 2 of 2,91,91
4,11:18.0,H. Giles misses 2-pt jump shot from 17 ft,,91,91
4,11:16.0,,Defensive rebound by D. Cousins,91,91
4,11:08.0,,D. Cousins makes 2-pt layup from 1 ft (assist by D. Green),91,93
4,10:53.0,Turnover by B. Bogdanović (bad pass; steal by A. Iguodala),,91,93
4,10:51.0,,Shooting foul by C. Brewer (drawn by A. Iguodala),91,93
4,10:51.0,,A. Iguodala misses free throw 1 of 2,91,93
4,10:51.0,,Offensive rebound by Team,91,93
4,10:51.0,Sacramento full timeout,,91,93
4,10:51.0,W. Cauley-Stein enters the game for H. Giles,,91,93
4,10:51.0,,A. Iguodala makes free throw 2 of 2,91,94
4,10:34.0,C. Brewer makes 2-pt jump shot from 12 ft,,93,94
4,10:07.0,,D. Cousins makes 2-pt dunk at rim (assist by K. Thompson),93,96
4,9:56.0,Turnover by M. Bagley (traveling),,93,96
4,9:56.0,D. Fox enters the game for Y. Ferrell,,93,96
4,9:49.0,,Offensive foul by D. Cousins (drawn by W. Cauley-Stein),93,96
4,9:49.0,,Turnover by D. Cousins (offensive foul),93,96
4,9:26.0,C. Brewer makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,96,96
