QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
2,0:38.0,R. Jackson misses 2-pt jump shot from 10 ft,,37,60
2,0:35.0,,Defensive rebound by Team,37,60
2,0:35.0,,N. Jokić enters the game for M. Plumlee,37,60
2,0:30.0,,J. Murray makes 2-pt jump shot from 23 ft,37,62
2,0:15.0,Personal foul by W. Barton (drawn by L. Galloway),,37,62
2,0:15.0,L. Galloway makes free throw 1 of 2,,38,62
2,0:15.0,B. Brown enters the game for W. Ellington,,38,62
2,0:15.0,L. Galloway makes free throw 2 of 2,,39,62
2,0:01.0,,J. Murray makes 2-pt jump shot from 13 ft,39,64
2,0:01.0,Turnover by B. Griffin (bad pass),,39,64
2,0:00.0,,N. Jokić makes 2-pt jump shot from 15 ft (assist by J. Murray),39,66
3,11:42.0,,P. Millsap misses 2-pt hook shot from 1 ft,39,66
3,11:36.0,,Offensive rebound by W. Barton,39,66
3,11:36.0,,W. Barton misses 2-pt layup at rim,39,66
3,11:36.0,Defensive rebound by A. Drummond,,39,66
3,11:18.0,B. Griffin makes 2-pt layup from 2 ft,,41,66
3,11:00.0,,G. Harris misses 2-pt layup from 6 ft,41,66
3,11:00.0,,Offensive rebound by Team,41,66
3,11:00.0,,Turnover by G. Harris (traveling),41,66
3,10:49.0,R. Jackson misses 3-pt jump shot from 25 ft,,41,66
3,10:47.0,,Defensive rebound by P. Millsap,41,66
3,10:29.0,,Shooting foul by A. Drummond (drawn by N. Jokić),41,66
3,10:29.0,,N. Jokić makes free throw 1 of 2,41,67
3,10:29.0,,N. Jokić misses free throw 2 of 2,41,67
3,10:27.0,Defensive rebound by A. Drummond,,41,67
3,10:10.0,W. Ellington misses 3-pt jump shot from 26 ft,,41,67
3,10:07.0,,Defensive rebound by W. Barton,41,67
3,9:56.0,,Personal foul by R. Jackson (drawn by J. Murray),41,67
3,9:45.0,,Personal foul by A. Drummond (drawn by N. Jokić),41,67
3,9:45.0,T. Maker enters the game for A. Drummond,,41,67
3,9:39.0,,N. Jokić misses 2-pt jump shot from 6 ft,41,67
3,9:36.0,Defensive rebound by B. Griffin,,41,67
3,9:31.0,R. Jackson misses 3-pt jump shot from 24 ft,,41,67
3,9:26.0,Offensive rebound by B. Brown,,41,67
3,9:24.0,R. Jackson misses 3-pt jump shot from 25 ft,,41,67
3,9:22.0,,Defensive rebound by N. Jokić,41,67
3,9:08.0,,N. Jokić misses 2-pt jump shot from 19 ft,41,67
3,9:05.0,Defensive rebound by T. Maker,,41,67
3,9:05.0,Personal foul by P. Millsap (drawn by T. Maker),,41,67
3,8:59.0,T. Maker misses 3-pt jump shot from 23 ft,,41,67
3,8:55.0,,Defensive rebound by P. Millsap,41,67
3,8:43.0,,P. Millsap misses 3-pt jump shot from 24 ft,41,67
3,8:41.0,Defensive rebound by R. Jackson,,41,67
3,8:32.0,R. Jackson misses 3-pt jump shot from 25 ft,,41,67
3,8:30.0,,Defensive rebound by P. Millsap,41,67
3,8:22.0,,N. Jokić misses 3-pt jump shot from 22 ft,41,67
3,8:19.0,Defensive rebound by T. Maker,,41,67
3,7:58.0,B. Griffin misses 2-pt jump shot from 14 ft,,41,67
3,7:55.0,,Defensive rebound by N. Jokić,41,67
3,7:49.0,,Turnover by P. Millsap (lost ball; steal by B. Griffin),41,67
3,7:41.0,T. Maker makes 2-pt layup from 4 ft (assist by B. Griffin),,43,67
3,7:15.0,,N. Jokić misses 2-pt hook shot from 4 ft,43,67
3,7:13.0,Defensive rebound by B. Griffin,,43,67
3,7:08.0,Personal foul by J. Murray (drawn by B. Griffin),,43,67
3,7:08.0,L. Kennard enters the game for W. Ellington,,43,67
3,6:54.0,B. Griffin makes 2-pt layup from 3 ft,,45,67
3,6:41.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by J. Murray),45,70
3,6:24.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by L. Kennard),,48,70
3,6:15.0,,Turnover by J. Murray (bad pass; steal by T. Maker),48,70
3,6:15.0,Personal take foul by J. Murray (drawn by T. Maker),,48,70
3,6:15.0,,Denver full timeout,48,70
3,6:15.0,I. Smith enters the game for R. Jackson,,48,70
3,6:15.0,,M. Morris enters the game for P. Millsap,48,70
3,6:15.0,,M. Plumlee enters the game for J. Murray,48,70
3,6:03.0,B. Griffin makes 2-pt jump shot from 5 ft,,50,70
3,5:42.0,,W. Barton makes 3-pt jump shot from 26 ft (assist by M. Morris),50,73
3,5:31.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by I. Smith),,53,73
3,5:04.0,,N. Jokić misses 2-pt hook shot from 6 ft,53,73
3,5:03.0,Defensive rebound by B. Griffin,,53,73
3,5:03.0,Personal foul by N. Jokić (drawn by T. Maker),,53,73
