QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
2,2:09.0,,Defensive rebound by M. Morris,55,49
2,2:00.0,,D. Schröder makes 2-pt layup from 3 ft,55,51
2,1:43.0,D. Waiters misses 3-pt jump shot from 23 ft,,55,51
2,1:41.0,,Defensive rebound by M. Morris,55,51
2,1:34.0,,D. Schröder makes 2-pt jump shot from 14 ft,55,53
2,1:24.0,Miami full timeout,,55,53
2,1:24.0,G. Dragić enters the game for B. Adebayo,,55,53
2,1:24.0,J. Johnson enters the game for D. Waiters,,55,53
2,1:14.0,K. Olynyk makes 3-pt jump shot from 26 ft (assist by J. Johnson),,58,53
2,0:49.0,,Shooting foul by K. Olynyk (drawn by J. Grant),58,53
2,0:49.0,,J. Grant makes free throw 1 of 2,58,54
2,0:49.0,,J. Grant makes free throw 2 of 2,58,55
2,0:30.0,J. Johnson misses 3-pt jump shot from 24 ft,,58,55
2,0:26.0,,Defensive rebound by J. Grant,58,55
2,0:05.0,,Turnover by D. Schröder (lost ball; steal by J. Johnson),58,55
2,0:00.0,G. Dragić misses 2-pt layup from 2 ft (block by P. George),,58,55
2,0:00.0,Offensive rebound by Team,,58,55
3,11:44.0,J. Richardson misses 3-pt jump shot from 25 ft,,58,55
3,11:41.0,,Defensive rebound by D. Schröder,58,55
3,11:37.0,,Personal foul by D. Jones (drawn by D. Schröder),58,55
3,11:23.0,,Turnover by D. Schröder (lost ball; steal by J. Richardson),58,55
3,11:18.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Richardson),,60,55
3,11:07.0,,Personal foul by D. Jones (drawn by P. George),60,55
3,10:56.0,,J. Grant misses 2-pt jump shot from 9 ft,60,55
3,10:52.0,Defensive rebound by B. Adebayo,,60,55
3,10:43.0,J. Richardson misses 2-pt layup from 6 ft,,60,55
3,10:39.0,,Defensive rebound by P. George,60,55
3,10:33.0,,D. Schröder misses 2-pt layup from 2 ft,60,55
3,10:30.0,,Offensive rebound by S. Adams,60,55
3,10:30.0,,S. Adams makes 2-pt layup from 1 ft,60,57
3,10:20.0,D. Jones misses 2-pt dunk from 1 ft (block by J. Grant),,60,57
3,10:20.0,Offensive rebound by Team,,60,57
3,10:16.0,D. Waiters makes 2-pt jump shot from 18 ft (assist by J. Richardson),,62,57
3,10:05.0,,D. Schröder misses 3-pt jump shot from 27 ft,62,57
3,10:02.0,Defensive rebound by D. Waiters,,62,57
3,9:47.0,K. Olynyk makes 2-pt layup from 2 ft,,64,57
3,9:47.0,Shooting foul by S. Adams (drawn by K. Olynyk),,64,57
3,9:47.0,K. Olynyk makes free throw 1 of 1,,65,57
3,9:36.0,,Turnover by P. George (bad pass; steal by D. Jones),65,57
3,9:32.0,D. Jones misses 2-pt layup from 1 ft,,65,57
3,9:28.0,,Defensive rebound by S. Adams,65,57
3,9:24.0,,T. Ferguson misses 3-pt jump shot from 23 ft,65,57
3,9:21.0,Defensive rebound by J. Richardson,,65,57
3,9:13.0,Personal foul by S. Adams (drawn by K. Olynyk),,65,57
3,9:13.0,,M. Morris enters the game for S. Adams,65,57
3,9:13.0,,A. Nader enters the game for T. Ferguson,65,57
3,9:03.0,D. Waiters makes 2-pt layup from 2 ft,,67,57
3,8:52.0,,M. Morris misses 2-pt jump shot from 10 ft,67,57
3,8:50.0,,Offensive rebound by J. Grant,67,57
3,8:50.0,,J. Grant misses 2-pt layup from 2 ft (block by B. Adebayo),67,57
3,8:50.0,,Offensive rebound by Team,67,57
3,8:38.0,,D. Schröder misses 3-pt jump shot from 26 ft,67,57
3,8:31.0,,J. Grant makes 2-pt layup from 3 ft (assist by M. Morris),67,59
3,8:31.0,,Offensive rebound by M. Morris,67,59
3,8:31.0,,Shooting foul by D. Waiters (drawn by J. Grant),67,59
3,8:31.0,,J. Grant makes free throw 1 of 1,67,60
3,8:18.0,K. Olynyk makes 2-pt jump shot from 18 ft (assist by J. Richardson),,69,60
3,8:00.0,,M. Morris makes 2-pt layup from 1 ft (assist by A. Nader),69,62
3,7:38.0,Turnover by B. Adebayo (off goaltending),,69,62
3,7:25.0,,A. Nader misses 3-pt jump shot from 25 ft,69,62
3,7:23.0,Defensive rebound by K. Olynyk,,69,62
3,7:10.0,D. Waiters misses 2-pt layup from 2 ft (block by A. Nader),,69,62
3,7:07.0,,Defensive rebound by M. Morris,69,62
3,7:01.0,,D. Schröder misses 2-pt jump shot from 8 ft,69,62
3,6:59.0,Defensive rebound by K. Olynyk,,69,62
3,6:55.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),,71,62
3,6:55.0,,Oklahoma City full timeout,71,62
3,6:55.0,D. Wade enters the game for D. Jones,,71,62
3,6:43.0,,Turnover by P. George (lost ball; steal by D. Wade),71,62
3,6:39.0,K. Olynyk makes 2-pt layup from 1 ft (assist by D. Wade),,73,62
3,6:29.0,,P. George misses 3-pt jump shot from 24 ft,73,62
3,6:28.0,Defensive rebound by B. Adebayo,,73,62
3,6:20.0,D. Wade makes 2-pt jump shot from 21 ft,,75,62
3,6:03.0,,M. Morris misses 3-pt jump shot from 23 ft,75,62
3,6:01.0,,Offensive rebound by J. Grant,75,62
3,5:51.0,,Turnover by D. Schröder (bad pass; steal by D. Waiters),75,62
3,5:44.0,Turnover by B. Adebayo (out of bounds lost ball),,75,62
3,5:23.0,,A. Nader misses 2-pt jump shot from 10 ft,75,62
3,5:19.0,Defensive rebound by B. Adebayo,,75,62
3,4:59.0,D. Wade makes 2-pt jump shot from 17 ft,,77,62
3,4:41.0,,J. Grant makes 2-pt jump shot from 12 ft (assist by P. George),77,64
3,4:24.0,J. Richardson misses 2-pt jump shot from 22 ft,,77,64
3,4:22.0,,Defensive rebound by P. George,77,64
3,4:17.0,,Turnover by P. George (lost ball; steal by B. Adebayo),77,64
