QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
3,4:58.0,,R. Jackson makes free throw 2 of 2,71,57
3,4:40.0,A. Len misses 2-pt layup from 1 ft,,71,57
3,4:38.0,,Defensive rebound by A. Drummond,71,57
3,4:18.0,,S. Johnson misses 3-pt jump shot from 27 ft,71,57
3,4:16.0,Defensive rebound by A. Len,,71,57
3,3:59.0,V. Carter misses 3-pt jump shot from 26 ft,,71,57
3,3:56.0,,Defensive rebound by A. Drummond,71,57
3,3:39.0,,R. Bullock misses 3-pt jump shot from 27 ft,71,57
3,3:37.0,,Offensive rebound by Team,71,57
3,3:27.0,,R. Jackson misses 2-pt jump shot from 6 ft,71,57
3,3:27.0,,Offensive rebound by Team,71,57
3,3:26.0,Loose ball foul by D. Bembry (drawn by R. Bullock),,71,57
3,3:26.0,,R. Bullock makes free throw 1 of 2,71,58
3,3:26.0,,R. Bullock makes free throw 2 of 2,71,59
3,3:13.0,Shooting foul by R. Jackson (drawn by J. Lin),,71,59
3,3:13.0,J. Lin makes free throw 1 of 2,,72,59
3,3:13.0,J. Lin makes free throw 2 of 2,,73,59
3,2:52.0,,S. Johnson makes 2-pt layup from 4 ft,73,61
3,2:39.0,Personal foul by B. Griffin (drawn by V. Carter),,73,61
3,2:34.0,J. Lin misses 2-pt jump shot from 6 ft,,73,61
3,2:30.0,Offensive rebound by A. Len,,73,61
3,2:29.0,A. Len misses 2-pt hook shot from 5 ft,,73,61
3,2:27.0,,Defensive rebound by A. Drummond,73,61
3,2:21.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),73,64
3,2:04.0,D. Bembry misses 2-pt layup from 5 ft (block by A. Drummond),,73,64
3,2:04.0,Offensive rebound by Team,,73,64
3,2:04.0,Atlanta full timeout,,73,64
3,2:04.0,K. Huerter enters the game for J. Anderson,,73,64
3,2:04.0,T. Young enters the game for J. Lin,,73,64
3,2:04.0,,L. Galloway enters the game for B. Griffin,73,64
3,1:58.0,K. Huerter misses 2-pt jump shot from 11 ft,,73,64
3,1:56.0,,Defensive rebound by A. Drummond,73,64
3,1:50.0,,S. Johnson misses 2-pt layup from 8 ft,73,64
3,1:48.0,Defensive rebound by A. Len,,73,64
3,1:32.0,A. Len makes 2-pt dunk from 1 ft (assist by V. Carter),,75,64
3,1:09.0,,R. Jackson misses 2-pt layup from 5 ft,75,64
3,1:07.0,Defensive rebound by A. Len,,75,64
3,1:04.0,D. Bembry makes 2-pt layup from 3 ft (assist by V. Carter),,77,64
3,0:40.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by R. Bullock),77,66
3,0:29.0,T. Young misses 2-pt layup from 8 ft (block by A. Drummond),,77,66
3,0:26.0,,Defensive rebound by A. Drummond,77,66
3,0:15.0,,A. Drummond misses 2-pt layup from 7 ft,77,66
3,0:13.0,Defensive rebound by D. Bembry,,77,66
3,0:03.0,A. Len makes 2-pt dunk from 2 ft (assist by T. Young),,79,66
3,0:00.0,,S. Johnson misses 3-pt jump shot from 42 ft,79,66
3,0:00.0,,Offensive rebound by Team,79,66
4,11:48.0,,L. Galloway misses 3-pt jump shot from 26 ft,79,66
4,11:47.0,,Offensive rebound by Team,79,66
