QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,NEW YORK_ACTION,SACRAMENTO_SCORE,NEW YORK_SCORE
3,1:36.0,D. Fox makes 2-pt layup from 1 ft,,75,68
3,1:36.0,,New York full timeout,75,68
3,1:36.0,B. Bogdanović enters the game for H. Barnes,,75,68
3,1:36.0,C. Brewer enters the game for B. Hield,,75,68
3,1:25.0,,Shooting foul by D. Fox (drawn by A. Trier),75,68
3,1:25.0,,A. Trier misses free throw 1 of 2,75,68
3,1:25.0,,Offensive rebound by Team,75,68
3,1:25.0,,A. Trier misses free throw 2 of 2,75,68
3,1:21.0,Defensive rebound by C. Brewer,,75,68
3,1:07.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,78,68
3,0:50.0,,A. Trier misses 3-pt jump shot from 25 ft,78,68
3,0:48.0,Defensive rebound by D. Fox,,78,68
3,0:39.0,N. Bjelica misses 2-pt layup from 2 ft (block by M. Robinson),,78,68
3,0:39.0,Offensive rebound by Team,,78,68
3,0:39.0,,J. Jenkins enters the game for D. Dotson,78,68
3,0:26.0,D. Fox makes 2-pt layup from 2 ft,,80,68
3,0:05.0,,L. Kornet misses 3-pt jump shot from 28 ft,80,68
3,0:05.0,,Offensive rebound by M. Robinson,80,68
3,0:01.0,,M. Robinson misses 2-pt dunk at rim,80,68
3,0:01.0,Defensive rebound by B. Bogdanović,,80,68
3,0:00.0,B. Bogdanović misses 3-pt jump shot from 31 ft,,80,68
3,0:00.0,Offensive rebound by Team,,80,68
4,11:40.0,,J. Jenkins makes 3-pt jump shot from 23 ft (assist by E. Mudiay),80,71
4,11:22.0,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Bogdanović),,82,71
4,10:56.0,,J. Jenkins makes 3-pt jump shot from 25 ft (assist by L. Kornet),82,74
4,10:36.0,N. Bjelica misses 3-pt jump shot from 28 ft,,82,74
4,10:34.0,,Defensive rebound by A. Trier,82,74
4,10:20.0,,Shooting foul by H. Giles (drawn by L. Kornet),82,74
4,10:20.0,,L. Kornet misses free throw 1 of 2,82,74
4,10:20.0,,Offensive rebound by Team,82,74
4,10:20.0,,L. Kornet makes free throw 2 of 2,82,75
4,10:02.0,Y. Ferrell makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,85,75
4,9:49.0,,J. Jenkins makes 3-pt jump shot from 26 ft (assist by E. Mudiay),85,78
4,9:28.0,Shooting foul by M. Robinson (drawn by B. Bogdanović),,85,78
4,9:28.0,B. Bogdanović makes free throw 1 of 2,,86,78
4,9:28.0,B. Bogdanović makes free throw 2 of 2,,87,78
4,9:12.0,,Shooting foul by N. Bjelica (drawn by M. Robinson),87,78
4,9:12.0,,M. Robinson makes free throw 1 of 2,87,79
4,9:12.0,,M. Robinson makes free throw 2 of 2,87,80
4,8:54.0,H. Giles misses 2-pt layup from 2 ft (block by L. Kornet),,87,80
4,8:51.0,,Defensive rebound by A. Trier,87,80
4,8:49.0,,Shooting foul by C. Brewer (drawn by A. Trier),87,80
4,8:49.0,,A. Trier makes free throw 1 of 2,87,81
4,8:49.0,,A. Trier makes free throw 2 of 2,87,82
4,8:32.0,C. Brewer misses 3-pt jump shot from 26 ft,,87,82
4,8:29.0,,Defensive rebound by M. Robinson,87,82
4,8:23.0,,A. Trier misses 3-pt jump shot from 26 ft,87,82
