QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,HOUSTON_ACTION,NEW ORLEANS_SCORE,HOUSTON_SCORE
4,11:04.0,E. Payton misses 2-pt jump shot from 9 ft,,101,86
4,10:59.0,Offensive rebound by N. Mirotić,,101,86
4,10:59.0,N. Mirotić misses 2-pt layup from 1 ft,,101,86
4,10:58.0,Offensive rebound by E. Payton,,101,86
4,10:51.0,N. Mirotić misses 3-pt jump shot from 24 ft,,101,86
4,10:50.0,,Defensive rebound by C. Paul,101,86
4,10:50.0,,Personal foul by A. Davis (drawn by C. Paul),101,86
4,10:36.0,,E. Gordon misses 3-pt jump shot from 25 ft,101,86
4,10:33.0,Defensive rebound by A. Davis,,101,86
4,10:15.0,E. Moore misses 2-pt jump shot from 23 ft,,101,86
4,10:12.0,Offensive rebound by E. Moore,,101,86
4,10:10.0,E. Moore makes 2-pt jump shot from 12 ft,,103,86
4,9:43.0,,C. Paul misses 2-pt jump shot from 13 ft,103,86
4,9:41.0,Defensive rebound by N. Mirotić,,103,86
4,9:36.0,J. Holiday makes 2-pt dunk from 1 ft (assist by E. Payton),,105,86
4,9:25.0,,C. Anthony misses 3-pt jump shot from 25 ft,105,86
4,9:22.0,Defensive rebound by E. Payton,,105,86
4,9:17.0,A. Davis makes 2-pt dunk from 2 ft (assist by E. Payton),,107,86
4,9:17.0,,Houston full timeout,107,86
4,9:17.0,,C. Capela enters the game for C. Anthony,107,86
4,9:17.0,,J. Ennis enters the game for G. Green,107,86
4,9:17.0,,J. Harden enters the game for P. Tucker,107,86
4,9:09.0,,E. Gordon makes 2-pt layup from 1 ft (assist by C. Capela),107,88
4,9:09.0,,Shooting foul by E. Moore (drawn by E. Gordon),107,88
4,9:09.0,,E. Gordon makes free throw 1 of 1,107,89
4,8:54.0,J. Holiday misses 3-pt jump shot from 26 ft,,107,89
4,8:52.0,,Defensive rebound by E. Gordon,107,89
4,8:30.0,,C. Paul makes 2-pt jump shot from 10 ft (assist by J. Harden),107,91
4,8:14.0,A. Davis misses 2-pt jump shot from 16 ft,,107,91
4,8:12.0,,Defensive rebound by J. Harden,107,91
4,8:09.0,,Turnover by J. Harden (bad pass; steal by A. Davis),107,91
4,8:00.0,Shooting foul by J. Ennis (drawn by A. Davis),,107,91
4,8:00.0,A. Davis makes free throw 1 of 2,,108,91
