QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
3,7:28.0,Turnover by P. Millsap (traveling),,67,66
3,7:09.0,,D. Augustin makes 3-pt jump shot from 27 ft,67,69
3,7:07.0,Denver full timeout,,67,69
3,6:56.0,N. Jokić misses 2-pt jump shot from 20 ft,,67,69
3,6:51.0,,Defensive rebound by E. Fournier,67,69
3,6:42.0,,J. Simmons misses 2-pt layup from 2 ft,67,69
3,6:39.0,Defensive rebound by P. Millsap,,67,69
3,6:36.0,Turnover by J. Murray (lost ball; steal by A. Gordon),,67,69
3,6:32.0,,A. Gordon misses 2-pt layup from 1 ft,67,69
3,6:30.0,Defensive rebound by N. Jokić,,67,69
3,6:27.0,T. Craig makes 2-pt layup at rim (assist by N. Jokić),,69,69
3,6:11.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by N. Vučević),69,72
3,5:56.0,J. Hernangómez makes 2-pt dunk from 1 ft (assist by T. Craig),,71,72
3,5:33.0,,D. Augustin makes 2-pt layup from 2 ft,71,74
3,5:17.0,J. Murray makes 2-pt dunk from 1 ft (assist by P. Millsap),,73,74
3,4:57.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by D. Augustin),73,76
3,4:43.0,J. Murray misses 2-pt jump shot from 21 ft,,73,76
3,4:41.0,,Defensive rebound by N. Vučević,73,76
3,4:30.0,,N. Vučević misses 2-pt jump shot from 10 ft,73,76
3,4:28.0,Defensive rebound by P. Millsap,,73,76
3,4:18.0,P. Millsap misses 2-pt jump shot from 11 ft,,73,76
3,4:14.0,,Defensive rebound by E. Fournier,73,76
3,4:10.0,,D. Augustin makes 3-pt jump shot from 28 ft (assist by E. Fournier),73,79
3,4:09.0,Denver full timeout,,73,79
3,4:09.0,M. Beasley enters the game for J. Hernangómez,,73,79
3,4:09.0,T. Lyles enters the game for N. Jokić,,73,79
3,4:09.0,M. Morris enters the game for P. Millsap,,73,79
3,4:09.0,M. Plumlee enters the game for J. Murray,,73,79
3,4:09.0,,J. Isaac enters the game for E. Fournier,73,79
3,4:09.0,,T. Ross enters the game for J. Simmons,73,79
3,3:51.0,M. Morris makes 2-pt jump shot from 18 ft,,75,79
3,3:33.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by D. Augustin),75,81
3,3:16.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by M. Morris),,78,81
3,3:00.0,,Personal foul by T. Craig (drawn by A. Gordon),78,81
3,3:00.0,,J. Grant enters the game for D. Augustin,78,81
3,3:00.0,,J. Simmons enters the game for A. Gordon,78,81
3,2:50.0,,J. Simmons misses 2-pt layup from 1 ft,78,81
3,2:48.0,Defensive rebound by M. Plumlee,,78,81
3,2:37.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,81,81
3,2:15.0,,N. Vučević misses 2-pt hook shot from 6 ft,81,81
3,2:12.0,Defensive rebound by M. Plumlee,,81,81
3,1:55.0,M. Beasley makes 3-pt jump shot from 25 ft (assist by M. Morris),,84,81
3,1:37.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by T. Ross),84,83
3,1:14.0,Offensive foul by M. Plumlee (drawn by J. Grant),,84,83
3,1:14.0,Turnover by M. Plumlee (offensive foul),,84,83
3,1:14.0,J. Murray enters the game for T. Craig,,84,83
3,1:14.0,,M. Bamba enters the game for N. Vučević,84,83
3,0:58.0,,M. Bamba makes 3-pt jump shot from 23 ft (assist by J. Grant),84,86
3,0:42.0,M. Morris makes 2-pt jump shot from 11 ft (assist by M. Plumlee),,86,86
3,0:30.0,,J. Isaac misses 3-pt jump shot from 23 ft,86,86
3,0:27.0,Defensive rebound by M. Plumlee,,86,86
3,0:10.0,M. Morris makes 2-pt jump shot from 17 ft,,88,86
3,0:04.0,,Personal take foul by M. Plumlee (drawn by J. Grant),88,86
3,0:04.0,T. Craig enters the game for T. Lyles,,88,86
3,0:02.0,,Turnover by J. Simmons (bad pass; steal by T. Craig),88,86
