QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
3,5:51.0,,Offensive foul by J. Nurkić (drawn by N. Mirotić),76,92
3,5:51.0,,Turnover by J. Nurkić (offensive foul),76,92
3,5:44.0,,Loose ball foul by J. Nurkić (drawn by A. Davis),76,92
3,5:44.0,A. Davis misses free throw 1 of 2,,76,92
3,5:44.0,Offensive rebound by Team,,76,92
3,5:44.0,A. Davis makes free throw 2 of 2,,77,92
3,5:28.0,,Shooting foul by J. Randle (drawn by J. Nurkić),77,92
3,5:28.0,,J. Nurkić makes free throw 1 of 2,77,93
3,5:28.0,,J. Nurkić misses free throw 2 of 2,77,93
3,5:26.0,Defensive rebound by N. Mirotić,,77,93
3,5:16.0,A. Davis misses 2-pt jump shot from 14 ft,,77,93
3,5:13.0,Offensive rebound by J. Randle,,77,93
3,5:11.0,J. Randle misses 2-pt jump shot from 2 ft,,77,93
3,5:08.0,,Defensive rebound by J. Nurkić,77,93
3,5:01.0,,Z. Collins misses 2-pt layup from 1 ft,77,93
3,5:01.0,,Offensive rebound by J. Nurkić,77,93
3,5:01.0,,Personal foul by J. Randle (drawn by J. Nurkić),77,93
3,4:55.0,,C. McCollum makes 2-pt jump shot from 13 ft,77,95
3,4:40.0,E. Moore misses 3-pt jump shot from 25 ft,,77,95
3,4:39.0,,Defensive rebound by Z. Collins,77,95
3,4:27.0,,Personal foul by N. Mirotić (drawn by J. Nurkić),77,95
3,4:27.0,D. Miller enters the game for E. Moore,,77,95
3,4:10.0,,D. Lillard makes 2-pt jump shot from 20 ft,77,97
3,4:07.0,Personal foul by M. Harkless (drawn by N. Mirotić),,77,97
3,4:07.0,N. Mirotić makes free throw 1 of 2,,78,97
3,4:07.0,N. Mirotić makes free throw 2 of 2,,79,97
3,3:51.0,,Turnover by M. Harkless (bad pass; steal by J. Holiday),79,97
3,3:33.0,Shooting foul by Z. Collins (drawn by A. Davis),,79,97
3,3:33.0,A. Davis makes free throw 1 of 2,,80,97
3,3:33.0,T. Frazier enters the game for J. Randle,,80,97
3,3:33.0,,E. Turner enters the game for M. Harkless,80,97
3,3:33.0,A. Davis misses free throw 2 of 2,,80,97
3,3:31.0,,Defensive rebound by J. Nurkić,80,97
3,3:23.0,,D. Lillard misses 3-pt jump shot from 25 ft,80,97
3,3:23.0,Defensive rebound by Team,,80,97
3,3:23.0,,Loose ball foul by Z. Collins (drawn by A. Davis),80,97
3,3:23.0,A. Davis misses free throw 1 of 2,,80,97
3,3:23.0,Offensive rebound by Team,,80,97
3,3:23.0,,M. Leonard enters the game for Z. Collins,80,97
3,3:23.0,A. Davis makes free throw 2 of 2,,81,97
3,3:12.0,,Personal foul by N. Mirotić (drawn by E. Turner),81,97
3,3:12.0,,E. Turner misses free throw 1 of 2,81,97
3,3:12.0,,Offensive rebound by Team,81,97
3,3:12.0,,J. Layman enters the game for C. McCollum,81,97
3,3:12.0,,E. Turner makes free throw 2 of 2,81,98
3,3:07.0,J. Holiday misses 3-pt jump shot from 24 ft,,81,98
3,3:06.0,,Defensive rebound by E. Turner,81,98
3,2:52.0,,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),81,100
3,2:44.0,N. Mirotić misses 3-pt jump shot from 26 ft,,81,100
3,2:42.0,,Defensive rebound by J. Nurkić,81,100
3,2:27.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),81,102
3,2:19.0,Personal foul by M. Leonard (drawn by T. Frazier),,81,102
3,2:19.0,New Orleans full timeout,,81,102
3,2:19.0,T. Frazier misses free throw 1 of 2,,81,102
3,2:19.0,Offensive rebound by Team,,81,102
3,2:19.0,J. Okafor enters the game for A. Davis,,81,102
3,2:19.0,T. Frazier makes free throw 2 of 2,,82,102
3,2:05.0,,J. Nurkić misses 2-pt hook shot from 4 ft,82,102
3,2:03.0,Defensive rebound by J. Okafor,,82,102
3,1:51.0,J. Okafor misses 2-pt hook shot from 4 ft,,82,102
3,1:50.0,,Defensive rebound by E. Turner,82,102
3,1:43.0,,J. Nurkić misses 2-pt layup from 2 ft,82,102
3,1:42.0,,Offensive rebound by Team,82,102
3,1:33.0,,J. Layman misses 3-pt jump shot from 25 ft,82,102
3,1:30.0,,Offensive rebound by J. Nurkić,82,102
3,1:21.0,,J. Layman misses 3-pt jump shot from 25 ft,82,102
3,1:20.0,,Offensive rebound by D. Lillard,82,102
3,1:18.0,,D. Lillard misses 2-pt layup from 4 ft,82,102
3,1:16.0,Defensive rebound by J. Okafor,,82,102
3,1:12.0,Shooting foul by J. Nurkić (drawn by N. Mirotić),,82,102
3,1:12.0,N. Mirotić makes free throw 1 of 2,,83,102
3,1:12.0,,M. Harkless enters the game for J. Nurkić,83,102
3,1:12.0,N. Mirotić makes free throw 2 of 2,,84,102
3,0:54.0,,D. Lillard misses 3-pt jump shot from 24 ft,84,102
3,0:52.0,Defensive rebound by J. Okafor,,84,102
3,0:43.0,D. Miller misses 3-pt jump shot from 25 ft,,84,102
3,0:41.0,,Defensive rebound by E. Turner,84,102
3,0:32.0,,D. Lillard misses 2-pt layup from 3 ft (block by D. Miller),84,102
3,0:28.0,,Offensive rebound by D. Lillard,84,102
3,0:27.0,,D. Lillard misses 2-pt layup from 2 ft (block by N. Mirotić),84,102
3,0:27.0,Defensive rebound by N. Mirotić,,84,102
3,0:27.0,T. Frazier makes 2-pt layup from 1 ft (assist by N. Mirotić),,86,102
3,0:07.0,,D. Lillard misses 3-pt jump shot from 25 ft,86,102
3,0:04.0,,Offensive rebound by M. Harkless,86,102
3,0:04.0,,Personal foul by T. Frazier (drawn by M. Harkless),86,102
3,0:04.0,,M. Harkless makes free throw 1 of 2,86,103
3,0:04.0,,M. Harkless makes free throw 2 of 2,86,104
3,0:00.0,J. Okafor misses 3-pt jump shot from 24 ft,,86,104
3,0:00.0,Offensive rebound by Team,,86,104
4,11:38.0,Shooting foul by J. Layman (drawn by D. Miller),,86,104
4,11:38.0,D. Miller makes free throw 1 of 2,,87,104
4,11:38.0,D. Miller makes free throw 2 of 2,,88,104
4,11:25.0,,E. Turner misses 2-pt jump shot from 10 ft,88,104
4,11:22.0,Defensive rebound by J. Okafor,,88,104
4,11:15.0,T. Frazier makes 2-pt jump shot from 21 ft,,90,104
4,10:56.0,,M. Harkless misses 3-pt jump shot from 25 ft,90,104
4,10:54.0,,Offensive rebound by J. Layman,90,104
4,10:54.0,,Personal foul by E. Moore (drawn by J. Layman),90,104
4,10:43.0,,S. Curry misses 2-pt jump shot from 18 ft,90,104
4,10:39.0,Defensive rebound by J. Okafor,,90,104
4,10:32.0,N. Mirotić misses 2-pt layup from 1 ft,,90,104
4,10:30.0,Offensive rebound by J. Okafor,,90,104
4,10:28.0,E. Moore makes 2-pt jump shot from 14 ft (assist by J. Okafor),,92,104
4,10:04.0,,M. Leonard makes 3-pt jump shot from 24 ft,92,107
4,9:55.0,N. Mirotić makes 3-pt jump shot from 29 ft (assist by T. Frazier),,95,107
4,9:34.0,,J. Layman misses 2-pt jump shot from 6 ft,95,107
4,9:33.0,Defensive rebound by J. Okafor,,95,107
4,9:16.0,J. Okafor misses 2-pt hook shot from 4 ft,,95,107
4,9:14.0,,Defensive rebound by E. Turner,95,107
4,9:08.0,,M. Leonard misses 3-pt jump shot from 25 ft,95,107
4,9:05.0,Defensive rebound by E. Moore,,95,107
4,8:55.0,N. Mirotić misses 2-pt jump shot from 21 ft,,95,107
4,8:54.0,,Defensive rebound by M. Leonard,95,107
4,8:46.0,,E. Turner misses 2-pt layup from 2 ft,95,107
4,8:45.0,Defensive rebound by J. Okafor,,95,107
4,8:43.0,New Orleans full timeout,,95,107
4,8:43.0,A. Davis enters the game for N. Mirotić,,95,107
4,8:43.0,J. Randle enters the game for J. Okafor,,95,107
4,8:43.0,,A. Aminu enters the game for M. Harkless,95,107
4,8:43.0,,C. McCollum enters the game for J. Layman,95,107
4,8:36.0,D. Miller makes 2-pt jump shot from 14 ft (assist by T. Frazier),,97,107
4,8:07.0,,A. Aminu misses 2-pt hook shot from 12 ft,97,107
4,8:05.0,Defensive rebound by D. Miller,,97,107
4,7:57.0,E. Moore misses 2-pt layup from 2 ft,,97,107
4,7:56.0,Offensive rebound by E. Moore,,97,107
4,7:55.0,E. Moore makes 2-pt jump shot from 6 ft,,99,107
4,7:37.0,,C. McCollum makes 2-pt jump shot from 21 ft (assist by M. Leonard),99,109
4,7:37.0,,Shooting foul by E. Moore (drawn by C. McCollum),99,109
4,7:37.0,J. Holiday enters the game for D. Miller,,99,109
4,7:37.0,,Z. Collins enters the game for S. Curry,99,109
4,7:37.0,,D. Lillard enters the game for M. Leonard,99,109
4,7:37.0,,C. McCollum makes free throw 1 of 1,99,110
