QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
2,0:23.0,,M. Leonard enters the game for J. Nurkić,50,59
2,0:00.0,,A. Aminu misses 2-pt jump shot from 22 ft,50,59
2,0:00.0,,Offensive rebound by Team,50,59
3,11:45.0,D. DeRozan misses 2-pt jump shot from 11 ft,,50,59
3,11:42.0,Offensive rebound by L. Aldridge,,50,59
3,11:41.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,53,59
3,11:24.0,,C. McCollum makes 2-pt jump shot from 14 ft,53,61
3,11:09.0,B. Forbes makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,56,61
3,10:55.0,,D. Lillard misses 3-pt jump shot from 30 ft,56,61
3,10:54.0,Defensive rebound by R. Gay,,56,61
3,10:38.0,L. Aldridge misses 2-pt jump shot from 14 ft,,56,61
3,10:36.0,,Defensive rebound by A. Aminu,56,61
3,10:30.0,,J. Layman makes 2-pt layup from 1 ft (assist by J. Nurkić),56,63
3,10:10.0,D. DeRozan makes 2-pt jump shot from 6 ft (assist by L. Aldridge),,58,63
3,9:59.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),58,66
3,9:43.0,R. Gay misses 2-pt jump shot from 10 ft,,58,66
3,9:41.0,Offensive rebound by L. Aldridge,,58,66
3,9:39.0,B. Forbes misses 3-pt jump shot from 24 ft,,58,66
3,9:39.0,Offensive rebound by R. Gay,,58,66
3,9:36.0,R. Gay misses 2-pt layup at rim,,58,66
3,9:36.0,Offensive rebound by Team,,58,66
3,9:36.0,P. Gasol enters the game for J. Poeltl,,58,66
3,9:31.0,Turnover by D. DeRozan (bad pass; steal by J. Nurkić),,58,66
3,9:22.0,,Shooting foul by R. Gay (drawn by J. Layman),58,66
3,9:22.0,,J. Layman misses free throw 1 of 2,58,66
3,9:22.0,,Offensive rebound by Team,58,66
3,9:22.0,,J. Layman makes free throw 2 of 2,58,67
3,9:06.0,P. Gasol makes 2-pt jump shot from 19 ft (assist by D. DeRozan),,60,67
3,8:55.0,,D. Lillard makes 3-pt jump shot from 26 ft,60,70
3,8:53.0,San Antonio full timeout,,60,70
3,8:30.0,R. Gay misses 2-pt hook shot from 7 ft,,60,70
3,8:30.0,,Defensive rebound by Team,60,70
3,8:12.0,,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),60,73
3,7:52.0,B. Forbes makes 2-pt jump shot from 18 ft,,62,73
3,7:41.0,,Turnover by J. Nurkić (bad pass; steal by D. DeRozan),62,73
3,7:32.0,D. DeRozan misses 2-pt layup from 3 ft (block by A. Aminu),,62,73
3,7:30.0,,Defensive rebound by J. Nurkić,62,73
3,7:26.0,,C. McCollum misses 3-pt jump shot from 25 ft,62,73
3,7:26.0,,Offensive rebound by J. Layman,62,73
3,7:17.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by C. McCollum),62,75
3,7:00.0,Personal foul by A. Aminu (drawn by L. Aldridge),,62,75
3,6:49.0,R. Gay makes 3-pt jump shot from 23 ft (assist by D. DeRozan),,65,75
3,6:39.0,,Shooting foul by B. Forbes (drawn by D. Lillard),65,75
3,6:39.0,,D. Lillard makes free throw 1 of 2,65,76
3,6:39.0,,D. Lillard makes free throw 2 of 2,65,77
3,6:22.0,D. DeRozan makes 2-pt jump shot from 12 ft,,67,77
3,6:22.0,Shooting foul by C. McCollum (drawn by D. DeRozan),,67,77
3,6:22.0,,E. Turner enters the game for J. Layman,67,77
3,6:22.0,D. DeRozan makes free throw 1 of 1,,68,77
3,6:09.0,,C. McCollum makes 2-pt jump shot from 16 ft,68,79
3,5:52.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by B. Forbes),,70,79
3,5:39.0,,Personal foul by P. Gasol (drawn by J. Nurkić),70,79
3,5:32.0,,J. Nurkić makes 2-pt hook shot from 4 ft (assist by D. Lillard),70,81
3,5:14.0,L. Aldridge misses 2-pt jump shot from 14 ft,,70,81
3,5:12.0,Offensive rebound by P. Gasol,,70,81
3,5:07.0,D. DeRozan misses 2-pt layup from 4 ft,,70,81
3,5:05.0,,Defensive rebound by J. Nurkić,70,81
3,5:02.0,,D. Lillard makes 3-pt jump shot from 26 ft,70,84
3,4:46.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Gasol),,73,84
3,4:35.0,,C. McCollum makes 3-pt jump shot from 24 ft,73,87
3,4:18.0,R. Gay makes 2-pt jump shot from 6 ft (assist by D. DeRozan),,75,87
3,4:03.0,,J. Nurkić makes 2-pt hook shot from 11 ft,75,89
3,3:51.0,B. Forbes misses 2-pt layup from 4 ft (block by J. Nurkić),,75,89
3,3:48.0,,Defensive rebound by E. Turner,75,89
3,3:44.0,,D. Lillard misses 3-pt jump shot from 24 ft,75,89
3,3:40.0,Defensive rebound by L. Aldridge,,75,89
3,3:32.0,Personal foul by A. Aminu (drawn by L. Aldridge),,75,89
3,3:32.0,M. Belinelli enters the game for L. Aldridge,,75,89
3,3:32.0,D. Cunningham enters the game for B. Forbes,,75,89
3,3:32.0,P. Mills enters the game for P. Gasol,,75,89
3,3:32.0,J. Poeltl enters the game for R. Gay,,75,89
3,3:32.0,,S. Curry enters the game for A. Aminu,75,89
3,3:32.0,,M. Harkless enters the game for D. Lillard,75,89
3,3:32.0,,N. Stauskas enters the game for C. McCollum,75,89
3,3:27.0,Turnover by P. Mills (bad pass),,75,89
3,3:27.0,,Portland full timeout,75,89
3,3:27.0,D. Bertāns enters the game for D. DeRozan,,75,89
3,3:19.0,,J. Nurkić misses 2-pt dunk from 1 ft,75,89
3,3:17.0,Defensive rebound by D. Bertāns,,75,89
3,3:07.0,P. Mills misses 3-pt jump shot from 24 ft,,75,89
3,3:05.0,,Defensive rebound by J. Nurkić,75,89
3,2:43.0,,J. Nurkić misses 2-pt layup from 2 ft,75,89
3,2:40.0,,Offensive rebound by J. Nurkić,75,89
3,2:40.0,,J. Nurkić misses 2-pt layup from 1 ft,75,89
3,2:40.0,Defensive rebound by J. Poeltl,,75,89
3,2:30.0,P. Mills makes 2-pt jump shot from 22 ft (assist by J. Poeltl),,77,89
3,2:15.0,,J. Nurkić misses 3-pt jump shot from 26 ft,77,89
3,2:13.0,,Offensive rebound by M. Harkless,77,89
3,1:59.0,,S. Curry misses 2-pt jump shot from 11 ft,77,89
3,1:57.0,Defensive rebound by M. Belinelli,,77,89
3,1:47.0,P. Mills makes 2-pt jump shot from 20 ft (assist by J. Poeltl),,79,89
3,1:34.0,,Personal foul by M. Belinelli (drawn by E. Turner),79,89
3,1:34.0,,Z. Collins enters the game for J. Nurkić,79,89
3,1:27.0,,Z. Collins makes 3-pt jump shot from 25 ft,79,92
3,1:08.0,D. Bertāns makes 3-pt jump shot from 29 ft (assist by M. Belinelli),,82,92
3,0:56.0,,S. Curry makes 2-pt jump shot from 21 ft (assist by E. Turner),82,94
3,0:56.0,,Shooting foul by J. Poeltl (drawn by S. Curry),82,94
3,0:56.0,,S. Curry makes free throw 1 of 1,82,95
3,0:42.0,P. Mills misses 3-pt jump shot from 25 ft,,82,95
3,0:39.0,,Defensive rebound by M. Harkless,82,95
3,0:32.0,,Z. Collins makes 2-pt jump shot from 16 ft (assist by M. Harkless),82,97
3,0:22.0,P. Mills misses 2-pt jump shot from 18 ft,,82,97
3,0:20.0,,Defensive rebound by N. Stauskas,82,97
3,0:06.0,,E. Turner misses 2-pt jump shot from 15 ft,82,97
3,0:04.0,Defensive rebound by P. Mills,,82,97
3,0:00.0,M. Belinelli misses 3-pt jump shot from 23 ft,,82,97
3,0:00.0,Offensive rebound by Team,,82,97
4,11:45.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by E. Turner),82,100
4,11:33.0,D. Cunningham misses 2-pt jump shot from 21 ft,,82,100
4,11:31.0,,Defensive rebound by Z. Collins,82,100
4,11:16.0,,E. Turner makes 2-pt layup from 2 ft,82,102
4,11:07.0,Shooting foul by E. Turner (drawn by M. Belinelli),,82,102
4,11:07.0,M. Belinelli misses free throw 1 of 3,,82,102
4,11:07.0,Offensive rebound by Team,,82,102
4,11:07.0,M. Belinelli makes free throw 2 of 3,,83,102
4,11:07.0,M. Belinelli makes free throw 3 of 3,,84,102
4,10:50.0,,S. Curry misses 3-pt jump shot from 26 ft,84,102
4,10:45.0,Defensive rebound by P. Mills,,84,102
4,10:40.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,87,102
4,10:15.0,,E. Turner makes 2-pt jump shot from 9 ft (assist by S. Curry),87,104
4,10:12.0,San Antonio full timeout,,87,104
4,10:12.0,D. DeRozan enters the game for D. Bertāns,,87,104
4,9:58.0,M. Belinelli misses 2-pt jump shot from 9 ft,,87,104
4,9:55.0,,Defensive rebound by M. Harkless,87,104
4,9:50.0,,N. Stauskas misses 2-pt jump shot from 16 ft,87,104
4,9:48.0,Defensive rebound by Team,,87,104
4,9:38.0,Shooting foul by Z. Collins (drawn by D. DeRozan),,87,104
4,9:38.0,D. DeRozan makes free throw 1 of 2,,88,104
4,9:38.0,D. DeRozan makes free throw 2 of 2,,89,104
4,9:22.0,,M. Harkless misses 3-pt jump shot from 25 ft,89,104
4,9:20.0,Defensive rebound by D. DeRozan,,89,104
4,9:12.0,D. DeRozan makes 2-pt jump shot from 3 ft,,91,104
4,8:53.0,,Personal foul by M. Belinelli (drawn by Z. Collins),91,104
4,8:53.0,B. Forbes enters the game for D. Cunningham,,91,104
4,8:53.0,R. Gay enters the game for P. Mills,,91,104
4,8:53.0,,A. Aminu enters the game for S. Curry,91,104
4,8:53.0,,D. Lillard enters the game for M. Harkless,91,104
4,8:53.0,,C. McCollum enters the game for N. Stauskas,91,104
4,8:42.0,,C. McCollum misses 2-pt hook shot from 3 ft,91,104
4,8:40.0,Defensive rebound by R. Gay,,91,104
4,8:31.0,L. Aldridge makes 2-pt hook shot from 4 ft (assist by B. Forbes),,93,104
4,8:09.0,,Shooting foul by D. DeRozan (drawn by Z. Collins),93,104
4,8:09.0,,Z. Collins misses free throw 1 of 2,93,104
4,8:09.0,,Offensive rebound by Team,93,104
4,8:09.0,,Z. Collins makes free throw 2 of 2,93,105
4,7:55.0,D. DeRozan misses 2-pt jump shot from 16 ft,,93,105
4,7:51.0,Offensive rebound by L. Aldridge,,93,105
4,7:51.0,L. Aldridge misses 2-pt layup at rim,,93,105
4,7:50.0,,Defensive rebound by E. Turner,93,105
4,7:49.0,,Turnover by E. Turner (bad pass),93,105
4,7:25.0,D. DeRozan misses 3-pt jump shot from 22 ft,,93,105
4,7:22.0,,Defensive rebound by C. McCollum,93,105
4,7:17.0,,D. Lillard makes 2-pt layup from 1 ft (assist by A. Aminu),93,107
4,7:17.0,,Shooting foul by R. Gay (drawn by D. Lillard),93,107
4,7:17.0,,D. Lillard makes free throw 1 of 1,93,108
