QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
3,7:23.0,E. Mudiay misses 3-pt jump shot from 25 ft,,53,73
3,7:20.0,,Defensive rebound by W. Chandler,53,73
3,7:06.0,,J. Redick makes 3-pt jump shot from 26 ft (assist by B. Simmons),53,76
3,6:37.0,N. Vonleh misses 2-pt jump shot from 8 ft,,53,76
3,6:35.0,,Defensive rebound by J. Embiid,53,76
3,6:25.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by W. Chandler),53,78
3,6:24.0,New York full timeout,,53,78
3,6:24.0,A. Trier enters the game for N. Vonleh,,53,78
3,6:24.0,,T. McConnell enters the game for W. Chandler,53,78
3,6:24.0,,M. Muscala enters the game for J. Embiid,53,78
3,6:24.0,,L. Shamet enters the game for J. Redick,53,78
3,6:11.0,M. Hezonja makes 2-pt jump shot from 16 ft (assist by T. Hardaway),,55,78
3,5:49.0,,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),55,80
3,5:23.0,M. Hezonja misses 2-pt layup from 2 ft (block by M. Muscala),,55,80
3,5:20.0,,Defensive rebound by L. Shamet,55,80
3,5:17.0,,T. McConnell misses 2-pt jump shot from 11 ft,55,80
3,5:16.0,,Offensive rebound by B. Simmons,55,80
3,5:16.0,,B. Simmons makes 2-pt layup at rim,55,82
3,5:16.0,,Shooting foul by A. Trier (drawn by B. Simmons),55,82
3,5:16.0,D. Dotson enters the game for E. Mudiay,,55,82
3,5:16.0,,B. Simmons misses free throw 1 of 1,55,82
3,5:16.0,Defensive rebound by M. Hezonja,,55,82
3,4:55.0,Turnover by M. Hezonja (lost ball; steal by B. Simmons),,55,82
3,4:50.0,,Turnover by J. Butler (traveling),55,82
3,4:34.0,M. Hezonja makes 2-pt jump shot from 6 ft,,57,82
3,4:34.0,Shooting foul by T. McConnell (drawn by M. Hezonja),,57,82
3,4:34.0,M. Hezonja makes free throw 1 of 1,,58,82
3,4:15.0,,Shooting foul by D. Dotson (drawn by B. Simmons),58,82
3,4:15.0,,B. Simmons misses free throw 1 of 2,58,82
3,4:15.0,,Offensive rebound by Team,58,82
3,4:15.0,,B. Simmons makes free throw 2 of 2,58,83
3,3:59.0,E. Freedom misses 2-pt hook shot from 4 ft,,58,83
3,3:57.0,,Defensive rebound by B. Simmons,58,83
3,3:49.0,,Turnover by B. Simmons (lost ball; steal by M. Hezonja),58,83
3,3:49.0,Personal take foul by B. Simmons (drawn by M. Hezonja),,58,83
3,3:24.0,T. Hardaway misses 2-pt layup from 7 ft,,58,83
3,3:24.0,Offensive rebound by Team,,58,83
3,3:24.0,Turnover by Team (shot clock),,58,83
3,3:14.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by B. Simmons),58,86
3,2:55.0,Offensive foul by E. Freedom (drawn by M. Muscala),,58,86
3,2:55.0,Turnover by E. Freedom (offensive foul),,58,86
3,2:55.0,,Philadelphia full timeout,58,86
3,2:55.0,T. Burke enters the game for T. Hardaway,,58,86
3,2:55.0,M. Robinson enters the game for E. Freedom,,58,86
3,2:55.0,,W. Chandler enters the game for J. Butler,58,86
3,2:55.0,,J. Embiid enters the game for M. Muscala,58,86
3,2:55.0,,F. Korkmaz enters the game for L. Shamet,58,86
3,2:55.0,,J. Redick enters the game for B. Simmons,58,86
3,2:42.0,,J. Embiid makes 2-pt layup from 2 ft (assist by W. Chandler),58,88
3,2:16.0,Shooting foul by T. McConnell (drawn by A. Trier),,58,88
3,2:16.0,A. Trier makes free throw 1 of 2,,59,88
3,2:16.0,A. Trier makes free throw 2 of 2,,60,88
3,1:55.0,,J. Embiid misses 2-pt hook shot from 7 ft,60,88
3,1:54.0,Defensive rebound by M. Hezonja,,60,88
3,1:46.0,M. Robinson makes 2-pt dunk at rim (assist by A. Trier),,62,88
3,1:33.0,,J. Embiid makes 2-pt layup from 2 ft (assist by J. Redick),62,90
3,1:33.0,,Shooting foul by M. Hezonja (drawn by J. Embiid),62,90
3,1:33.0,K. Knox enters the game for M. Hezonja,,62,90
3,1:33.0,,J. Embiid makes free throw 1 of 1,62,91
3,1:21.0,K. Knox makes 3-pt jump shot from 25 ft (assist by M. Robinson),,65,91
3,1:07.0,,J. Redick misses 3-pt jump shot from 26 ft,65,91
3,1:05.0,Defensive rebound by A. Trier,,65,91
3,1:00.0,Offensive foul by A. Trier (drawn by F. Korkmaz),,65,91
3,1:00.0,Turnover by A. Trier (offensive foul),,65,91
3,0:49.0,,W. Chandler makes 2-pt layup from 2 ft (assist by T. McConnell),65,93
3,0:39.0,T. Burke makes 3-pt jump shot from 26 ft,,68,93
3,0:29.0,,J. Embiid misses 2-pt layup from 4 ft (block by M. Robinson),68,93
3,0:26.0,Defensive rebound by M. Robinson,,68,93
3,0:07.0,A. Trier misses 2-pt layup from 2 ft (block by J. Embiid),,68,93
3,0:04.0,,Defensive rebound by W. Chandler,68,93
3,0:00.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,68,93
3,0:00.0,,Offensive rebound by Team,68,93
4,11:48.0,,T. McConnell misses 2-pt jump shot from 15 ft,68,93
4,11:45.0,Defensive rebound by D. Dotson,,68,93
4,11:35.0,A. Trier makes 2-pt layup from 1 ft,,70,93
4,11:22.0,,Personal foul by D. Dotson (drawn by J. Redick),70,93
4,11:13.0,,J. Redick misses 3-pt jump shot from 26 ft,70,93
4,11:12.0,,Offensive rebound by J. Embiid,70,93
4,11:12.0,,Shooting foul by M. Robinson (drawn by J. Embiid),70,93
4,11:12.0,,J. Embiid misses free throw 1 of 2,70,93
4,11:12.0,,Offensive rebound by Team,70,93
4,11:12.0,,J. Embiid makes free throw 2 of 2,70,94
