QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
3,3:35.0,Offensive foul by J. Williams (drawn by K. Allen),,90,86
3,3:35.0,Turnover by J. Williams (offensive foul),,90,86
3,3:19.0,,Offensive foul by D. Jordan (drawn by J. Williams),90,86
3,3:19.0,,Turnover by D. Jordan (offensive foul),90,86
3,3:01.0,K. Kuzma misses 3-pt jump shot from 26 ft,,90,86
3,2:59.0,,Defensive rebound by D. Dotson,90,86
3,2:47.0,,New York full timeout,90,86
3,2:47.0,K. Caldwell-Pope enters the game for R. Bullock,,90,86
3,2:40.0,,Turnover by M. Hezonja (bad pass; steal by A. Caruso),90,86
3,2:38.0,Shooting foul by K. Allen (drawn by A. Caruso),,90,86
3,2:38.0,,M. Robinson enters the game for D. Jordan,90,86
3,2:38.0,A. Caruso makes free throw 1 of 2,,91,86
3,2:38.0,A. Caruso makes free throw 2 of 2,,92,86
3,2:23.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by A. Trier),92,89
3,2:08.0,Shooting foul by M. Robinson (drawn by K. Kuzma),,92,89
3,2:08.0,K. Kuzma makes free throw 1 of 2,,93,89
3,2:08.0,,L. Thomas enters the game for M. Hezonja,93,89
3,2:08.0,K. Kuzma makes free throw 2 of 2,,94,89
3,1:43.0,,Turnover by A. Trier (traveling),94,89
3,1:32.0,Turnover by K. Kuzma (traveling),,94,89
3,1:15.0,,L. Thomas makes 3-pt jump shot from 24 ft (assist by D. Dotson),94,92
3,1:00.0,A. Caruso makes 2-pt layup from 2 ft,,96,92
3,0:46.0,,L. Thomas makes 2-pt jump shot from 11 ft,96,94
3,0:39.0,K. Kuzma misses 3-pt jump shot from 27 ft,,96,94
3,0:35.0,,Defensive rebound by D. Dotson,96,94
3,0:30.0,,D. Dotson misses 3-pt jump shot from 26 ft,96,94
3,0:27.0,,Offensive rebound by M. Robinson,96,94
3,0:26.0,,M. Robinson misses 2-pt layup from 2 ft (block by A. Caruso),96,94
3,0:24.0,Defensive rebound by A. Caruso,,96,94
3,0:18.0,A. Caruso misses 2-pt layup from 1 ft,,96,94
3,0:16.0,,Defensive rebound by L. Thomas,96,94
3,0:00.0,,L. Thomas misses 3-pt jump shot from 22 ft,96,94
3,0:00.0,,Offensive rebound by Team,96,94
4,11:41.0,L. James misses 2-pt jump shot from 17 ft,,96,94
4,11:39.0,,Defensive rebound by K. Allen,96,94
4,11:27.0,,A. Trier makes 2-pt jump shot from 19 ft (assist by K. Allen),96,96
4,11:16.0,L. James makes 2-pt jump shot from 22 ft,,98,96
4,10:59.0,,A. Trier misses 2-pt jump shot from 5 ft (block by A. Caruso),98,96
4,10:57.0,Defensive rebound by Team,,98,96
4,10:57.0,Flagrant foul type 1 by A. Trier (drawn by A. Caruso),,98,96
4,10:57.0,A. Caruso makes flagrant free throw 1 of 2,,99,96
4,10:57.0,A. Caruso makes flagrant free throw 2 of 2,,100,96
4,10:47.0,L. James misses 3-pt jump shot from 27 ft,,100,96
4,10:44.0,,Defensive rebound by A. Trier,100,96
4,10:39.0,,Personal foul by A. Caruso (drawn by K. Allen),100,96
4,10:25.0,,L. Thomas makes 2-pt layup from 2 ft,100,98
4,10:22.0,Personal foul by A. Trier (drawn by J. Hart),,100,98
4,10:12.0,L. James misses 2-pt jump shot from 21 ft,,100,98
4,10:10.0,,Defensive rebound by K. Knox,100,98
4,10:00.0,,K. Knox misses 2-pt jump shot from 11 ft,100,98
4,9:57.0,Defensive rebound by J. Hart,,100,98
4,9:50.0,L. James misses 2-pt layup from 2 ft,,100,98
4,9:48.0,Offensive rebound by J. Williams,,100,98
4,9:48.0,J. Williams makes 2-pt layup from 1 ft,,102,98
4,9:43.0,,Turnover by L. Thomas (bad pass; steal by J. Hart),102,98
4,9:35.0,K. Caldwell-Pope misses 2-pt layup from 1 ft,,102,98
4,9:34.0,Offensive rebound by J. Williams,,102,98
4,9:31.0,J. Williams misses 2-pt layup from 3 ft (block by M. Robinson),,102,98
4,9:29.0,Offensive rebound by K. Caldwell-Pope,,102,98
4,9:20.0,L. James misses 2-pt jump shot from 18 ft,,102,98
4,9:16.0,,Defensive rebound by K. Knox,102,98
4,9:15.0,,Offensive foul by L. Thomas (drawn by A. Caruso),102,98
4,9:15.0,,Turnover by L. Thomas (offensive foul),102,98
4,9:01.0,L. James misses 2-pt layup from 4 ft,,102,98
4,8:59.0,,Defensive rebound by M. Robinson,102,98
4,8:49.0,,K. Allen makes 3-pt jump shot from 26 ft (assist by A. Trier),102,101
4,8:43.0,J. Williams makes 2-pt dunk from 1 ft (assist by L. James),,104,101
4,8:43.0,Shooting foul by K. Allen (drawn by J. Williams),,104,101
4,8:43.0,,M. Hezonja enters the game for L. Thomas,104,101
4,8:43.0,J. Williams makes free throw 1 of 1,,105,101
4,8:22.0,,K. Allen makes 2-pt jump shot from 12 ft (assist by A. Trier),105,103
4,8:05.0,J. Williams makes 2-pt layup from 1 ft (assist by A. Caruso),,107,103
4,8:05.0,Shooting foul by A. Trier (drawn by J. Williams),,107,103
4,8:05.0,,E. Mudiay enters the game for A. Trier,107,103
4,8:05.0,J. Williams misses free throw 1 of 1,,107,103
4,8:03.0,,Defensive rebound by M. Hezonja,107,103
4,7:47.0,,K. Knox makes 2-pt layup from 3 ft,107,105
4,7:24.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. James),,110,105
4,7:13.0,,Turnover by K. Allen (bad pass; steal by A. Caruso),110,105
4,7:10.0,A. Caruso makes 2-pt layup from 1 ft,,112,105
4,7:10.0,,New York full timeout,112,105
4,7:10.0,,D. Jordan enters the game for M. Robinson,112,105
4,6:56.0,,E. Mudiay makes 2-pt jump shot from 15 ft (assist by K. Knox),112,107
4,6:41.0,L. James makes 2-pt layup from 4 ft,,114,107
4,6:41.0,Shooting foul by M. Hezonja (drawn by L. James),,114,107
4,6:41.0,,D. Dotson enters the game for K. Allen,114,107
4,6:41.0,L. James makes free throw 1 of 1,,115,107
4,6:22.0,,K. Knox misses 3-pt jump shot from 25 ft,115,107
4,6:20.0,,Offensive rebound by D. Jordan,115,107
4,6:16.0,,Turnover by D. Jordan (bad pass; steal by A. Caruso),115,107
4,6:14.0,L. James makes 2-pt layup at rim (assist by J. Hart),,117,107
4,6:05.0,,K. Knox misses 2-pt jump shot from 15 ft,117,107
4,6:04.0,Defensive rebound by L. James,,117,107
4,5:54.0,L. James misses 2-pt jump shot from 13 ft,,117,107
4,5:52.0,,Defensive rebound by D. Jordan,117,107
4,5:47.0,,K. Knox makes 2-pt layup from 2 ft (assist by E. Mudiay),117,109
4,5:46.0,LA Lakers full timeout,,117,109
4,5:32.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,117,109
4,5:30.0,,Defensive rebound by M. Hezonja,117,109
4,5:08.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by D. Jordan),117,111
4,4:52.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. James),,120,111
4,4:23.0,,E. Mudiay misses 3-pt jump shot from 25 ft,120,111
4,4:21.0,Defensive rebound by L. James,,120,111
4,4:12.0,J. Hart misses 3-pt jump shot from 26 ft,,120,111
4,4:10.0,,Defensive rebound by M. Hezonja,120,111
