QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
3,1:57.0,S. Dinwiddie misses 2-pt jump shot from 3 ft,,74,91
3,1:55.0,,Defensive rebound by P. Siakam,74,91
3,1:55.0,Technical foul by S. Dinwiddie,,74,91
3,1:55.0,,K. Leonard misses technical free throw,74,91
3,1:55.0,,Offensive rebound by Team,74,91
3,1:55.0,,G. Monroe enters the game for K. Leonard,74,91
3,1:55.0,,D. Wright enters the game for P. Siakam,74,91
3,1:42.0,,N. Powell makes 2-pt jump shot from 3 ft (assist by G. Monroe),74,93
3,1:24.0,Turnover by R. Kurucs (bad pass; steal by D. Wright),,74,93
3,1:20.0,,D. Wright makes 2-pt layup from 2 ft (assist by F. VanVleet),74,95
3,1:10.0,S. Napier misses 2-pt layup from 1 ft (block by G. Monroe),,74,95
3,1:10.0,,Defensive rebound by F. VanVleet,74,95
3,1:05.0,,N. Powell makes 2-pt layup from 1 ft (assist by F. VanVleet),74,97
3,1:05.0,Brooklyn full timeout,,74,97
3,1:05.0,T. Pinson enters the game for S. Napier,,74,97
3,0:55.0,Personal foul by N. Powell (drawn by S. Dinwiddie),,74,97
3,0:55.0,S. Dinwiddie misses free throw 1 of 2,,74,97
3,0:55.0,Offensive rebound by Team,,74,97
3,0:55.0,S. Dinwiddie makes free throw 2 of 2,,75,97
3,0:33.0,,N. Powell misses 3-pt jump shot from 25 ft,75,97
3,0:30.0,Defensive rebound by D. Carroll,,75,97
3,0:24.0,D. Carroll misses 3-pt jump shot from 25 ft,,75,97
3,0:21.0,,Defensive rebound by G. Monroe,75,97
3,0:04.0,,F. VanVleet misses 3-pt jump shot from 25 ft,75,97
3,0:02.0,,Offensive rebound by G. Monroe,75,97
3,0:00.0,,G. Monroe misses 2-pt jump shot from 3 ft,75,97
3,0:00.0,,Offensive rebound by D. Wright,75,97
3,0:00.0,,D. Wright makes 2-pt layup from 1 ft,75,99
4,11:42.0,E. Davis makes 2-pt dunk from 1 ft (assist by D. Russell),,77,99
4,11:23.0,,D. Wright misses 3-pt jump shot from 23 ft,77,99
4,11:20.0,Defensive rebound by K. Faried,,77,99
4,11:14.0,Personal foul by N. Powell (drawn by E. Davis),,77,99
4,11:04.0,D. Russell misses 2-pt jump shot from 13 ft,,77,99
4,11:02.0,,Defensive rebound by F. VanVleet,77,99
4,10:56.0,,O. Anunoby misses 3-pt jump shot from 25 ft,77,99
4,10:53.0,,Offensive rebound by N. Powell,77,99
4,10:50.0,,Shooting foul by E. Davis (drawn by G. Monroe),77,99
4,10:50.0,,G. Monroe makes free throw 1 of 2,77,100
4,10:50.0,,G. Monroe makes free throw 2 of 2,77,101
4,10:41.0,Shooting foul by N. Powell (drawn by D. Carroll),,77,101
4,10:41.0,D. Carroll makes free throw 1 of 3,,78,101
4,10:41.0,D. Carroll misses free throw 2 of 3,,78,101
4,10:41.0,Offensive rebound by Team,,78,101
4,10:41.0,D. Carroll misses free throw 3 of 3,,78,101
4,10:39.0,,Defensive rebound by G. Monroe,78,101
4,10:25.0,,Shooting foul by D. Russell (drawn by F. VanVleet),78,101
4,10:25.0,,F. VanVleet misses free throw 1 of 2,78,101
4,10:25.0,,Offensive rebound by Team,78,101
4,10:25.0,,F. VanVleet makes free throw 2 of 2,78,102
4,10:19.0,Offensive foul by E. Davis (drawn by D. Wright),,78,102
4,10:19.0,Turnover by E. Davis (offensive foul),,78,102
4,10:19.0,T. Graham enters the game for D. Carroll,,78,102
4,10:09.0,,N. Powell misses 2-pt layup from 3 ft (block by E. Davis),78,102
4,10:09.0,,Offensive rebound by Team,78,102
