id,players,team
161,"{'R. Gay', 'M. Belinelli', 'P. Mills', 'D. Cunningham', 'P. Gasol'}",SAS
162,"{'R. Gay', 'M. Belinelli', 'P. Mills', 'D. Cunningham', 'L. Aldridge'}",SAS
163,"{'B. Forbes', 'D. Bertāns', 'M. Belinelli', 'D. Cunningham', 'P. Gasol'}",SAS
164,"{'B. Forbes', 'D. Bertāns', 'D. DeRozan', 'D. Cunningham', 'P. Gasol'}",SAS
165,"{'B. Forbes', 'D. Bertāns', 'D. DeRozan', 'M. Belinelli', 'L. Aldridge'}",SAS
166,"{'D. Bertāns', 'D. DeRozan', 'M. Belinelli', 'P. Mills', 'L. Aldridge'}",SAS
167,"{'R. Gay', 'D. DeRozan', 'M. Belinelli', 'P. Mills', 'L. Aldridge'}",SAS
168,"{'R. Gay', 'D. Bertāns', 'D. DeRozan', 'P. Mills', 'L. Aldridge'}",SAS
169,"{'B. Forbes', 'D. Bertāns', 'D. DeRozan', 'P. Mills', 'L. Aldridge'}",SAS
170,"{'B. Forbes', 'L. Aldridge', 'D. DeRozan', 'P. Mills', 'P. Gasol'}",SAS
171,"{'B. Forbes', 'D. DeRozan', 'P. Mills', 'D. Cunningham', 'L. Aldridge'}",SAS
172,"{'B. Forbes', 'D. DeRozan', 'M. Belinelli', 'P. Gasol', 'L. Aldridge'}",SAS
173,"{'D. DeRozan', 'M. Belinelli', 'P. Mills', 'D. Cunningham', 'P. Gasol'}",SAS
174,"{'B. Forbes', 'R. Gay', 'P. Mills', 'P. Gasol', 'L. Aldridge'}",SAS
175,"{'B. Forbes', 'R. Gay', 'D. Bertāns', 'D. DeRozan', 'L. Aldridge'}",SAS
176,"{'K. Lowry', 'J. Valančiūnas', 'K. Leonard', 'P. Siakam', 'D. Green'}",TOR
177,"{'K. Lowry', 'J. Valančiūnas', 'O. Anunoby', 'K. Leonard', 'D. Green'}",TOR
178,"{'S. Ibaka', 'K. Lowry', 'O. Anunoby', 'K. Leonard', 'F. VanVleet'}",TOR
179,"{'N. Powell', 'S. Ibaka', 'O. Anunoby', 'K. Leonard', 'F. VanVleet'}",TOR
180,"{'N. Powell', 'S. Ibaka', 'C. Miles', 'O. Anunoby', 'F. VanVleet'}",TOR
181,"{'N. Powell', 'S. Ibaka', 'C. Miles', 'F. VanVleet', 'D. Green'}",TOR
182,"{'N. Powell', 'S. Ibaka', 'P. Siakam', 'F. VanVleet', 'D. Green'}",TOR
183,"{'S. Ibaka', 'K. Lowry', 'P. Siakam', 'F. VanVleet', 'D. Green'}",TOR
184,"{'K. Lowry', 'O. Anunoby', 'J. Valančiūnas', 'K. Leonard', 'F. VanVleet'}",TOR
185,"{'S. Ibaka', 'K. Lowry', 'O. Anunoby', 'K. Leonard', 'D. Green'}",TOR
186,"{'N. Powell', 'S. Ibaka', 'C. Miles', 'K. Leonard', 'F. VanVleet'}",TOR
187,"{'S. Ibaka', 'C. Miles', 'K. Lowry', 'K. Leonard', 'F. VanVleet'}",TOR
188,"{'S. Ibaka', 'K. Lowry', 'K. Leonard', 'F. VanVleet', 'D. Green'}",TOR
189,"{'J. Valančiūnas', 'K. Lowry', 'K. Leonard', 'F. VanVleet', 'D. Green'}",TOR
190,"{'S. Ibaka', 'K. Lowry', 'K. Leonard', 'P. Siakam', 'D. Green'}",TOR
191,"{'N. Powell', 'S. Ibaka', 'P. Siakam', 'F. VanVleet', 'L. Brown'}",TOR
192,"{'N. Powell', 'P. Siakam', 'F. VanVleet', 'L. Brown', 'M. Richardson'}",TOR
193,"{'D. Šarić', 'M. Fultz', 'B. Simmons', 'R. Covington', 'J. Embiid'}",PHI
194,"{'A. Johnson', 'B. Simmons', 'R. Covington', 'J. Redick', 'T. McConnell'}",PHI
195,"{'D. Šarić', 'M. Fultz', 'J. Embiid', 'J. Redick', 'T. McConnell'}",PHI
196,"{'D. Šarić', 'L. Shamet', 'M. Fultz', 'J. Embiid', 'J. Redick'}",PHI
197,"{'D. Šarić', 'L. Shamet', 'B. Simmons', 'R. Covington', 'J. Embiid'}",PHI
198,"{'D. Šarić', 'L. Shamet', 'A. Johnson', 'B. Simmons', 'R. Covington'}",PHI
199,"{'D. Šarić', 'B. Simmons', 'R. Covington', 'J. Embiid', 'J. Redick'}",PHI
200,"{'M. Fultz', 'B. Simmons', 'R. Covington', 'J. Embiid', 'J. Redick'}",PHI
201,"{'M. Fultz', 'B. Simmons', 'R. Covington', 'J. Embiid', 'T. McConnell'}",PHI
202,"{'L. Shamet', 'A. Johnson', 'M. Fultz', 'B. Simmons', 'R. Covington'}",PHI
203,"{'L. Shamet', 'M. Fultz', 'B. Simmons', 'J. Embiid', 'J. Redick'}",PHI
204,"{'D. Šarić', 'L. Shamet', 'A. Johnson', 'M. Fultz', 'J. Redick'}",PHI
205,"{'D. Šarić', 'L. Shamet', 'A. Johnson', 'M. Fultz', 'F. Korkmaz'}",PHI
206,"{'D. Šarić', 'L. Shamet', 'M. Fultz', 'F. Korkmaz', 'J. Embiid'}",PHI
207,"{'L. Shamet', 'M. Fultz', 'B. Simmons', 'F. Korkmaz', 'J. Embiid'}",PHI
208,"{'L. Shamet', 'M. Fultz', 'B. Simmons', 'R. Covington', 'J. Embiid'}",PHI
209,"{'L. Shamet', 'A. Johnson', 'J. Bolden', 'M. Fultz', 'F. Korkmaz'}",PHI
